 	tu	vends	il	achète	</S>
a23	0.396211	0.176497	0.105434	0.162548	0.15931
a70	0.355092	0.246807	0.0715781	0.132776	0.193747
a98	0.737414	0.170009	0.0297986	0.0387039	0.0240744
a41	0.741349	0.188039	0.0332773	0.0242225	0.0131114
a35	0.672404	0.24572	0.0414761	0.0249174	0.015482
a76	0.5726	0.324502	0.0590535	0.0271686	0.0166761
a90	0.518908	0.350565	0.0736292	0.035325	0.0215728
a25	0.470964	0.393942	0.0767737	0.0357065	0.0226136
a11	0.374246	0.429444	0.100474	0.0560745	0.0397622
a24	0.338213	0.424535	0.118236	0.0702904	0.0487245
a41	0.284776	0.351948	0.160787	0.125726	0.0767643
a98	0.169459	0.243033	0.16905	0.214546	0.203912
a73	0.125858	0.203834	0.184856	0.249523	0.235929
a84	0.0934082	0.152967	0.162706	0.278043	0.312876
a53	0.0473479	0.082442	0.120341	0.333179	0.416691
a76	0.0453978	0.0680584	0.104242	0.296122	0.486181
a73	0.032278	0.0396543	0.0719271	0.258526	0.597615
a98	0.0351252	0.0401883	0.0551708	0.244229	0.625287
a14	0.030117	0.0304445	0.0542341	0.251601	0.633604
a41	0.0548069	0.0456673	0.0835651	0.278717	0.537244
a32	0.0640487	0.0462236	0.0786721	0.26292	0.548135
a76	0.0637573	0.0611548	0.0784017	0.236207	0.56048
a94	0.0395729	0.0362556	0.0596112	0.237926	0.626634
a98	0.0246771	0.0282427	0.0363698	0.194663	0.716047
a20	0.0433555	0.041868	0.0438455	0.20697	0.663961
a7	0.027536	0.0303559	0.0299725	0.195625	0.716511
a57	0.026762	0.0363229	0.0345778	0.229111	0.673227
a87	0.0336079	0.0460421	0.0733889	0.295191	0.55177
a23	0.0336845	0.0281166	0.0723042	0.28401	0.581884
a87	0.078354	0.0661983	0.11561	0.273026	0.466812
a23	0.0691134	0.0479268	0.0875598	0.286473	0.508926
</S>	0.110465	0.0858543	0.117869	0.2606	0.425212
