 	cet	homme-ci	n'	a	pas	pu	couper	cet	arbre	</S>
a66	0.353871	0.190151	0.0944019	0.0891903	0.0775486	0.0763481	0.0559318	0.0312003	0.0178858	0.0134712
a87	0.270793	0.169438	0.133299	0.0940339	0.0847934	0.080408	0.0544939	0.0370313	0.0350409	0.0406679
a23	0.335526	0.226998	0.137438	0.07886	0.0594036	0.0465736	0.0240875	0.0197525	0.0292282	0.0421333
a30	0.259202	0.253224	0.176927	0.0982423	0.0680741	0.042436	0.0217697	0.0199722	0.0241564	0.0359964
a93	0.322084	0.275366	0.156455	0.0909209	0.0479848	0.0351768	0.0179985	0.0167598	0.0172404	0.0200136
a25	0.248779	0.269871	0.18985	0.141802	0.0578857	0.0469509	0.0151629	0.0101666	0.00946562	0.0100667
a79	0.130963	0.151523	0.156698	0.191566	0.133487	0.10058	0.0431616	0.0306014	0.0295941	0.0318259
a56	0.0678176	0.126716	0.15049	0.190442	0.161858	0.108209	0.0503729	0.0399651	0.0461821	0.0579472
a34	0.0928783	0.170436	0.200471	0.194096	0.164818	0.087464	0.0307038	0.0176745	0.0181985	0.02326
a70	0.0886197	0.132437	0.186346	0.209182	0.189302	0.0985478	0.0331408	0.0183721	0.0187082	0.0253435
a44	0.0679132	0.0749622	0.135497	0.213392	0.229085	0.139436	0.0518833	0.0274925	0.0265913	0.0337481
a25	0.063865	0.0663799	0.119137	0.204391	0.229765	0.144918	0.0603485	0.0318434	0.0337754	0.045577
a79	0.0313432	0.0341292	0.0682066	0.162587	0.21019	0.17791	0.100052	0.0620343	0.0643215	0.0892257
a56	0.0253071	0.0237967	0.0476242	0.121692	0.174685	0.194028	0.150675	0.102932	0.0765867	0.0826722
a70	0.0371252	0.0240938	0.0399198	0.107691	0.16999	0.177963	0.160487	0.115588	0.0823402	0.0848014
a11	0.0197247	0.0117854	0.0176324	0.0481888	0.103244	0.140689	0.177691	0.186327	0.142653	0.152063
a47	0.0115502	0.00690874	0.00865223	0.0213441	0.0536514	0.091691	0.151367	0.187557	0.208749	0.258529
a12	0.0101363	0.00716693	0.00764795	0.0162426	0.0343751	0.063577	0.134407	0.203972	0.234139	0.288336
a62	0.00327878	0.00170188	0.00240682	0.00558733	0.0138835	0.0290637	0.0894185	0.202488	0.306015	0.346156
a50	0.00186121	0.000967236	0.00135309	0.00315109	0.00781929	0.0161915	0.0628041	0.178216	0.329941	0.397696
a93	0.00122537	0.000737783	0.000954196	0.00235093	0.00486635	0.00887512	0.0344541	0.130195	0.325847	0.490494
a90	0.000654795	0.0003331	0.000567065	0.0018098	0.00440277	0.010075	0.0375038	0.123324	0.29989	0.52144
a92	0.000204381	0.000113812	0.000207473	0.000788922	0.00197925	0.00539242	0.0240784	0.102509	0.310074	0.554652
a7	0.000161295	0.00012101	0.000254268	0.000905895	0.00240715	0.00572353	0.0230786	0.0881287	0.294441	0.584779
a94	0.000167755	0.00011572	0.000151216	0.000448326	0.000988899	0.00280915	0.0152675	0.0907038	0.33385	0.555498
a57	0.00114174	0.000693721	0.000731653	0.00142451	0.00270101	0.0064433	0.0285063	0.128281	0.31595	0.514127
a3	0.0363639	0.0181473	0.0139837	0.0149772	0.0200063	0.031743	0.0690078	0.177759	0.259947	0.358064
a87	0.260473	0.133399	0.0676332	0.0389889	0.0389141	0.0468858	0.0651053	0.106262	0.118795	0.123544
a23	0.216368	0.160607	0.0844254	0.0431674	0.0413905	0.0551883	0.0667813	0.099234	0.116382	0.116456
a87	0.0529088	0.0405093	0.0288191	0.0192442	0.023852	0.0351587	0.0625227	0.124934	0.238515	0.373536
</S>	0.0126428	0.0096352	0.00786094	0.00751776	0.0130758	0.0198966	0.0374042	0.0950516	0.256312	0.540603
