 	l'	homme	avala	de	travers	</S>
a23	0.13127	0.119088	0.195393	0.173332	0.180944	0.199973
a10	0.334351	0.222816	0.211521	0.0854463	0.0634526	0.0824134
a30	0.315829	0.285568	0.201292	0.0696699	0.0503923	0.0772487
a97	0.239034	0.192687	0.137931	0.114777	0.109283	0.206288
a27	0.231726	0.178594	0.14989	0.126433	0.123657	0.189701
a87	0.273041	0.210967	0.165108	0.112461	0.0983307	0.140092
a99	0.310804	0.225372	0.16908	0.106359	0.0789863	0.1094
a53	0.341687	0.244941	0.151163	0.101386	0.0639085	0.0969141
a90	0.391789	0.301641	0.114347	0.0642579	0.0546809	0.0732855
a4	0.297068	0.283715	0.153563	0.0908231	0.0759452	0.0988858
a62	0.23073	0.25856	0.16358	0.109577	0.102274	0.135278
a12	0.208421	0.249709	0.168541	0.117333	0.111504	0.144492
a96	0.1935	0.232976	0.198523	0.123974	0.114767	0.13626
a83	0.144991	0.180129	0.197192	0.156223	0.147882	0.173584
a35	0.105088	0.136497	0.199164	0.185857	0.170326	0.203067
a85	0.111754	0.140352	0.186038	0.195848	0.183554	0.182454
a30	0.122091	0.157028	0.166018	0.194124	0.193899	0.16684
a6	0.105867	0.127911	0.199386	0.181074	0.182098	0.203664
a36	0.0857931	0.0987976	0.154265	0.198543	0.229063	0.233538
a35	0.0560976	0.0568049	0.0901279	0.167103	0.264801	0.365065
a37	0.0866456	0.0818003	0.0953751	0.173483	0.243159	0.319537
a24	0.0792371	0.0738645	0.0844401	0.157299	0.242653	0.362506
a37	0.0666675	0.0685544	0.101563	0.170101	0.23956	0.353554
a35	0.0618037	0.0632751	0.102303	0.164205	0.248433	0.359979
a76	0.0569517	0.0545072	0.0749675	0.162852	0.256415	0.394307
a94	0.0551629	0.0536941	0.075311	0.12153	0.264462	0.429839
a53	0.0524028	0.0529096	0.082115	0.143629	0.273959	0.394984
a90	0.0679754	0.0593624	0.0979401	0.139055	0.251387	0.38428
a94	0.0642718	0.0489671	0.0726938	0.123456	0.254244	0.436367
a93	0.0617148	0.049308	0.0707878	0.125671	0.259187	0.433331
a94	0.0492591	0.0387748	0.0520022	0.11741	0.278464	0.46409
a54	0.0641054	0.0491869	0.0611744	0.120227	0.251978	0.453328
a73	0.0529521	0.0469382	0.0672978	0.113215	0.232554	0.487043
a26	0.0318037	0.0298308	0.0440465	0.0853414	0.242126	0.566851
a82	0.025038	0.0234004	0.0389379	0.0768498	0.263177	0.572597
a87	0.0194315	0.0133183	0.0219429	0.0695012	0.302188	0.573618
a23	0.0333028	0.0188352	0.0278083	0.11213	0.312862	0.495062
a97	0.0563616	0.0307418	0.0272396	0.122401	0.325282	0.437974
a23	0.0408328	0.0231038	0.0299891	0.113701	0.299796	0.492578
a87	0.0459506	0.02697	0.0311373	0.125335	0.310269	0.460339
a57	0.0349594	0.0201147	0.0267112	0.113162	0.294019	0.511033
a30	0.086872	0.0507835	0.0500952	0.1359	0.273934	0.402415
a87	0.0777143	0.0425357	0.0464966	0.133949	0.278258	0.421047
</S>	0.0967838	0.0552992	0.0609915	0.124835	0.255576	0.406514
