 	ce	n'	est	pas	mon	affaire	c'	est	ton	affaire	</S>
a10	0.163336	0.0912223	0.0736961	0.0879719	0.103864	0.122589	0.0923076	0.0911341	0.0699463	0.0507924	0.0531406
a57	0.165439	0.0840804	0.0822126	0.0874602	0.0910321	0.108182	0.0959504	0.0844124	0.0623397	0.0642569	0.0746344
a99	0.198056	0.121128	0.0989492	0.0868007	0.0750192	0.0809928	0.069691	0.06324	0.0571526	0.0662906	0.0826797
a13	0.221355	0.141859	0.114571	0.086921	0.0766221	0.0788316	0.0626049	0.0611833	0.0575396	0.0470992	0.0514133
a11	0.310053	0.187427	0.126208	0.0869434	0.0742082	0.0694591	0.04375	0.0328462	0.0269319	0.0198379	0.0223358
a26	0.383509	0.261258	0.148672	0.0681879	0.0416069	0.0353464	0.0219329	0.013812	0.0100302	0.00781705	0.00782711
a24	0.225778	0.213055	0.161376	0.104144	0.0787433	0.0717727	0.0419691	0.0312807	0.0250202	0.0228159	0.024044
a35	0.205026	0.2053	0.163847	0.120842	0.0975143	0.0889359	0.0457954	0.0301819	0.0179632	0.0129308	0.0116633
a14	0.175063	0.177746	0.156667	0.13006	0.106086	0.103373	0.0580652	0.0380455	0.0228775	0.0169061	0.0151107
a35	0.162298	0.152125	0.138585	0.13137	0.117324	0.114289	0.0746575	0.0496528	0.0273825	0.0180733	0.0142431
a14	0.149678	0.145633	0.141079	0.139995	0.123766	0.116383	0.0705626	0.0491284	0.0279111	0.0191684	0.0166952
a35	0.11022	0.112483	0.119598	0.136982	0.132221	0.130759	0.0931807	0.0698217	0.0424462	0.0288359	0.0234519
a57	0.0881614	0.0883531	0.101375	0.138413	0.143461	0.147484	0.10034	0.07725	0.0500633	0.0357006	0.0293985
a38	0.0409922	0.0449437	0.062369	0.0994954	0.132096	0.149374	0.117008	0.118496	0.0947358	0.0721744	0.0683144
a14	0.0439061	0.0498099	0.0674387	0.0966759	0.116438	0.131395	0.109576	0.115189	0.101184	0.0839841	0.0844032
a73	0.0720763	0.0795324	0.0951183	0.131088	0.135159	0.133049	0.102355	0.0886522	0.0634578	0.0519204	0.047592
a66	0.032653	0.0335065	0.0390347	0.0692214	0.0996036	0.123779	0.107953	0.125408	0.11987	0.120671	0.1283
a35	0.0352956	0.0344191	0.0395853	0.0598516	0.0932536	0.126572	0.112165	0.127232	0.119789	0.120254	0.131582
a14	0.0273554	0.0299814	0.0359841	0.0605684	0.0853176	0.103885	0.102697	0.123163	0.129865	0.143154	0.158028
a35	0.0306575	0.0355578	0.0422045	0.0605451	0.0747455	0.0922286	0.0952157	0.121663	0.130124	0.145887	0.171172
a94	0.0209314	0.0220397	0.0259812	0.0368118	0.0473777	0.0599875	0.0653641	0.104336	0.143856	0.200837	0.272477
a84	0.0143981	0.0149524	0.0189696	0.0271167	0.0385	0.0528931	0.0571355	0.0941588	0.145439	0.229544	0.306893
a87	0.0121929	0.011627	0.0160265	0.0256838	0.0376867	0.0490417	0.0615113	0.0954243	0.156108	0.232619	0.302078
a23	0.0233279	0.0183036	0.0214862	0.031597	0.0430249	0.0478348	0.0773077	0.105176	0.142542	0.203725	0.285675
a87	0.0239479	0.0180956	0.0230252	0.0359591	0.0454031	0.0435412	0.071062	0.095268	0.135586	0.204211	0.303901
a97	0.0152152	0.0116585	0.014382	0.0269646	0.0393403	0.0403023	0.0759066	0.100616	0.138287	0.21088	0.326447
</S>	0.0209854	0.0168182	0.0220599	0.0413723	0.0555433	0.0511736	0.100376	0.114988	0.137882	0.185065	0.253736
