 	le	juge	lui	a	posé	une	question	</S>
a66	0.528086	0.258488	0.0882782	0.0540629	0.0270195	0.0164927	0.0145107	0.0130619
a87	0.620029	0.176521	0.0800247	0.0608289	0.0202297	0.0110355	0.0139286	0.0174031
a23	0.489028	0.173537	0.0838612	0.0742341	0.0418637	0.0323508	0.0468023	0.0583232
a40	0.135874	0.0579443	0.069717	0.0998536	0.136743	0.144393	0.171917	0.183558
a36	0.544074	0.126841	0.067345	0.0630312	0.0639009	0.0484087	0.0464964	0.0399027
a6	0.355958	0.207206	0.162989	0.145321	0.0641866	0.0275636	0.0193058	0.0174689
a37	0.223188	0.221284	0.175926	0.152802	0.0997436	0.0540391	0.0360929	0.0369237
a75	0.142154	0.174608	0.129552	0.124669	0.128248	0.113167	0.0923278	0.0952758
a5	0.138991	0.15831	0.133265	0.13112	0.118449	0.117582	0.0932135	0.109069
a85	0.0539201	0.0699269	0.0964289	0.123422	0.158675	0.174347	0.15604	0.167239
a92	0.0565444	0.0805122	0.122442	0.143413	0.162935	0.154717	0.129931	0.149504
a56	0.0274085	0.0449942	0.107978	0.155065	0.208149	0.175584	0.136713	0.144107
a93	0.00786668	0.012464	0.0393507	0.0754923	0.183509	0.204441	0.228226	0.24865
a4	0.0011585	0.00213907	0.011411	0.0311286	0.145199	0.205746	0.282341	0.320877
a13	0.000234577	0.000613826	0.00380765	0.0132947	0.102057	0.185238	0.29327	0.401484
a99	0.000271448	0.000788913	0.0032965	0.00887525	0.050973	0.105544	0.283712	0.546539
a3	0.0133301	0.0106115	0.0160698	0.030033	0.0913017	0.113771	0.263365	0.461518
a99	0.220175	0.137557	0.0851038	0.0809624	0.0836748	0.0769328	0.12036	0.195234
a97	0.0734164	0.0586497	0.0462564	0.0489274	0.0680381	0.0984094	0.194931	0.411371
a87	0.0621133	0.0479959	0.0407847	0.0476274	0.069182	0.107748	0.233227	0.391321
</S>	0.057897	0.0458397	0.0416867	0.0550741	0.0849353	0.120894	0.241191	0.352483
