 	nous	venons	d'	assister	à	la	danse	</S>
a66	0.364814	0.0856659	0.082756	0.116452	0.141313	0.111675	0.0592713	0.0380534
a87	0.280193	0.172326	0.165315	0.159096	0.12026	0.0544129	0.0252139	0.023183
a23	0.379308	0.34704	0.127977	0.0541257	0.0329971	0.0261648	0.0167738	0.0156135
a83	0.237571	0.453207	0.176941	0.0834354	0.0232169	0.0108057	0.00710118	0.00772185
a0	0.417185	0.389343	0.110585	0.0412228	0.015639	0.0100692	0.00805014	0.0079053
a21	0.266593	0.327803	0.235238	0.106221	0.031858	0.014477	0.00952347	0.00828735
a92	0.134836	0.337689	0.261135	0.154551	0.0587603	0.0248493	0.0154351	0.0127443
a44	0.134763	0.302343	0.230166	0.160073	0.0772797	0.0410863	0.0293255	0.0249644
a56	0.0837737	0.228659	0.226083	0.191027	0.109259	0.0658778	0.0493099	0.0460104
a90	0.0539819	0.167803	0.199254	0.19473	0.145977	0.105273	0.0727706	0.0602097
a92	0.023002	0.0558788	0.135142	0.22404	0.222536	0.158877	0.100104	0.0804215
a44	0.00753987	0.0168037	0.065775	0.161948	0.233825	0.229192	0.158032	0.126885
a24	0.00374794	0.00893244	0.0326342	0.0896711	0.154281	0.212172	0.230211	0.26835
a47	0.000202852	0.000620771	0.00202571	0.00899364	0.0363766	0.112444	0.259633	0.579704
a31	0.000350056	0.000354745	0.00127006	0.00514468	0.0262721	0.104033	0.270833	0.591743
a0	0.000199717	0.00035472	0.00106091	0.00362128	0.0195991	0.0959663	0.274545	0.604653
a21	0.000165339	0.00017971	0.000744642	0.00289546	0.0176484	0.0920349	0.262545	0.623787
a5	0.000217733	0.000452912	0.00127666	0.00326637	0.0128364	0.0547015	0.196831	0.730417
a23	8.836e-05	0.000168879	0.000757763	0.00259291	0.0117249	0.0555962	0.204803	0.724268
a27	0.000134498	0.000351183	0.00154995	0.00526079	0.020566	0.0697904	0.205649	0.696698
a82	0.0396454	0.0416394	0.0581371	0.0687707	0.0842413	0.117102	0.190183	0.400281
a87	0.202485	0.133439	0.098141	0.0807644	0.0777159	0.092053	0.120842	0.19456
a23	0.134379	0.121248	0.10301	0.101422	0.110377	0.123443	0.134821	0.171299
a38	0.0091643	0.0100707	0.0163423	0.0265089	0.0608651	0.141631	0.281898	0.453519
</S>	0.012615	0.0199984	0.0289141	0.0480666	0.0934849	0.162545	0.256535	0.377842
