 	dans	mon	champ	il	y	a	des	palmiers	à	huile	de	petite	taille	</S>
a66	0.109741	0.104115	0.101292	0.111491	0.147359	0.173471	0.104956	0.060944	0.0349634	0.0233383	0.0128968	0.00602461	0.00453039	0.00487853
a87	0.182253	0.122331	0.0927909	0.0755475	0.130067	0.147393	0.115561	0.0939021	0.0156946	0.00754499	0.00499493	0.00383697	0.00353615	0.00454758
a23	0.246592	0.175511	0.137904	0.100346	0.109201	0.105246	0.0623682	0.0302052	0.00629201	0.00338262	0.00308027	0.00477399	0.0063885	0.00870837
a10	0.238352	0.182414	0.135556	0.0707388	0.0832314	0.077947	0.0587598	0.0529013	0.013959	0.00892617	0.00692173	0.0126416	0.0207528	0.0368983
a54	0.193419	0.156316	0.142228	0.0857869	0.106697	0.104048	0.0805944	0.0615929	0.0120645	0.00836706	0.00687823	0.0102288	0.013094	0.0186866
a15	0.0889357	0.0790422	0.0767549	0.088229	0.111196	0.125192	0.121298	0.138651	0.0405946	0.0255171	0.0227846	0.0253677	0.0268366	0.0295993
a79	0.0796008	0.0713665	0.0639501	0.0767842	0.094684	0.104185	0.135448	0.248661	0.0428863	0.0250178	0.018725	0.0143882	0.012727	0.0115765
a93	0.0738375	0.0841275	0.092474	0.108607	0.119383	0.109216	0.126953	0.1875	0.0380489	0.0211164	0.0141266	0.00938392	0.00806212	0.00716398
a75	0.0592075	0.0705698	0.102549	0.13525	0.149084	0.126235	0.126471	0.127777	0.0348115	0.0185663	0.0182247	0.0128447	0.0103333	0.00807573
a92	0.0405327	0.0448014	0.0630846	0.0902069	0.118506	0.109101	0.133554	0.184253	0.0672209	0.0496183	0.0377149	0.0239215	0.0200032	0.017481
a37	0.0379074	0.0401783	0.0539802	0.0814211	0.109821	0.103081	0.119481	0.174656	0.0876107	0.0687874	0.0503534	0.0295396	0.0231781	0.020005
a21	0.0490133	0.0471274	0.0610348	0.0898008	0.120996	0.124333	0.131668	0.1454	0.0733751	0.0407617	0.0353822	0.0278295	0.0277702	0.0255074
a12	0.0347492	0.0274689	0.0352063	0.0657713	0.100154	0.114675	0.104514	0.146467	0.0977002	0.0786338	0.0673449	0.0488061	0.0414251	0.0370846
a21	0.0105063	0.00850432	0.0109938	0.0250309	0.0540604	0.0765831	0.0676175	0.105956	0.121178	0.118686	0.123091	0.0997075	0.0936316	0.0844534
a85	0.00798027	0.00643493	0.00762031	0.0158352	0.0331841	0.0495811	0.0428193	0.0713306	0.12498	0.135856	0.155382	0.132304	0.116393	0.100299
a5	0.0053664	0.00481623	0.00553099	0.0117344	0.0205796	0.0299378	0.0330119	0.0524088	0.10125	0.128721	0.14493	0.157646	0.159567	0.1445
a0	0.00880217	0.00746099	0.0074405	0.0119181	0.0164115	0.0224969	0.0234049	0.0486714	0.125856	0.138422	0.163271	0.142276	0.141112	0.142456
a21	0.0112352	0.00906042	0.00857194	0.0126828	0.0146074	0.0193708	0.0214847	0.0378259	0.110527	0.157035	0.173812	0.147599	0.134939	0.141249
a12	0.00526723	0.00440031	0.00429203	0.00536303	0.00585123	0.00702206	0.00656103	0.0119296	0.0452447	0.113756	0.162433	0.240522	0.201805	0.185552
a21	0.00437596	0.00385336	0.0038627	0.00505711	0.00543848	0.00629488	0.0062065	0.00970892	0.0301666	0.0771603	0.116393	0.219006	0.245622	0.266854
a75	0.00365219	0.00322558	0.00320883	0.00439096	0.00469077	0.00531228	0.00575973	0.0113715	0.0372015	0.0987197	0.129115	0.233094	0.224969	0.235289
a92	0.00143054	0.00132079	0.0012887	0.0017568	0.00179768	0.00211865	0.00268221	0.00574236	0.028094	0.0758149	0.0951428	0.20429	0.251861	0.32666
a37	0.000804243	0.000708912	0.000716027	0.00105574	0.00101501	0.00119323	0.00141476	0.00362857	0.0226234	0.0663995	0.0797896	0.214787	0.275099	0.330765
a62	0.00135864	0.00117396	0.0011033	0.00145833	0.00101785	0.001202	0.00117734	0.00186705	0.010114	0.0304757	0.0376643	0.150562	0.321917	0.438909
a21	0.00119067	0.0010963	0.00119057	0.00151207	0.00158889	0.00201279	0.00197998	0.00167719	0.00808351	0.0368334	0.0371213	0.162206	0.301032	0.442475
a5	0.00047399	0.00042283	0.000385779	0.000410703	0.000331836	0.000357285	0.000337083	0.00045325	0.00287674	0.0167511	0.0209436	0.126505	0.329881	0.499869
a36	0.000326063	0.000300312	0.000280542	0.000312181	0.000253753	0.000284605	0.000272037	0.000352079	0.0025067	0.01509	0.0187571	0.115078	0.319709	0.526478
a27	0.00111643	0.000833301	0.000729698	0.000981135	0.00109902	0.00139817	0.00185662	0.00195625	0.0109324	0.0407024	0.0491652	0.18921	0.303553	0.396466
a82	0.0202325	0.0123376	0.00866366	0.0102058	0.0077388	0.00841026	0.00912278	0.0107562	0.0478629	0.0671598	0.101205	0.162746	0.252381	0.281178
a87	0.0896032	0.0487048	0.0298669	0.0318318	0.0317785	0.0360431	0.034337	0.0408679	0.0722023	0.0657467	0.0853814	0.114637	0.149001	0.169998
a23	0.143485	0.0956333	0.0697007	0.0721682	0.0807636	0.0894386	0.0705848	0.0632759	0.051806	0.0479128	0.0556075	0.0531015	0.0537653	0.0527569
a87	0.0446639	0.0306999	0.0235999	0.0185371	0.0151031	0.0209431	0.0180369	0.0187386	0.0226996	0.0449945	0.0570965	0.153796	0.239735	0.291356
a23	0.00591439	0.00372911	0.00288093	0.00254152	0.00227811	0.00299703	0.00270835	0.00480212	0.0107651	0.0264579	0.042172	0.163094	0.293238	0.436422
a99	0.0199415	0.0167915	0.0147397	0.0125538	0.010975	0.0145711	0.0132007	0.0122435	0.0220635	0.0444035	0.057366	0.169297	0.262494	0.329359
