 	je	vais	à	damara	</S>
a23	0.420866	0.166066	0.154252	0.155826	0.102991
a87	0.551545	0.23176	0.131814	0.0538257	0.0310547
a23	0.377822	0.291031	0.193364	0.0820042	0.0557795
a38	0.564928	0.267538	0.0914272	0.0390338	0.0370732
a94	0.630312	0.265035	0.0738453	0.0211926	0.00961534
a54	0.464858	0.364646	0.127198	0.0315215	0.0117769
a30	0.366866	0.350298	0.194118	0.0627077	0.0260091
a0	0.312765	0.330456	0.246171	0.0823971	0.0282112
a25	0.231547	0.303231	0.296879	0.120033	0.0483101
a24	0.16524	0.232271	0.314807	0.196753	0.0909286
a25	0.232915	0.267563	0.257345	0.157157	0.0850187
a82	0.0907574	0.132797	0.284652	0.309214	0.182579
a10	0.0708942	0.101544	0.202241	0.314873	0.310448
a24	0.0781984	0.0899052	0.171045	0.273171	0.38768
a41	0.118295	0.129466	0.195169	0.22759	0.32948
a25	0.0327196	0.0358411	0.0998067	0.261709	0.569923
a87	0.00972887	0.0093355	0.0308451	0.225068	0.725023
a23	0.00549586	0.00453713	0.017785	0.138134	0.834048
a13	0.0130778	0.00677426	0.020826	0.141958	0.817364
a75	0.0109293	0.00632601	0.0214763	0.143809	0.817459
a14	0.00567342	0.00419232	0.0174855	0.141878	0.830771
a35	0.00719821	0.00751676	0.032455	0.20109	0.75174
a14	0.00621143	0.00641491	0.026472	0.173077	0.787824
a73	0.00647654	0.00663002	0.0250278	0.172867	0.788999
a84	0.0033226	0.0032455	0.0152929	0.13039	0.847749
a57	0.0075563	0.00668524	0.0261644	0.136837	0.822757
a87	0.0656381	0.0443941	0.077857	0.186504	0.625607
</S>	0.0650749	0.0571792	0.0830292	0.202801	0.591916
