 	si	je	ne	veux	pas	rester	ici	j'	irai	ailleurs	</S>
a10	0.305418	0.175008	0.0965695	0.0838097	0.0935119	0.0746353	0.0527221	0.0400446	0.0278209	0.0258804	0.0245797
a87	0.321608	0.153654	0.0891651	0.0727293	0.063523	0.0566686	0.0502833	0.0479264	0.0525227	0.0505969	0.0413223
a23	0.189016	0.134864	0.11102	0.097578	0.0666596	0.0579944	0.0516272	0.0520565	0.0641386	0.0825532	0.0924934
a53	0.173301	0.173265	0.156648	0.113881	0.0540026	0.0390389	0.0368718	0.0392916	0.0480941	0.0797179	0.0858877
a35	0.325257	0.239321	0.12585	0.0864464	0.053332	0.042232	0.0381259	0.0289173	0.0208775	0.0215288	0.0181132
a26	0.240008	0.258469	0.174745	0.130642	0.0489641	0.0359542	0.0349543	0.030025	0.0186097	0.0161369	0.0114916
a24	0.231135	0.26942	0.191058	0.13845	0.0477608	0.0300645	0.0254072	0.0236478	0.0168893	0.0153294	0.0108388
a38	0.154976	0.191367	0.202379	0.179399	0.0974063	0.0594758	0.0420392	0.0333649	0.0191446	0.0115863	0.0088618
a26	0.10786	0.157307	0.206215	0.205306	0.111823	0.0696797	0.0492169	0.0394507	0.02447	0.0154157	0.0132567
a98	0.0776155	0.10838	0.167897	0.185834	0.139956	0.0932424	0.06908	0.0565451	0.0411611	0.0295531	0.0307362
a25	0.0779683	0.101184	0.164905	0.195834	0.160737	0.108973	0.0710901	0.0528891	0.0307618	0.0190148	0.0166429
a53	0.067191	0.0785	0.131764	0.162744	0.159684	0.123501	0.0953052	0.0751454	0.0452327	0.0310552	0.0298771
a76	0.0522381	0.0632283	0.123964	0.17292	0.173119	0.135027	0.10243	0.0768643	0.0429188	0.0287798	0.0285101
a94	0.0429887	0.0523576	0.109195	0.157464	0.149482	0.126287	0.113305	0.0950867	0.0623867	0.0500238	0.0414226
a32	0.0402559	0.0509852	0.0922291	0.121927	0.163875	0.135093	0.116076	0.0988312	0.0640987	0.0551855	0.0614442
a76	0.0231865	0.0266439	0.0535941	0.0771919	0.135024	0.133076	0.149843	0.137715	0.0932304	0.0862819	0.084213
a14	0.056058	0.0671415	0.0846157	0.0851016	0.113152	0.110815	0.108226	0.0997299	0.083472	0.0950749	0.096613
a44	0.0294687	0.0348951	0.0606582	0.0704237	0.123245	0.114519	0.132667	0.126495	0.101531	0.10455	0.101547
a38	0.0239591	0.0256884	0.0436551	0.0445112	0.0812299	0.0917738	0.131204	0.139948	0.124299	0.14352	0.150211
a24	0.010806	0.0109434	0.020845	0.0250031	0.0647799	0.0880818	0.148473	0.159424	0.14535	0.178052	0.148241
a35	0.00557559	0.00659775	0.0131969	0.0182283	0.0430338	0.0568391	0.108055	0.130391	0.15443	0.247693	0.215959
a30	0.0149527	0.0169836	0.0253979	0.0240543	0.0371543	0.0451845	0.0837212	0.107312	0.130498	0.250483	0.264259
a20	0.0114798	0.0133991	0.0237214	0.0271965	0.0583092	0.0738655	0.124459	0.141514	0.137527	0.200308	0.18822
a14	0.0166011	0.0149467	0.0221511	0.0197601	0.033402	0.0434975	0.083442	0.0978765	0.11395	0.23504	0.319333
a35	0.0137955	0.0142386	0.0211344	0.0183721	0.0296324	0.0362309	0.0641034	0.0831753	0.118972	0.258053	0.342292
a57	0.00780916	0.00741081	0.0121725	0.0105664	0.0184455	0.0226656	0.0440597	0.0608224	0.0989216	0.286311	0.430815
a38	0.00575162	0.00570147	0.00939179	0.00845097	0.0146785	0.0215189	0.0496977	0.0661283	0.110686	0.321546	0.386449
a75	0.00686913	0.0051749	0.00694467	0.00578568	0.0113342	0.016908	0.0436558	0.0611935	0.100444	0.336645	0.405045
a14	0.00445516	0.00350443	0.00454119	0.00324306	0.00619471	0.00853354	0.0217256	0.0334321	0.0652549	0.250852	0.598263
a73	0.00260397	0.00222828	0.00352564	0.00300955	0.00517265	0.00686831	0.014947	0.0240532	0.0531026	0.247139	0.63735
a57	0.00586169	0.00384437	0.00483739	0.00380603	0.00631456	0.00794906	0.0153983	0.0232015	0.0514729	0.258564	0.61875
a10	0.00464388	0.00255796	0.00302067	0.00238796	0.00437064	0.00584477	0.0142711	0.023309	0.0541265	0.284147	0.601321
a87	0.00260001	0.00131474	0.00150232	0.00136794	0.00290766	0.00492534	0.0142023	0.025806	0.0668279	0.328052	0.550494
a23	0.00744782	0.00337075	0.0029686	0.00218165	0.00415055	0.00879618	0.0263072	0.0427319	0.0914308	0.290799	0.519815
a83	0.00946536	0.00618299	0.00719887	0.0060188	0.0110906	0.0208819	0.0559475	0.0841489	0.132841	0.287235	0.378989
a66	0.00602393	0.00399787	0.00545388	0.0060956	0.0139526	0.0245785	0.0543928	0.0775618	0.116407	0.293459	0.398077
a57	0.00246509	0.00229122	0.00417607	0.00585455	0.0133344	0.0208428	0.0468067	0.0734621	0.124774	0.281875	0.424118
a38	0.000360214	0.000338339	0.00062562	0.000800746	0.00290876	0.00528008	0.015544	0.0282352	0.0726817	0.325175	0.54805
a62	0.000388234	0.000353488	0.000644929	0.000790046	0.00240863	0.00428676	0.0122055	0.0217708	0.0600715	0.325827	0.571253
a34	0.00109715	0.00103283	0.0014876	0.00158869	0.00327691	0.00561647	0.0163674	0.0326568	0.0773087	0.295038	0.564529
a98	0.00147258	0.00118265	0.00157306	0.00156662	0.00245704	0.00374326	0.00988018	0.019896	0.050914	0.264457	0.642858
a38	0.000839498	0.000503108	0.000698307	0.00063343	0.00139197	0.00238399	0.0082091	0.017579	0.0460378	0.274418	0.647306
a41	0.00082608	0.000435075	0.00056166	0.000507662	0.00120993	0.00195212	0.00625655	0.0131185	0.0385429	0.262168	0.674421
a62	0.000942924	0.000652378	0.00104574	0.00101108	0.0026524	0.00399752	0.0116325	0.0216273	0.053806	0.26252	0.640112
a32	0.000914662	0.000514267	0.000630127	0.0005803	0.00136959	0.00244635	0.00869965	0.0190619	0.0560057	0.292351	0.617427
a35	0.000966417	0.000497534	0.000614077	0.000510464	0.00141304	0.002617	0.00980458	0.0212104	0.0677019	0.309678	0.584987
a24	0.000794216	0.000460604	0.000615663	0.00052773	0.00143899	0.00238631	0.00792201	0.016008	0.0483566	0.266875	0.654615
a32	0.00129891	0.000747876	0.000924637	0.000728489	0.00184259	0.00308975	0.0103957	0.0219655	0.070361	0.306392	0.582254
a13	0.0016645	0.0010173	0.00115902	0.000862272	0.0016939	0.00255088	0.00832243	0.017564	0.0572835	0.285613	0.622269
a9	0.00224694	0.00117009	0.00130583	0.00108857	0.0020948	0.00338279	0.00999537	0.0201131	0.0628908	0.29543	0.600282
a87	0.00430031	0.00218081	0.00217266	0.00180804	0.00329858	0.00585118	0.0165365	0.0296724	0.0864528	0.321393	0.526334
</S>	0.00573626	0.00266522	0.00203636	0.0014013	0.00234614	0.00453812	0.0146513	0.0289789	0.0918147	0.323317	0.522515
