 	j'	ai	un	abcès	à	la	cuisse	</S>
a10	0.291263	0.186007	0.144719	0.108407	0.097241	0.0721167	0.0588794	0.0413671
a87	0.244282	0.152377	0.107768	0.10963	0.116066	0.105817	0.0934879	0.0705727
a10	0.294989	0.147507	0.0773199	0.0664416	0.0692861	0.0879721	0.135029	0.121456
a87	0.373059	0.227696	0.12224	0.0760825	0.0575965	0.0474992	0.0515236	0.0443026
a23	0.36703	0.220073	0.124172	0.0878661	0.0670518	0.0523121	0.0481448	0.0333497
a83	0.328331	0.267293	0.143991	0.0842211	0.0587048	0.0417364	0.0427162	0.0330074
a66	0.412919	0.303684	0.149011	0.0634394	0.0313207	0.0178022	0.0124015	0.00942245
a26	0.331064	0.33546	0.187188	0.070764	0.0327742	0.0186548	0.012643	0.0114512
a32	0.223913	0.255826	0.204089	0.10909	0.0736556	0.0513119	0.0417376	0.0403767
a26	0.205817	0.234966	0.205257	0.124181	0.0913314	0.0628091	0.0416323	0.0340068
a35	0.139659	0.160815	0.181757	0.152789	0.129354	0.101187	0.071605	0.0628334
a76	0.194601	0.187549	0.201756	0.169575	0.123042	0.0683832	0.030015	0.0250794
a90	0.223303	0.194019	0.191264	0.141236	0.0990909	0.0706103	0.0452254	0.035251
a13	0.212693	0.18478	0.206287	0.16414	0.105715	0.0647568	0.03432	0.0273074
a38	0.113706	0.100529	0.14399	0.190744	0.170905	0.136125	0.0801054	0.0638955
a26	0.106404	0.0954094	0.134602	0.188898	0.178357	0.141743	0.0839531	0.0706329
a35	0.106023	0.0926366	0.128514	0.18534	0.171181	0.140254	0.0961176	0.0799351
a41	0.0697861	0.0614526	0.0861457	0.129432	0.153936	0.168293	0.172054	0.158901
a66	0.0455602	0.0414702	0.0566672	0.0897588	0.138928	0.182977	0.231989	0.212648
a75	0.0202589	0.0200591	0.0280383	0.0486681	0.0865998	0.166597	0.276059	0.353719
a34	0.015412	0.0118519	0.0147141	0.0265714	0.0591434	0.142744	0.310014	0.41955
a41	0.0214125	0.0161519	0.01998	0.032319	0.056266	0.119084	0.257607	0.477179
a94	0.0255281	0.0160667	0.0161598	0.026522	0.0457531	0.0993677	0.261278	0.509325
a25	0.0225644	0.0138531	0.013359	0.0206976	0.0366246	0.0852528	0.248989	0.558659
a87	0.05175	0.0307919	0.02443	0.0306673	0.0469172	0.0922693	0.224959	0.498215
a23	0.0340935	0.0182621	0.0140002	0.0225603	0.0471602	0.119747	0.297466	0.446711
a87	0.0608185	0.0464903	0.0412438	0.0509516	0.0714394	0.117505	0.266483	0.345068
</S>	0.032414	0.0222107	0.0185783	0.0280791	0.0623769	0.124647	0.303896	0.407799
