 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
a10	0.212832	0.130926	0.100286	0.0845697	0.0640656	0.0529028	0.0599119	0.0806715	0.0996908	0.114143
a87	0.159489	0.113069	0.0990466	0.0899469	0.0863971	0.0719633	0.0551726	0.079773	0.103515	0.141628
a23	0.259449	0.183176	0.13015	0.0864162	0.0643696	0.0535763	0.0365593	0.0440197	0.0579637	0.0843206
a53	0.270198	0.206581	0.123533	0.0679116	0.04308	0.0326834	0.0287711	0.0501411	0.0676125	0.109487
a76	0.373152	0.238702	0.136261	0.0921798	0.0533587	0.031619	0.020667	0.0161035	0.0171519	0.0208051
a41	0.302576	0.286842	0.192866	0.115652	0.0477359	0.0219477	0.00963032	0.00756735	0.00721695	0.00796599
a35	0.264651	0.268787	0.20754	0.135326	0.0621895	0.0269949	0.0104955	0.00798412	0.00761917	0.00841247
a41	0.187826	0.231618	0.214785	0.174069	0.091419	0.0426634	0.0180611	0.0135145	0.0125227	0.0135213
a32	0.137369	0.182341	0.206316	0.205838	0.131602	0.0607448	0.024869	0.0173167	0.01612	0.017483
a11	0.105681	0.148449	0.195127	0.22511	0.178419	0.0766509	0.0246828	0.0151936	0.0145662	0.0161197
a24	0.102281	0.139002	0.191994	0.217199	0.184789	0.0843587	0.0248243	0.0163192	0.0174299	0.021803
a41	0.0809012	0.110701	0.15926	0.20439	0.189973	0.118845	0.0539414	0.0279704	0.0256034	0.0284145
a27	0.0880046	0.104529	0.159202	0.185359	0.193547	0.109301	0.0472202	0.0319141	0.0353033	0.0456203
a11	0.0637327	0.0758025	0.113471	0.129239	0.194351	0.148413	0.084543	0.0557706	0.059536	0.0751418
a75	0.0602591	0.0704432	0.100161	0.119889	0.190784	0.153317	0.0995918	0.0642618	0.0635221	0.0777708
a41	0.0692546	0.0678347	0.0964141	0.109703	0.12898	0.103339	0.0858111	0.0952009	0.106689	0.136773
a96	0.0533433	0.0488275	0.0641592	0.0709796	0.0934984	0.100774	0.114754	0.133086	0.144562	0.176016
a66	0.0591829	0.0598054	0.0743614	0.0818322	0.0938074	0.107132	0.12378	0.127475	0.128794	0.14383
a24	0.0696589	0.069007	0.0863078	0.0863529	0.108387	0.122281	0.144831	0.114252	0.0974373	0.101486
a47	0.0571503	0.0505311	0.0588107	0.0597817	0.067566	0.0824918	0.12747	0.152561	0.1581	0.185538
a43	0.0676447	0.0623337	0.0705484	0.0694241	0.0777683	0.0914096	0.14302	0.148322	0.13229	0.13724
a75	0.0772518	0.0655834	0.067697	0.0617619	0.0556	0.0672167	0.127313	0.161337	0.151926	0.164313
a41	0.0449534	0.0332905	0.0374204	0.0345322	0.0347724	0.045564	0.1137	0.16543	0.20977	0.280567
a44	0.0256642	0.0199718	0.023138	0.0234982	0.0310814	0.0460547	0.142617	0.204268	0.224597	0.259109
a26	0.0342625	0.0279831	0.0333784	0.0345884	0.0410226	0.0515354	0.150186	0.203391	0.203709	0.219943
a84	0.0281925	0.0235475	0.0287343	0.0283917	0.033106	0.0388839	0.109675	0.181089	0.225996	0.302385
a53	0.0150024	0.0130477	0.0151944	0.0146306	0.0208812	0.0308332	0.103144	0.194607	0.255601	0.337058
a90	0.0227245	0.01387	0.0142937	0.0128909	0.0154942	0.020301	0.0555617	0.131738	0.239931	0.473196
a98	0.0209006	0.0149103	0.0178104	0.0166438	0.0196184	0.02526	0.0779963	0.160958	0.24292	0.402983
a75	0.0156999	0.0115934	0.0152885	0.0146499	0.0200072	0.0241392	0.0619254	0.140145	0.251205	0.445346
a41	0.0270165	0.0211795	0.0275685	0.0264835	0.0313479	0.0336777	0.0817534	0.144554	0.223001	0.383418
a56	0.0192397	0.0160395	0.0199663	0.0193559	0.0221178	0.0242966	0.0678425	0.159219	0.255659	0.396263
a90	0.0159254	0.0130716	0.0159022	0.0156209	0.0171871	0.0177797	0.051277	0.143253	0.268986	0.440997
a93	0.0249333	0.0183533	0.022207	0.0210036	0.0254764	0.0286916	0.0709549	0.157348	0.247576	0.383455
a98	0.013075	0.0109363	0.0122843	0.0116687	0.0161105	0.0205366	0.0483956	0.135803	0.271773	0.459417
a44	0.0105301	0.00794146	0.00893988	0.00776233	0.0102843	0.0127112	0.0342104	0.130193	0.281428	0.495999
a96	0.0105399	0.00796388	0.00872082	0.00769974	0.0108642	0.014602	0.0301077	0.114429	0.276455	0.518617
a66	0.0121605	0.00839425	0.00885168	0.00764924	0.0108432	0.0148232	0.0318381	0.122439	0.280347	0.502654
a61	0.00730385	0.00497434	0.00480128	0.0041277	0.00695123	0.0118984	0.0309076	0.1309	0.290028	0.508107
a47	0.00603357	0.00405696	0.00403391	0.00371612	0.00536376	0.00787564	0.0223151	0.10981	0.280512	0.556283
a83	0.00643006	0.00472618	0.00450889	0.00392449	0.00533137	0.00766307	0.0255248	0.118431	0.278956	0.544505
a71	0.00663921	0.00488305	0.00458714	0.00403487	0.00599366	0.0090129	0.0301841	0.130044	0.288955	0.515666
a9	0.00426738	0.0030895	0.00312225	0.00320506	0.00570347	0.00913727	0.0298915	0.122854	0.284192	0.534538
a87	0.00177986	0.00114131	0.001186	0.00127482	0.00261562	0.00591211	0.0276778	0.136799	0.299998	0.521615
</S>	0.00393818	0.00218509	0.00161897	0.00145454	0.00313503	0.00735495	0.0326625	0.142972	0.280593	0.524086
