 	le	vent	s'	apaise	</S>
a23	0.273825	0.224279	0.195664	0.185423	0.120809
a87	0.471565	0.247225	0.123026	0.0809815	0.0772036
a23	0.287689	0.292014	0.173364	0.119815	0.127117
a87	0.342584	0.248099	0.17912	0.130421	0.0997759
a57	0.31578	0.263998	0.150547	0.113593	0.156082
a87	0.265232	0.250202	0.166311	0.137551	0.180704
a23	0.291002	0.230577	0.150059	0.135954	0.192408
a20	0.221508	0.205782	0.167854	0.171727	0.23313
a58	0.433024	0.257877	0.164707	0.0940358	0.0503567
a82	0.463913	0.328897	0.131982	0.0568736	0.0183355
a38	0.362147	0.333804	0.150431	0.0967437	0.056874
a54	0.394127	0.340688	0.1438	0.085397	0.0359871
a44	0.402407	0.28931	0.142538	0.11214	0.0536055
a25	0.344258	0.279673	0.18002	0.141786	0.054263
a54	0.219453	0.251331	0.222263	0.209284	0.0976681
a14	0.21398	0.231225	0.197667	0.224098	0.133031
a35	0.289263	0.257277	0.177163	0.169115	0.107183
a76	0.224655	0.247749	0.193256	0.197587	0.136753
a90	0.126297	0.186737	0.227287	0.285557	0.174121
a25	0.0816659	0.121687	0.19401	0.352752	0.249885
a57	0.0284453	0.0601004	0.171412	0.397817	0.342225
a76	0.00935539	0.0285222	0.103285	0.330977	0.52786
a90	0.0173152	0.0313362	0.0800424	0.272711	0.598595
a32	0.0209858	0.0261884	0.0620711	0.223704	0.66705
a11	0.00875548	0.014116	0.0561289	0.221447	0.699552
a90	0.00536376	0.00813018	0.048093	0.210952	0.727461
a58	0.00667649	0.0101138	0.0482194	0.216591	0.718399
a25	0.00944285	0.0133804	0.0549402	0.216242	0.705994
a87	0.00459958	0.00863355	0.0435283	0.196783	0.746456
</S>	0.00686699	0.0104416	0.0465122	0.160355	0.775824
