 	je	n'	ai	pas	l'	habitude	de	taper	les	petits	enfants	</S>
a66	0.141561	0.108303	0.10568	0.112877	0.121976	0.122312	0.103735	0.121656	0.0354851	0.012703	0.00715471	0.00655752
a87	0.261263	0.150514	0.113324	0.0868331	0.0692	0.0632766	0.0596914	0.0686085	0.0260746	0.0186035	0.0380041	0.0446072
a23	0.205029	0.155659	0.144453	0.129181	0.116726	0.0854367	0.0478247	0.0452166	0.0163179	0.0114209	0.0168766	0.0258573
a13	0.160669	0.132247	0.133936	0.133418	0.137132	0.116765	0.0609394	0.046417	0.014914	0.0139976	0.019829	0.029736
a62	0.150557	0.132394	0.12842	0.125603	0.122967	0.119957	0.064362	0.0650767	0.0212559	0.0165774	0.0238247	0.0290051
a75	0.184881	0.168321	0.15555	0.151077	0.136645	0.108745	0.0449419	0.0346785	0.00524262	0.00317392	0.00334532	0.00339848
a98	0.150209	0.139313	0.138896	0.150592	0.145793	0.126404	0.0685931	0.0533607	0.00995715	0.00587495	0.00529726	0.00570919
a92	0.108925	0.101731	0.112571	0.130032	0.139165	0.138252	0.112114	0.0761789	0.0272105	0.0185873	0.0167685	0.0184647
a21	0.105245	0.13743	0.185684	0.182068	0.142592	0.100283	0.0667582	0.0445172	0.0136215	0.00847922	0.00598431	0.00733763
a96	0.105931	0.130312	0.175211	0.174742	0.137689	0.0958219	0.0809851	0.0557065	0.0187816	0.0102133	0.00654049	0.00806576
a18	0.104137	0.12311	0.152797	0.151992	0.133811	0.111735	0.0979755	0.0652083	0.0226429	0.0142483	0.00992602	0.0124173
a93	0.0534885	0.0762254	0.112207	0.135055	0.140861	0.135506	0.142525	0.09471	0.0364694	0.0244788	0.0210292	0.0274433
a34	0.0624485	0.0882563	0.118117	0.134249	0.133911	0.122134	0.145229	0.0942622	0.0404629	0.0229823	0.0174274	0.020521
a47	0.043544	0.0630061	0.0834366	0.112422	0.117819	0.12103	0.154157	0.139352	0.0677746	0.0376099	0.0274326	0.0324153
a96	0.0302087	0.0358842	0.0444884	0.0652287	0.0849224	0.10617	0.167629	0.152153	0.101006	0.0676169	0.0648946	0.0797982
a21	0.0221944	0.026568	0.0317168	0.0465603	0.0601354	0.0759248	0.140379	0.154055	0.136388	0.0997624	0.0932057	0.11311
a85	0.0159555	0.0177804	0.0191057	0.0258065	0.0315674	0.0405668	0.0973851	0.135762	0.161761	0.143419	0.142098	0.168793
a92	0.00601624	0.00708733	0.00893128	0.013884	0.0226721	0.033495	0.100275	0.143652	0.161224	0.16708	0.153958	0.181723
a98	0.00526112	0.00616547	0.00786398	0.0122984	0.0195736	0.0289369	0.0857432	0.118929	0.176717	0.174798	0.174377	0.189336
a85	0.00524982	0.00614679	0.00819576	0.0126151	0.0175365	0.0228736	0.0580367	0.0995761	0.165941	0.174252	0.201525	0.228052
a92	0.00365575	0.00421096	0.00534858	0.0079206	0.0115689	0.0151382	0.0449444	0.0789422	0.148866	0.172688	0.232833	0.273884
a98	0.00340763	0.00342061	0.00396381	0.00558347	0.00864674	0.0117399	0.0375087	0.0622105	0.129944	0.195342	0.254184	0.284049
a85	0.00285766	0.00267182	0.00292308	0.00375477	0.00471008	0.00543079	0.0149133	0.0281035	0.0764052	0.159638	0.303301	0.395291
a92	0.00123643	0.00119208	0.00138222	0.00183174	0.00243296	0.00292341	0.0101011	0.0213779	0.0709381	0.166825	0.321313	0.398447
a37	0.00111758	0.000955444	0.00100741	0.00135902	0.00199652	0.0026868	0.0103092	0.0208409	0.0660815	0.162282	0.331213	0.40015
a75	0.000945866	0.000638302	0.000462577	0.000438849	0.000482613	0.000563397	0.00189869	0.00299658	0.0223059	0.111598	0.372047	0.485622
a61	0.000297955	0.000239263	0.000231254	0.000284281	0.000371647	0.000468155	0.00196985	0.00391418	0.0228574	0.0939597	0.374554	0.500852
a0	0.000545516	0.000362964	0.000258619	0.000239397	0.000245496	0.000279684	0.00115359	0.00169955	0.0170524	0.0968383	0.389848	0.491476
a38	0.00105316	0.000896014	0.00086664	0.000823537	0.000713182	0.000732381	0.00240234	0.00293206	0.0247768	0.0986614	0.358002	0.508141
a36	0.00496692	0.00424317	0.004185	0.00342128	0.00257244	0.0021247	0.00422847	0.00429774	0.0301434	0.104634	0.343363	0.49182
a2	0.0572787	0.0382486	0.0347952	0.0277561	0.0205905	0.0148077	0.0172062	0.0159519	0.0705263	0.156939	0.243116	0.302784
a57	0.195378	0.112768	0.087518	0.0645795	0.0482647	0.0355274	0.0274175	0.0293009	0.0638334	0.0822722	0.112752	0.140389
a87	0.17305	0.103916	0.0746986	0.0552253	0.0427528	0.0316858	0.0217993	0.0288628	0.0496618	0.0912076	0.144134	0.183005
a23	0.086874	0.0518896	0.0417615	0.034386	0.0315149	0.0252153	0.0227911	0.0360635	0.0667606	0.129216	0.204236	0.269291
a87	0.0295194	0.0170156	0.0122782	0.00918166	0.0078223	0.00577909	0.00802032	0.010184	0.0381526	0.116322	0.310886	0.434839
</S>	0.0104356	0.00676237	0.0061079	0.00488552	0.00468391	0.00376703	0.00667379	0.00703854	0.025395	0.0943971	0.326808	0.503045
