 	cette	femme	lance	des	in	jures	obscènes	parce	qu'	elle	est	folle	</S>
a66	0.130552	0.141833	0.162213	0.203621	0.170524	0.091442	0.0385635	0.0184352	0.0136549	0.00946486	0.00815688	0.0058228	0.00571674
a87	0.32366	0.177834	0.113546	0.0963307	0.0542716	0.0372514	0.0218796	0.0124416	0.0125012	0.0168633	0.0320108	0.0468663	0.0545436
a23	0.312957	0.217568	0.119019	0.09675	0.0554805	0.0340221	0.0201346	0.010069	0.00869737	0.0107707	0.018911	0.0356678	0.0599536
a87	0.256584	0.175579	0.129507	0.122906	0.109536	0.0548366	0.0191261	0.0114887	0.0106804	0.0120715	0.0188551	0.0287339	0.050096
a23	0.193673	0.158074	0.146193	0.147044	0.123584	0.0652569	0.0260779	0.0152613	0.0144471	0.0172202	0.0237635	0.0301515	0.0392542
a30	0.211469	0.13957	0.108974	0.102369	0.101761	0.0559285	0.0286348	0.0212757	0.0227022	0.0290172	0.0397981	0.0561153	0.082386
a70	0.235892	0.199253	0.12587	0.107476	0.115088	0.069244	0.0292329	0.0128196	0.0133051	0.014628	0.0207119	0.0255941	0.0308862
a96	0.349884	0.221848	0.115193	0.0879714	0.0965337	0.0601281	0.025582	0.0076103	0.00650019	0.00545034	0.00700826	0.00770348	0.00858732
a93	0.206165	0.172819	0.13199	0.116522	0.141268	0.103411	0.0428944	0.0159845	0.0139221	0.0122206	0.013687	0.0130072	0.0161087
a90	0.126709	0.138532	0.138453	0.131849	0.174186	0.1547	0.0563218	0.0179422	0.0142059	0.0113126	0.0118316	0.0106962	0.0132613
a25	0.101687	0.108924	0.107521	0.111705	0.162202	0.181136	0.0988406	0.0360067	0.0254606	0.0173798	0.0163563	0.0143527	0.0184274
a98	0.0643817	0.0791217	0.0893118	0.09988	0.149005	0.187276	0.123155	0.0530816	0.0348032	0.0288199	0.0277958	0.0276713	0.0356971
a85	0.0526402	0.0600969	0.0652444	0.0692714	0.105006	0.186994	0.185803	0.0884592	0.0529128	0.03614	0.0308117	0.0286903	0.0379299
a6	0.0366052	0.038461	0.0517241	0.0654643	0.104535	0.176933	0.188859	0.112006	0.0667771	0.0474456	0.038272	0.0333858	0.0395324
a36	0.0472247	0.0590171	0.0740143	0.0901126	0.137931	0.205771	0.155826	0.0722829	0.0436167	0.031415	0.0270908	0.0256804	0.0300165
a56	0.028871	0.0435914	0.0637499	0.0833436	0.135757	0.20191	0.149113	0.0733601	0.0480572	0.0406671	0.0372197	0.0408178	0.0535435
a31	0.0288828	0.0421041	0.0783774	0.104914	0.166585	0.215079	0.13166	0.0536935	0.0336384	0.0310085	0.030199	0.035525	0.0483342
a88	0.0199543	0.0296281	0.0760825	0.108715	0.162171	0.191277	0.144072	0.0714882	0.0427568	0.0393379	0.0326208	0.0361158	0.0457808
a71	0.0123197	0.019044	0.0492505	0.0782119	0.122064	0.163612	0.164202	0.112527	0.0710556	0.0602154	0.0457236	0.0463172	0.0554571
a38	0.016605	0.0272462	0.0523863	0.0823965	0.124697	0.172095	0.150247	0.110289	0.0741475	0.0609349	0.0437612	0.0401688	0.0450265
a34	0.0202421	0.0249502	0.0406949	0.0606452	0.0873972	0.149943	0.151562	0.121588	0.0845334	0.074436	0.0535317	0.0560252	0.0744506
a90	0.00542936	0.00640923	0.0143887	0.0246413	0.0526741	0.112203	0.132043	0.107608	0.0937989	0.12007	0.106949	0.0999422	0.123843
a25	0.0027622	0.00365049	0.00841446	0.0148241	0.0323095	0.0838266	0.137622	0.136008	0.118295	0.149053	0.120579	0.0953485	0.0973075
