 	l'	enfant	bave	</S>
a99	0.560524	0.200885	0.150785	0.0878066
a87	0.65714	0.211878	0.0819496	0.0490322
a23	0.526763	0.244534	0.13454	0.0941638
a83	0.517271	0.266728	0.142461	0.0735399
a54	0.571199	0.281042	0.100618	0.0471412
a37	0.441697	0.372958	0.133574	0.0517709
a61	0.323108	0.350078	0.225028	0.101786
a34	0.300232	0.292292	0.270747	0.136729
a75	0.18963	0.222584	0.339383	0.248404
a25	0.167113	0.224382	0.340225	0.26828
a56	0.156234	0.223456	0.35553	0.26478
a61	0.0598019	0.116811	0.431034	0.392353
a62	0.0281882	0.054045	0.317638	0.600129
a88	0.0220596	0.0480986	0.296097	0.633745
a9	0.0320388	0.0568411	0.235487	0.675633
a75	0.0162416	0.0293877	0.127546	0.826825
a5	0.0133759	0.0415385	0.152415	0.79267
a61	0.00525654	0.0178105	0.107477	0.869456
a75	0.00323997	0.0108613	0.0808209	0.905078
a36	0.00765854	0.02504	0.142488	0.824814
a2	0.00651043	0.0189148	0.097053	0.877522
a57	0.0399912	0.0490199	0.14714	0.763848
a87	0.354579	0.257307	0.187018	0.201096
a23	0.425409	0.311412	0.148692	0.114487
a87	0.215361	0.210677	0.192573	0.38139
</S>	0.0457141	0.0996633	0.247541	0.607082
