 	le	chien	est	tombé	dans	la	fosse	</S>
a66	0.326991	0.231148	0.157767	0.100471	0.0785755	0.0486532	0.0312651	0.0251294
a3	0.344477	0.2065	0.105567	0.0698409	0.0805383	0.0684215	0.0662841	0.0583716
a99	0.366739	0.188987	0.101498	0.0614265	0.0610593	0.0551509	0.0741185	0.0910202
a97	0.493249	0.218819	0.0975694	0.0525579	0.0344008	0.0255317	0.0336462	0.0442267
a87	0.499418	0.224058	0.108258	0.0538451	0.0322452	0.0230243	0.0265969	0.0325547
a99	0.47026	0.218732	0.112034	0.0588518	0.035374	0.0265318	0.0337818	0.0444344
a97	0.487757	0.239834	0.123655	0.0540597	0.0292116	0.0192507	0.0203144	0.0259172
a99	0.435404	0.246423	0.142235	0.06433	0.03564	0.0230973	0.0232978	0.0295733
a53	0.500953	0.254318	0.12334	0.0470435	0.023555	0.0149531	0.0149228	0.0209157
a15	0.356096	0.257247	0.158424	0.0801968	0.052644	0.0319169	0.0266297	0.0368449
a47	0.201202	0.227379	0.210684	0.134577	0.102096	0.0484085	0.0340359	0.041617
a85	0.181386	0.226828	0.19192	0.118628	0.109274	0.0605786	0.0479794	0.0634065
a5	0.149486	0.184287	0.170179	0.123803	0.132771	0.0885622	0.0705504	0.0803608
a37	0.211722	0.219976	0.183845	0.120918	0.114523	0.0626384	0.0440802	0.0422976
a98	0.161438	0.180205	0.180208	0.140621	0.133544	0.0834193	0.0606846	0.0598805
a85	0.0674722	0.0978341	0.13955	0.152491	0.193495	0.143235	0.105917	0.100007
a41	0.0341753	0.0516109	0.0866517	0.133141	0.209052	0.195286	0.15389	0.136194
a12	0.0571027	0.0748613	0.110607	0.139117	0.17731	0.163636	0.137935	0.139431
a47	0.00835165	0.0114102	0.0257338	0.0746091	0.122692	0.196201	0.255225	0.305777
a96	0.00894442	0.0115399	0.0236308	0.0725877	0.125518	0.205057	0.256604	0.296118
a62	0.00348776	0.00458566	0.00859726	0.0301683	0.0675577	0.159045	0.2821	0.444458
a21	0.00279775	0.00386052	0.00681797	0.0246815	0.0538013	0.146993	0.286208	0.47484
a5	0.00226297	0.00319671	0.0052352	0.0199484	0.0489507	0.143047	0.29235	0.48501
a36	0.00202695	0.00329026	0.00556355	0.0196279	0.0447991	0.1305	0.283989	0.510203
a27	0.00412024	0.00701694	0.00953818	0.0167938	0.0377095	0.115355	0.299969	0.509498
a84	0.0300494	0.0320637	0.0338367	0.0456146	0.081276	0.159592	0.263604	0.353964
a87	0.170524	0.102675	0.0716819	0.072671	0.0850258	0.119292	0.170339	0.207791
a23	0.175188	0.100971	0.0645557	0.0577224	0.0739462	0.0988468	0.17456	0.25421
a99	0.022778	0.0122866	0.0097202	0.0179563	0.0297187	0.0833984	0.258827	0.565315
a97	0.0131506	0.00969602	0.0116976	0.0241677	0.0449009	0.106885	0.281054	0.508448
a84	0.00915643	0.00725158	0.00884748	0.0171963	0.0324876	0.0790256	0.266374	0.579661
</S>	0.0373979	0.0246006	0.0208771	0.0264814	0.0392646	0.0753589	0.244445	0.531575
