 	mon	enfant	est	en	europe	</S>
a66	0.444926	0.263791	0.137156	0.0643906	0.0503559	0.0393807
a87	0.430752	0.20366	0.0990751	0.0645302	0.0898899	0.112093
a97	0.355456	0.170988	0.093775	0.06637	0.140715	0.172697
a38	0.332427	0.178643	0.105579	0.0838786	0.169942	0.129529
a98	0.478737	0.201071	0.0844644	0.0508799	0.0962425	0.0886054
a92	0.247246	0.187405	0.120218	0.0915513	0.172311	0.181269
a85	0.196546	0.229352	0.185818	0.120651	0.135677	0.131956
a47	0.263368	0.254334	0.153671	0.0977247	0.089419	0.141484
a92	0.190813	0.225967	0.174739	0.125032	0.117661	0.165788
a98	0.198317	0.219838	0.167665	0.125186	0.114149	0.174845
a85	0.131159	0.204553	0.207284	0.154352	0.122779	0.179873
a6	0.0865547	0.155903	0.225765	0.199412	0.142169	0.190197
a37	0.0708962	0.128512	0.186515	0.19591	0.173576	0.244591
a79	0.0205313	0.0377667	0.0867259	0.162476	0.237783	0.454717
a44	0.00555123	0.0125568	0.0464107	0.135228	0.247569	0.552685
a66	0.00286562	0.00610672	0.0210221	0.0863663	0.246722	0.636918
a93	0.00307446	0.00726916	0.0257468	0.0880571	0.257275	0.618577
a4	0.00161255	0.00410245	0.0166674	0.0715399	0.243098	0.662979
a13	0.00415408	0.0103882	0.0374549	0.110459	0.264714	0.57283
a9	0.00768808	0.018716	0.0619807	0.142378	0.270577	0.49866
a3	0.0217328	0.0250275	0.0526272	0.130207	0.351035	0.41937
a97	0.193047	0.119138	0.103994	0.117663	0.226585	0.239573
a87	0.204562	0.132972	0.102548	0.109154	0.20833	0.242434
a97	0.0990784	0.0616035	0.0779601	0.139163	0.280635	0.34156
a99	0.101316	0.0604416	0.0805547	0.130687	0.249069	0.377932
a97	0.0216502	0.0191394	0.0399368	0.10233	0.223408	0.593535
</S>	0.0591093	0.0488325	0.0719198	0.118342	0.2242	0.477597
