 	mon	mari	aime	les	agrumes	</S>
a66	0.441744	0.189575	0.124164	0.106835	0.0748628	0.0628187
a87	0.281865	0.210534	0.200057	0.131322	0.091594	0.0846276
a97	0.380256	0.276603	0.139794	0.0806317	0.0687536	0.0539626
a87	0.398959	0.303107	0.134071	0.0667863	0.0506593	0.0464175
a57	0.437168	0.292287	0.124712	0.0633052	0.044408	0.03812
a87	0.483077	0.251166	0.0977155	0.0635163	0.0535789	0.0509465
a23	0.48226	0.264017	0.106526	0.0586993	0.0469045	0.0415927
a30	0.399296	0.20124	0.100062	0.0741805	0.114154	0.111067
a93	0.356668	0.211841	0.103408	0.0889577	0.123002	0.116123
a56	0.394033	0.253799	0.120249	0.0659783	0.0810559	0.084885
a79	0.312841	0.263746	0.167423	0.0779143	0.0919127	0.0861637
a98	0.254595	0.250437	0.201176	0.104981	0.101412	0.0873982
a85	0.161052	0.198631	0.233257	0.135691	0.138233	0.133136
a6	0.142404	0.175982	0.24449	0.149913	0.15045	0.136761
a61	0.144813	0.166502	0.220855	0.144966	0.168174	0.15469
a96	0.113093	0.140798	0.215354	0.144304	0.171597	0.214855
a75	0.0438813	0.069354	0.193778	0.177298	0.221542	0.294147
a85	0.0215815	0.0377566	0.129937	0.162314	0.280486	0.367924
a47	0.0141532	0.0274037	0.0981229	0.149717	0.297265	0.413337
a85	0.00947438	0.0157797	0.04006	0.0979881	0.28185	0.554848
a6	0.00418152	0.00798673	0.0247529	0.0777138	0.260566	0.624799
a36	0.00666841	0.0126409	0.0377247	0.106351	0.268942	0.567673
a2	0.0140498	0.0220796	0.0450188	0.108041	0.232385	0.578426
a57	0.0406932	0.0396419	0.071493	0.121636	0.278562	0.447974
a97	0.106335	0.080462	0.11484	0.152362	0.237969	0.308032
a87	0.217249	0.160663	0.152494	0.148457	0.16025	0.160887
a23	0.189301	0.144437	0.153927	0.18536	0.185722	0.141254
a99	0.0527	0.0593688	0.102827	0.208388	0.277304	0.299412
a38	0.0706323	0.081994	0.133183	0.198724	0.249947	0.265519
a37	0.101345	0.0960231	0.127396	0.166175	0.243511	0.265549
</S>	0.0647614	0.0681766	0.102052	0.129716	0.295167	0.340127
