 	le	voleur	est	en	train	de	se	défendre	</S>
a66	0.270316	0.186479	0.116784	0.0912523	0.10456	0.0899377	0.0697156	0.0456101	0.0253451
a87	0.353285	0.254383	0.155191	0.0878216	0.0608501	0.0409257	0.0230165	0.0166125	0.00791438
a97	0.445246	0.237637	0.129132	0.0634912	0.042322	0.03071	0.0198335	0.0176109	0.0140181
a87	0.301087	0.279131	0.179811	0.0802049	0.053272	0.0393377	0.0271069	0.0219139	0.0181352
a23	0.273816	0.258477	0.189736	0.0984283	0.0692523	0.0475585	0.0299576	0.019222	0.0135523
a99	0.318099	0.226638	0.127666	0.0673606	0.0568743	0.0569585	0.0525514	0.0526922	0.0411609
a83	0.300477	0.195942	0.121333	0.0633029	0.053877	0.0594839	0.0585757	0.0724915	0.0745171
a96	0.257142	0.21393	0.149137	0.097809	0.0779851	0.0587664	0.0499766	0.0498077	0.0454462
a70	0.142375	0.186189	0.182655	0.135788	0.0989802	0.0691861	0.0629441	0.0637624	0.05812
a4	0.0977116	0.147219	0.188105	0.151159	0.114248	0.0833356	0.0743873	0.0692278	0.0746064
a13	0.105123	0.146064	0.180525	0.142042	0.111493	0.0869358	0.0756913	0.0687631	0.0833621
a53	0.0891281	0.110605	0.142847	0.120506	0.103761	0.0962979	0.092492	0.0975637	0.146799
a94	0.0526107	0.0545081	0.068284	0.0831988	0.0998399	0.105823	0.12192	0.148362	0.265453
a90	0.0650863	0.0588598	0.0643013	0.0693874	0.0885232	0.103105	0.122047	0.158012	0.270677
a69	0.0392796	0.0360899	0.0457391	0.0662857	0.111468	0.150943	0.180579	0.160366	0.20925
a58	0.0201202	0.0155138	0.0180183	0.0301056	0.0674529	0.146923	0.220071	0.205426	0.276369
a15	0.00942666	0.00612726	0.00470379	0.00505351	0.00936204	0.0331172	0.114026	0.279418	0.538766
a47	0.00457719	0.00255466	0.00199284	0.00241991	0.00513431	0.0220864	0.109559	0.314907	0.536769
a85	0.00289378	0.00113985	0.00104926	0.00214002	0.00584135	0.0246232	0.0945773	0.312308	0.555427
a92	0.00156957	0.000705795	0.000806464	0.00195924	0.00608277	0.0252667	0.10512	0.293527	0.564962
a37	0.00249682	0.00121238	0.00134037	0.00329152	0.00956293	0.0343055	0.127829	0.328449	0.491512
a93	0.00409694	0.00180279	0.00160668	0.00308393	0.00790782	0.0245025	0.0875822	0.300627	0.568791
a70	0.00123133	0.000571659	0.000578558	0.00151428	0.00485395	0.0164545	0.0590479	0.285632	0.630116
a13	0.00105135	0.000546581	0.000501934	0.00107774	0.00331533	0.0126023	0.0451972	0.239558	0.696149
a3	0.00372273	0.00172735	0.0014808	0.00312312	0.0105336	0.044378	0.116627	0.266858	0.551549
a87	0.163292	0.0754472	0.0516209	0.0510948	0.0713265	0.0900492	0.117638	0.159192	0.220339
a23	0.2517	0.149356	0.0960315	0.0742265	0.090527	0.0958021	0.0915752	0.0813529	0.069429
a87	0.150345	0.0741653	0.0443183	0.0313828	0.0375001	0.0606666	0.113529	0.197474	0.290619
</S>	0.030541	0.0141399	0.00945047	0.00888034	0.0149573	0.0418972	0.120499	0.231933	0.527702
