 	ne	vous	accroupissez	pas	près	de	la	porte	</S>
a10	0.246218	0.144536	0.195597	0.168942	0.112445	0.0548576	0.0257296	0.0247684	0.0269063
a87	0.166488	0.0712454	0.0973608	0.107424	0.0914979	0.091014	0.103102	0.103803	0.168065
a23	0.223487	0.164489	0.175136	0.114452	0.0761907	0.0602202	0.0566681	0.0526852	0.0766724
a41	0.229893	0.208367	0.178717	0.141781	0.0815743	0.0444265	0.0312196	0.0328573	0.0511647
a32	0.447452	0.263148	0.137013	0.0769276	0.0345969	0.0136724	0.008032	0.00798919	0.0111689
a25	0.486509	0.261366	0.116698	0.0750984	0.0326259	0.012394	0.00689763	0.00437309	0.00403816
a75	0.295935	0.217388	0.188771	0.129234	0.0631617	0.0382509	0.0239586	0.0209488	0.0223522
a14	0.243753	0.218976	0.204714	0.152251	0.0866353	0.0465158	0.021056	0.012535	0.013564
a73	0.180041	0.197153	0.210738	0.178118	0.134237	0.0606977	0.0209528	0.00940607	0.00865573
a76	0.138943	0.148697	0.253466	0.18813	0.120478	0.0715868	0.0312385	0.0220133	0.0254466
a14	0.115676	0.133471	0.261954	0.203293	0.132119	0.0765277	0.0328329	0.02236	0.0217663
a35	0.0954708	0.124	0.282878	0.221665	0.145761	0.0695252	0.0274072	0.0179336	0.0153593
a41	0.0636019	0.0739181	0.283046	0.240707	0.161969	0.0826404	0.035832	0.0291147	0.0291709
a32	0.0596661	0.0650625	0.245966	0.249358	0.166306	0.0952662	0.0423304	0.037121	0.0389244
a71	0.0587721	0.0555129	0.237345	0.241703	0.16031	0.112443	0.0489477	0.0380583	0.0469083
a38	0.0579516	0.0481617	0.166963	0.181422	0.145546	0.14547	0.0925498	0.0720048	0.0899321
a61	0.0467379	0.0400631	0.149738	0.164123	0.134382	0.147659	0.113913	0.101338	0.102046
a21	0.0439087	0.034862	0.114818	0.141489	0.117165	0.150917	0.140843	0.122971	0.133026
a24	0.0714966	0.0679493	0.107718	0.101614	0.0671745	0.0741429	0.097078	0.158814	0.254013
a32	0.0406541	0.0408387	0.0774444	0.0622772	0.0411766	0.0438147	0.0750204	0.197531	0.421243
a24	0.0535681	0.0449906	0.104818	0.0891531	0.0638158	0.0686657	0.0956564	0.177023	0.302309
a98	0.0318132	0.0320826	0.0546107	0.0446826	0.0338502	0.0412784	0.0755041	0.201414	0.484764
a35	0.0416881	0.0323491	0.0736754	0.0649479	0.0458912	0.0623785	0.113481	0.225238	0.340351
a76	0.0218898	0.0174798	0.0333914	0.0270254	0.0178067	0.0324814	0.0752335	0.244963	0.529729
a94	0.038135	0.0344292	0.0768763	0.0601278	0.0318192	0.0404542	0.0674927	0.198962	0.451704
a76	0.0136366	0.011066	0.0370682	0.0315467	0.017712	0.0313881	0.0721226	0.246175	0.539285
a90	0.0296058	0.0255722	0.0638243	0.0515476	0.0253158	0.0363456	0.0672943	0.213036	0.487458
a38	0.0201364	0.0163353	0.0443431	0.0368932	0.0164037	0.0285753	0.0644073	0.236958	0.535947
a41	0.0172994	0.0130546	0.0350627	0.0269796	0.0111999	0.0207765	0.0502859	0.228664	0.596677
a66	0.0191872	0.0173376	0.0354	0.0270972	0.016108	0.0250121	0.0607494	0.214591	0.584518
a75	0.0211879	0.0161419	0.0483048	0.0307854	0.0134377	0.021254	0.0453929	0.205868	0.597628
a41	0.0332631	0.0254785	0.0473847	0.0326502	0.0169822	0.0229081	0.052413	0.199709	0.569211
a35	0.0145109	0.012071	0.0256904	0.0205687	0.0120882	0.0213578	0.0631277	0.217238	0.613348
a25	0.0145138	0.0124111	0.0224265	0.0153068	0.00918896	0.0141759	0.0410643	0.192815	0.678097
a35	0.0106399	0.00903087	0.0154346	0.0130434	0.00906989	0.0156468	0.0484746	0.205748	0.672912
a98	0.0132993	0.0106341	0.0195754	0.0127237	0.00633786	0.0105101	0.0310425	0.170339	0.725538
a41	0.015145	0.0130315	0.022274	0.0172963	0.0105433	0.0158108	0.0466758	0.188534	0.670689
a35	0.0225067	0.0189187	0.0366601	0.0241672	0.0112729	0.0156096	0.0409406	0.173808	0.656116
a66	0.0231041	0.0198752	0.0376266	0.0247722	0.0120215	0.015544	0.0381619	0.171253	0.657641
a21	0.0122152	0.00778695	0.0169973	0.0147166	0.008927	0.0143827	0.0385873	0.184088	0.702299
a47	0.012965	0.0106418	0.024887	0.0219114	0.0138912	0.0222696	0.0539997	0.173173	0.666262
a98	0.0133875	0.0100885	0.0218206	0.0153358	0.00891839	0.014987	0.04181	0.162142	0.71151
a25	0.00999805	0.00770547	0.0189543	0.0134574	0.00845939	0.0164243	0.0485421	0.18266	0.693799
a87	0.00632503	0.00524964	0.0128544	0.00828374	0.00463351	0.00918637	0.0308818	0.153248	0.769338
</S>	0.00449286	0.00338508	0.0083637	0.00979755	0.0097277	0.0198997	0.065338	0.233058	0.645938
