 	il	y	a	beaucoup	d'	escargots	dans	ce	ruisseau	</S>
a66	0.184668	0.160027	0.154283	0.164815	0.145516	0.0985538	0.0460612	0.0234267	0.0136647	0.00898412
a87	0.272566	0.216257	0.146124	0.112072	0.0891889	0.0625657	0.0351574	0.02624	0.0222463	0.0175833
a79	0.272651	0.227634	0.193852	0.124624	0.0772665	0.0442701	0.0225383	0.0140603	0.0115815	0.0115217
a69	0.212314	0.160282	0.13404	0.128429	0.142778	0.0991288	0.0466324	0.0315204	0.0245283	0.0203476
a21	0.214165	0.176197	0.144478	0.128672	0.134744	0.0902046	0.043505	0.029946	0.02237	0.015717
a12	0.146262	0.155522	0.157725	0.140037	0.135384	0.130525	0.0669249	0.0349066	0.0217736	0.0109405
a21	0.148661	0.133935	0.126251	0.114619	0.133954	0.159466	0.0897787	0.0461728	0.0291482	0.0180138
a12	0.120319	0.0988311	0.094393	0.102498	0.143765	0.201141	0.120252	0.0558138	0.036178	0.0268088
a75	0.0808608	0.0670956	0.0846927	0.119308	0.164655	0.196681	0.121097	0.0669712	0.0514283	0.0472102
a92	0.0360362	0.0412018	0.0688268	0.112209	0.130376	0.131687	0.135509	0.120448	0.114204	0.109503
a75	0.0508012	0.0500388	0.0764403	0.116418	0.128668	0.122492	0.116269	0.108564	0.112226	0.118083
a85	0.0351428	0.0360926	0.0557657	0.087921	0.101307	0.107826	0.138335	0.150226	0.147638	0.139747
a6	0.0205229	0.0231655	0.0368688	0.0667726	0.0936076	0.109831	0.141823	0.151413	0.169335	0.186661
a0	0.0180777	0.0164065	0.0254712	0.0492843	0.074525	0.102761	0.187309	0.181192	0.16721	0.177763
a12	0.013314	0.0104605	0.012335	0.017057	0.0249364	0.0433981	0.1217	0.184554	0.261111	0.311134
a47	0.0096369	0.00779916	0.00785635	0.00906792	0.0120442	0.022586	0.0960641	0.199986	0.280852	0.354107
a62	0.0081935	0.00788845	0.00826083	0.00955867	0.0117707	0.018505	0.0736438	0.18099	0.278594	0.402595
a88	0.0037689	0.00363869	0.00369317	0.00436106	0.0060117	0.0114528	0.0567418	0.183499	0.325184	0.401648
a62	0.00285923	0.0027018	0.00290336	0.00334262	0.00425667	0.00698179	0.0251759	0.0905245	0.258243	0.603011
a88	0.00157337	0.00144601	0.00147336	0.0018642	0.00280951	0.00482396	0.0209539	0.0874397	0.272412	0.605204
a71	0.00198086	0.00149883	0.00173661	0.00285856	0.00620403	0.0124832	0.0388306	0.119341	0.284785	0.530281
a9	0.0214979	0.0157482	0.0169476	0.0227277	0.0374389	0.0524262	0.0894043	0.148268	0.222215	0.373327
a10	0.0709385	0.0527035	0.0521412	0.0609703	0.0697484	0.0709639	0.0971122	0.133935	0.166659	0.224827
a87	0.189112	0.130071	0.123327	0.115019	0.0932388	0.0673125	0.0617545	0.0692304	0.0727362	0.0781988
a23	0.159907	0.119811	0.119872	0.113509	0.0982495	0.075425	0.0664086	0.0837258	0.0859199	0.077173
a99	0.065261	0.0461097	0.0320704	0.0206637	0.0163878	0.0156973	0.0338586	0.0958239	0.215468	0.45866
a87	0.0291053	0.0186493	0.0121561	0.00868475	0.00924439	0.0140919	0.0507947	0.119041	0.248176	0.490057
a97	0.00544699	0.00356196	0.00265931	0.00252256	0.00328629	0.00517381	0.0224154	0.0744206	0.254624	0.625889
</S>	0.0177242	0.0131675	0.0116961	0.0123243	0.0134866	0.0144818	0.0310315	0.076625	0.233684	0.575779
