 	il	a	abordé	la	pirogue	</S>
a23	0.212371	0.238604	0.171153	0.14804	0.139591	0.0902402
a30	0.195144	0.193541	0.223111	0.19388	0.126377	0.0679463
a93	0.192535	0.204906	0.193278	0.144574	0.124456	0.140251
a90	0.315569	0.279851	0.148217	0.107638	0.080133	0.0685914
a76	0.329207	0.278821	0.161833	0.104383	0.0666856	0.0590701
a30	0.239592	0.226997	0.179456	0.149561	0.10801	0.0963834
a57	0.296569	0.295232	0.18783	0.112023	0.0623646	0.0459807
a87	0.247579	0.233598	0.164496	0.13544	0.10528	0.113607
a40	0.178756	0.175071	0.153647	0.145905	0.166527	0.180094
a30	0.245708	0.224561	0.184771	0.153993	0.100592	0.0903744
a35	0.250611	0.228093	0.199278	0.162075	0.0981628	0.0617801
a11	0.268796	0.226958	0.186897	0.154454	0.101097	0.0617987
a10	0.245766	0.185976	0.153642	0.161961	0.147552	0.105102
a75	0.221629	0.184763	0.141713	0.145695	0.159193	0.147007
a41	0.150129	0.126304	0.107798	0.156306	0.23216	0.227303
a96	0.0961685	0.0866551	0.0885983	0.14309	0.268605	0.316883
a41	0.0349156	0.0350035	0.039867	0.0776349	0.259541	0.553038
a24	0.0303103	0.0304865	0.0364404	0.0865363	0.288747	0.52748
a43	0.0228113	0.022869	0.0279017	0.0647982	0.259857	0.601763
a11	0.0244155	0.0212297	0.0204453	0.0443109	0.207477	0.682122
a26	0.0183333	0.0156894	0.0157021	0.0396753	0.211764	0.698836
a32	0.0328002	0.0283751	0.0285754	0.0556224	0.217041	0.637586
a71	0.0375374	0.0291489	0.0265391	0.0528511	0.212174	0.64175
a38	0.0737456	0.057198	0.0462255	0.0767196	0.22379	0.522321
a14	0.0541073	0.0356797	0.0300474	0.0562217	0.207624	0.61632
a35	0.0176072	0.0135303	0.0148699	0.0408324	0.207487	0.705673
a24	0.0157333	0.0115668	0.0131972	0.0347951	0.191733	0.732974
a88	0.0242305	0.0185901	0.020502	0.0445449	0.201209	0.690923
a9	0.0383361	0.032348	0.0356332	0.0690002	0.228466	0.596217
a87	0.115143	0.0724913	0.0501247	0.0815053	0.210626	0.47011
</S>	0.0695188	0.0482596	0.0498021	0.0766588	0.223809	0.531952
