 	il	faut	te	couvrir	avec	un	pagne	quand	il	fait	froid	</S>
a66	0.2914	0.228995	0.146634	0.141683	0.0596449	0.0381478	0.0317776	0.0173241	0.0135305	0.00950914	0.0104104	0.010944
a87	0.436438	0.26637	0.120081	0.0409061	0.0181125	0.0123826	0.011894	0.010723	0.0139491	0.0150109	0.0260079	0.0281248
a23	0.411658	0.284429	0.133492	0.0451535	0.0194337	0.0126691	0.0113931	0.0102378	0.0130542	0.0143623	0.0219691	0.0221479
a87	0.298647	0.223803	0.105617	0.0368933	0.0307418	0.0242517	0.0212007	0.0220374	0.0283047	0.0398718	0.0766153	0.0920168
a23	0.320604	0.256795	0.129728	0.0546408	0.0400837	0.0284807	0.022947	0.0203421	0.0223432	0.0271072	0.037168	0.0397606
a44	0.283962	0.210683	0.109403	0.0514843	0.0380161	0.0315443	0.027728	0.0281685	0.0325831	0.0431988	0.0674392	0.0757896
a58	0.166779	0.152663	0.129271	0.0881957	0.0508455	0.0401708	0.0325499	0.0344972	0.0440538	0.0600971	0.0946734	0.106204
a40	0.284698	0.259722	0.225461	0.093744	0.0252141	0.0136101	0.0105325	0.00836795	0.0103517	0.0137972	0.02374	0.0307614
a47	0.255123	0.189208	0.206421	0.116947	0.048687	0.0292114	0.0219146	0.0155357	0.0167746	0.0209433	0.0355532	0.0436819
a92	0.164537	0.157109	0.205858	0.145148	0.074999	0.0428442	0.029711	0.0211521	0.0224601	0.0273362	0.0492976	0.0595478
a56	0.126981	0.126263	0.186837	0.155071	0.120407	0.0787707	0.0505931	0.0306557	0.025397	0.0248215	0.0359023	0.0382998
a43	0.119048	0.122742	0.17279	0.191896	0.15557	0.0962451	0.0619468	0.029979	0.0163612	0.0113351	0.0108215	0.0112662
a61	0.0586998	0.0822117	0.134653	0.189917	0.201863	0.125034	0.0817798	0.0438883	0.0252359	0.0187291	0.018412	0.0195767
a62	0.0389727	0.0618863	0.0988407	0.21961	0.223661	0.132629	0.0909282	0.0462491	0.0267354	0.0193915	0.0198456	0.0212502
a88	0.0232974	0.0350326	0.0544668	0.175359	0.246952	0.171364	0.127193	0.0619355	0.0338149	0.0227456	0.0230575	0.0247813
a71	0.0274957	0.0351664	0.0459266	0.142379	0.259094	0.19449	0.131971	0.0598695	0.0317875	0.021501	0.0232631	0.0270564
a44	0.0285128	0.0336028	0.0406664	0.110218	0.230142	0.22609	0.150447	0.0730464	0.0372475	0.0223323	0.0219276	0.0257673
a13	0.0256083	0.0277749	0.0320055	0.0769803	0.17214	0.191045	0.159715	0.104504	0.0634634	0.0447691	0.0461132	0.0558816
a38	0.0205202	0.0214628	0.0250023	0.0599055	0.155519	0.210501	0.174185	0.118408	0.0670774	0.0452108	0.0466479	0.0555601
a75	0.0155208	0.0162725	0.0205353	0.04835	0.11176	0.179185	0.172141	0.146083	0.0869097	0.0636169	0.0638725	0.0757526
a47	0.00214498	0.00246179	0.0039007	0.0197164	0.0629353	0.117933	0.132031	0.168591	0.140668	0.122046	0.110765	0.116806
a7	0.00357047	0.0042356	0.00613703	0.0333005	0.0753165	0.137995	0.144237	0.171647	0.132556	0.103284	0.0942413	0.0934785
a37	0.0115083	0.0115885	0.0137218	0.0439791	0.100717	0.159968	0.143879	0.148953	0.103694	0.0764085	0.0840539	0.101529
a56	0.0147155	0.013913	0.016001	0.0458301	0.0900858	0.14441	0.142315	0.165243	0.110343	0.0810004	0.0823298	0.0938135
a94	0.00530258	0.00474279	0.00647866	0.0242864	0.0692248	0.127244	0.129543	0.167743	0.13895	0.105208	0.103901	0.117375
a34	0.005317	0.00492899	0.00671713	0.0255824	0.0643183	0.115871	0.120169	0.183545	0.154467	0.119141	0.10156	0.0983835
a56	0.0054144	0.00464176	0.00588741	0.020572	0.0645189	0.117576	0.1143	0.167376	0.147901	0.120535	0.114232	0.117046
a93	0.00351526	0.00323963	0.00468139	0.0202653	0.0680612	0.124944	0.122308	0.174315	0.147406	0.117995	0.106303	0.106966
a44	0.00453515	0.00428281	0.00588026	0.0203251	0.0530632	0.0975962	0.0990502	0.161972	0.148658	0.131708	0.133087	0.139841
a13	0.00353605	0.00311311	0.00406914	0.0152724	0.0510567	0.0994264	0.0977261	0.163005	0.154148	0.142747	0.136405	0.129496
a3	0.00986714	0.00877295	0.0098609	0.0268359	0.0483512	0.0776008	0.0770191	0.136803	0.139565	0.148269	0.16094	0.156115
a99	0.0536567	0.0393627	0.0363015	0.0696384	0.0779305	0.0942538	0.0947906	0.10526	0.102623	0.0888274	0.109834	0.127522
a97	0.104452	0.0509983	0.0287024	0.031955	0.0362852	0.055139	0.0684973	0.0900488	0.104985	0.106604	0.142127	0.180206
a99	0.116424	0.0556211	0.0280745	0.0270631	0.0298977	0.0525247	0.0657629	0.0820091	0.102561	0.106036	0.166172	0.167855
a38	0.114884	0.0613699	0.0314142	0.0270005	0.0316729	0.0607974	0.0698904	0.0849927	0.121505	0.125288	0.151102	0.120083
a11	0.0118935	0.00635211	0.00463101	0.00590358	0.0123209	0.0364064	0.0512353	0.0855481	0.13641	0.175537	0.256377	0.217385
a75	0.00863046	0.00440188	0.00382915	0.00611355	0.0121153	0.0342222	0.0427796	0.0682797	0.106641	0.159912	0.289134	0.26394
a92	0.000639772	0.000472028	0.000635249	0.00254154	0.00765247	0.022204	0.0283558	0.0474288	0.0723389	0.126293	0.3092	0.382239
a79	0.000435466	0.000432513	0.000743778	0.00393829	0.0114927	0.0296022	0.0346157	0.0542411	0.0703089	0.117383	0.311263	0.365543
a98	0.000567021	0.000573361	0.000885457	0.00450379	0.0143646	0.0317784	0.0320375	0.0445585	0.0555108	0.0892792	0.305237	0.420705
