 	la	secousse	du	fusil	a	fait	tomber	le	chasseur	</S>
a66	0.212159	0.108353	0.101648	0.137093	0.132064	0.126409	0.0867376	0.0482273	0.0277761	0.0195316
a87	0.340235	0.155354	0.12451	0.0708378	0.0484527	0.0548948	0.0622406	0.0574537	0.0476178	0.0384027
a23	0.408209	0.186423	0.051859	0.0305602	0.0310566	0.0457182	0.0563834	0.0581075	0.0627727	0.0689098
a83	0.323877	0.363063	0.0712534	0.0310743	0.0267054	0.0339032	0.0314295	0.0326554	0.0383271	0.0477115
a88	0.246633	0.308271	0.0670223	0.0350651	0.0408953	0.0517864	0.0493939	0.0566893	0.0690128	0.0752312
a0	0.364893	0.356656	0.140677	0.0439995	0.0248348	0.0203599	0.0127137	0.0130112	0.0125019	0.0103533
a11	0.255554	0.418623	0.161477	0.0485423	0.0258163	0.0215827	0.0154503	0.0171931	0.0186348	0.017127
a34	0.217119	0.369099	0.188286	0.07018	0.0389831	0.0306538	0.0212598	0.0209337	0.0216382	0.0218484
a56	0.20411	0.313199	0.219954	0.086607	0.0536391	0.0394554	0.0252939	0.0195826	0.0187728	0.0193859
a25	0.189933	0.268718	0.240909	0.101647	0.0624853	0.0446977	0.0272981	0.0208144	0.0206088	0.0228887
a79	0.12185	0.185917	0.282654	0.147662	0.0839039	0.0552003	0.0318566	0.025378	0.0283502	0.0372282
a7	0.107185	0.157239	0.212328	0.16046	0.114107	0.0816697	0.0472268	0.0351616	0.0366539	0.0479698
a75	0.0704475	0.0858254	0.161031	0.156183	0.138101	0.122849	0.0758913	0.0567765	0.0591732	0.0737216
a85	0.0286741	0.0370277	0.0916056	0.127517	0.157983	0.125298	0.11552	0.09586	0.0960633	0.124451
a47	0.0155943	0.0206099	0.0959625	0.159317	0.175153	0.12846	0.106146	0.0833899	0.0893949	0.125972
a36	0.0114877	0.0140913	0.0772525	0.140954	0.206253	0.15754	0.112853	0.0782552	0.0818558	0.119457
a2	0.0202326	0.017975	0.0437475	0.0928881	0.201441	0.176656	0.118255	0.0775213	0.0957029	0.155581
a84	0.0208347	0.0144677	0.0197297	0.0430955	0.141009	0.176179	0.152715	0.112416	0.127546	0.192006
a57	0.0219573	0.0177188	0.0302299	0.0565667	0.118825	0.148972	0.159548	0.131952	0.143641	0.170589
a38	0.0311801	0.0187187	0.0358932	0.0674542	0.127036	0.15258	0.159049	0.131134	0.12816	0.148796
a12	0.014227	0.00775424	0.0188582	0.0400401	0.104096	0.125641	0.158366	0.173064	0.172728	0.185225
a96	0.00425495	0.00294727	0.0098823	0.0271613	0.0573366	0.0680642	0.105112	0.156175	0.239483	0.329584
a66	0.00522488	0.00330444	0.0141436	0.0353459	0.0642038	0.0748056	0.125865	0.190779	0.241839	0.244489
a11	0.00164125	0.00118749	0.00413259	0.0140209	0.0442345	0.0567007	0.113213	0.198652	0.278207	0.28801
a70	0.00205545	0.00147083	0.0039587	0.0118617	0.0383945	0.05201	0.110443	0.195858	0.283248	0.3007
a94	0.00162496	0.000922098	0.00325747	0.00918667	0.0260507	0.0393518	0.0988103	0.182023	0.293361	0.345412
a11	0.000767163	0.000446484	0.00141699	0.00448314	0.0155133	0.0244848	0.069026	0.151513	0.299704	0.432645
a93	0.00118862	0.000674292	0.00221109	0.00600395	0.017276	0.0282883	0.080644	0.160869	0.296065	0.40678
a4	0.000465468	0.000324478	0.00122791	0.00412545	0.0132916	0.0197106	0.05555	0.127224	0.285151	0.49293
a57	0.000379781	0.000214153	0.000756918	0.0027011	0.0102047	0.0170453	0.05239	0.120197	0.284831	0.51128
a62	0.000595949	0.000267605	0.00089348	0.00309886	0.0136041	0.0218046	0.0717983	0.138052	0.28074	0.469144
a88	0.000745625	0.000308983	0.00163075	0.00425429	0.0116476	0.0189946	0.0614079	0.125097	0.280845	0.495069
a71	0.00070651	0.000390576	0.00146849	0.00453676	0.012763	0.0178556	0.0573959	0.121067	0.28113	0.502686
a9	0.00336666	0.00166168	0.00401986	0.00931568	0.0259032	0.0324828	0.0820286	0.141851	0.273299	0.426072
a3	0.0143478	0.00710136	0.012677	0.0214498	0.0384394	0.0442673	0.0866194	0.135182	0.249016	0.3909
a87	0.0997151	0.0329274	0.0274414	0.0412608	0.0587424	0.0626864	0.0859667	0.116569	0.189957	0.284734
a97	0.197001	0.067937	0.0343062	0.0419154	0.0539866	0.0602674	0.0802062	0.103168	0.153196	0.208016
a87	0.130276	0.0455872	0.0258419	0.0373683	0.0654474	0.0789456	0.107478	0.125349	0.169512	0.214194
a23	0.137533	0.0444822	0.0227786	0.0347148	0.0671086	0.0799861	0.104947	0.121395	0.168155	0.2189
a38	0.0635803	0.023434	0.0144057	0.0167581	0.0278458	0.0342854	0.0676356	0.120261	0.219668	0.412126
a57	0.0386713	0.0126215	0.0159096	0.0231469	0.0361862	0.0395961	0.070619	0.115164	0.211898	0.436187
</S>	0.0199659	0.00775524	0.013967	0.0232154	0.0319696	0.0363978	0.0615748	0.104784	0.20892	0.491451
