 	les	membres	de	son	association	lui	ont	imposé	un	poste	de	responsabilité	</S>
a66	0.154559	0.111043	0.0595432	0.0607679	0.0731248	0.0986642	0.108187	0.10201	0.0967721	0.0496748	0.0401521	0.0289199	0.0165822
a87	0.197043	0.125056	0.0923716	0.0973953	0.0947904	0.0891289	0.0695279	0.0692578	0.0493861	0.0368498	0.0284396	0.0265333	0.0242199
a10	0.169032	0.12292	0.0856959	0.0953643	0.124152	0.0680523	0.0530187	0.0514005	0.0600206	0.0568348	0.0458117	0.0440662	0.0236311
a40	0.114311	0.0988405	0.0716913	0.0999296	0.153751	0.0653789	0.0576934	0.0609904	0.0763415	0.0835382	0.0605729	0.0373634	0.0195973
a37	0.160972	0.0951717	0.0567416	0.0453391	0.0548098	0.0342901	0.0338346	0.0633546	0.0786353	0.122382	0.111162	0.0986068	0.0446997
a61	0.228605	0.188974	0.161483	0.0954477	0.0719678	0.0427631	0.0270111	0.024205	0.0224525	0.0218951	0.0234858	0.042468	0.0492423
a21	0.169972	0.191491	0.225203	0.134972	0.108257	0.0477719	0.0232707	0.0151191	0.0127498	0.0106598	0.0125303	0.0213051	0.0266979
a5	0.121262	0.146538	0.2409	0.163549	0.134483	0.0683322	0.0329481	0.0173546	0.0144091	0.00969959	0.00953819	0.0151672	0.0258202
a37	0.104617	0.128843	0.221227	0.172022	0.150884	0.0788282	0.0401701	0.0202284	0.016477	0.0108256	0.0104075	0.0159199	0.0295511
a21	0.0765358	0.0947897	0.1776	0.185881	0.178358	0.0903256	0.0459996	0.0208488	0.017986	0.015708	0.016567	0.0267892	0.0526113
a47	0.105339	0.112137	0.149416	0.174836	0.170906	0.112071	0.0652071	0.0305822	0.0209745	0.0122055	0.0100432	0.0119095	0.0243715
a88	0.0473071	0.064896	0.109662	0.192158	0.206824	0.139643	0.0773121	0.0351763	0.0242307	0.0158574	0.015099	0.0220421	0.0497921
a71	0.0397764	0.0461422	0.0842419	0.158681	0.167545	0.134796	0.0843175	0.041445	0.0311515	0.0232459	0.0273974	0.045786	0.115475
a53	0.0292185	0.0228126	0.0361513	0.0751936	0.0785893	0.109734	0.105286	0.0788848	0.0762854	0.0618877	0.0665363	0.0890262	0.170394
a90	0.0385697	0.0487063	0.0579113	0.071379	0.0763234	0.116191	0.119891	0.0731486	0.0596465	0.0507631	0.0562533	0.0707674	0.16045
a98	0.0268761	0.0389802	0.0446737	0.0605073	0.0592756	0.108727	0.117152	0.0698901	0.0559226	0.0497921	0.0603341	0.0807062	0.227164
a6	0.0186114	0.0261562	0.0352894	0.0479436	0.0470089	0.0793107	0.127733	0.0954131	0.0707825	0.0596669	0.0610381	0.0750957	0.255951
a85	0.0125753	0.0200041	0.0237758	0.0304368	0.030439	0.0588031	0.112169	0.0906631	0.0724348	0.0645066	0.0616742	0.0898136	0.332704
a73	0.0160083	0.0230783	0.0242464	0.0310473	0.0258347	0.0537067	0.116825	0.0966995	0.0726829	0.0640804	0.06069	0.0884006	0.3267
a7	0.00637396	0.00835971	0.0114156	0.0131804	0.0100606	0.0157314	0.0327969	0.039511	0.0398196	0.0590861	0.0712746	0.14418	0.54821
a98	0.00711982	0.00667114	0.00684136	0.0076605	0.00578979	0.00825016	0.0176004	0.0296534	0.0392076	0.0697008	0.0838681	0.157005	0.560632
a47	0.00663384	0.00930358	0.0107298	0.0119001	0.00888307	0.0122281	0.0167638	0.0181645	0.0222018	0.0479954	0.0822555	0.153697	0.599243
a5	0.00756869	0.00926831	0.011566	0.0135974	0.0105946	0.0125678	0.0196073	0.0256786	0.0325176	0.0749108	0.100672	0.13978	0.541671
a61	0.00663468	0.00905827	0.00821912	0.00924843	0.00597104	0.0125922	0.0261339	0.031162	0.0366651	0.0764096	0.0960495	0.139521	0.542335
a34	0.00461851	0.00625925	0.00680527	0.00750856	0.00494081	0.00821859	0.0135733	0.017817	0.0226673	0.0482953	0.0762576	0.158808	0.62423
a98	0.0021218	0.00270538	0.00363254	0.0037162	0.00245543	0.00419897	0.00674134	0.0100527	0.0158919	0.0424309	0.0824538	0.204599	0.619
a92	0.00139318	0.00157926	0.00239471	0.00264052	0.00214591	0.00363548	0.00686014	0.0103942	0.0173134	0.050619	0.0758698	0.162477	0.662677
a37	0.00157393	0.00149106	0.00194722	0.00278132	0.00205235	0.00403114	0.00707171	0.00949701	0.0137066	0.0401557	0.0628345	0.1393	0.713557
a70	0.00173285	0.00208743	0.00328782	0.00315001	0.00212711	0.004005	0.00583917	0.00762579	0.0114609	0.0329631	0.0628864	0.178651	0.684183
a66	0.00144151	0.00145465	0.0026159	0.00236081	0.00181661	0.00349729	0.00481229	0.00715992	0.0131018	0.0426769	0.0897474	0.211555	0.61776
a13	0.00725255	0.00369525	0.00572414	0.00447399	0.00360005	0.00660889	0.013449	0.0380105	0.0842568	0.209869	0.181154	0.168251	0.273655
a99	0.00675244	0.00410814	0.0059518	0.00452873	0.00358027	0.00572199	0.00967321	0.02662	0.0578738	0.18192	0.171694	0.188014	0.333562
a97	0.0269667	0.0175499	0.0164163	0.0149264	0.0132149	0.0184492	0.0263953	0.0511369	0.0861014	0.174166	0.158266	0.168353	0.228058
a87	0.0735724	0.0545423	0.0396617	0.0363287	0.0375599	0.0369031	0.050293	0.0732194	0.0971728	0.11523	0.10516	0.129694	0.150662
a23	0.0678382	0.0491644	0.0391868	0.0376561	0.037186	0.0391658	0.0605215	0.0877905	0.111867	0.111378	0.0953591	0.121179	0.141707
a87	0.0830613	0.0526665	0.0367114	0.027788	0.0216784	0.0277079	0.0413299	0.051264	0.0579694	0.0737437	0.0791489	0.154301	0.29263
</S>	0.0228183	0.0175051	0.0217267	0.021406	0.022398	0.0322516	0.0398873	0.03918	0.0421412	0.0697758	0.0777908	0.169974	0.423145
