 	il	n'	a	pas	d'	autres	vêtements	</S>
a87	0.306685	0.193468	0.122855	0.107226	0.0975211	0.0767065	0.0552988	0.0402386
a23	0.230976	0.196866	0.153011	0.140164	0.106431	0.0696387	0.0469536	0.0559599
a87	0.298772	0.233878	0.161661	0.0957745	0.0582752	0.0414667	0.0425256	0.067646
a79	0.270449	0.218963	0.166802	0.107653	0.0736982	0.0536586	0.0479996	0.0607771
a20	0.355322	0.213001	0.116412	0.0656132	0.0537181	0.048667	0.0633771	0.0838902
a73	0.412105	0.22374	0.146927	0.071257	0.0448085	0.0343737	0.035743	0.0310461
a26	0.307709	0.248813	0.208882	0.116662	0.0579309	0.0281952	0.0174377	0.0143702
a24	0.21121	0.19694	0.19288	0.139802	0.0920301	0.0648342	0.0538401	0.0484634
a98	0.207609	0.202624	0.186678	0.136212	0.090487	0.0666578	0.0574934	0.0522392
a25	0.208028	0.217988	0.19991	0.152824	0.0936702	0.0562227	0.0377699	0.0335878
a75	0.179239	0.195022	0.183318	0.149279	0.102336	0.0721033	0.0585623	0.0601396
a73	0.170552	0.166208	0.149102	0.127898	0.110401	0.0938843	0.0900977	0.0918576
a94	0.128242	0.145778	0.142511	0.142461	0.132595	0.115527	0.0964092	0.0964766
a24	0.070368	0.0830134	0.0899697	0.109734	0.131831	0.161055	0.172336	0.181693
a32	0.0313269	0.0338995	0.0381217	0.0583003	0.0967488	0.17574	0.272942	0.292921
a56	0.0379388	0.0333088	0.0291284	0.0331014	0.0504211	0.10941	0.261749	0.444942
a32	0.031666	0.0292552	0.0293806	0.0424947	0.0779757	0.162132	0.27766	0.349436
a90	0.0127401	0.0132936	0.0149271	0.0241317	0.0500549	0.121961	0.290957	0.471934
a57	0.0161766	0.0153295	0.0159981	0.0238212	0.0471498	0.106357	0.261945	0.513223
a82	0.00617418	0.00535994	0.00486166	0.00721397	0.0165396	0.0501879	0.233493	0.676169
a38	0.00692391	0.00610856	0.00491884	0.0070414	0.0149195	0.0460997	0.205882	0.708106
a98	0.00252516	0.00237305	0.00253144	0.00475834	0.0132947	0.0472054	0.215025	0.712287
a73	0.00422323	0.00439361	0.00505143	0.00875681	0.0223433	0.0693353	0.248421	0.637475
a84	0.00472322	0.00455432	0.00472663	0.00770813	0.0195818	0.0652998	0.245576	0.64783
a57	0.00508718	0.00459975	0.00401819	0.00606028	0.0132722	0.0396968	0.186269	0.740997
a87	0.00957434	0.00898623	0.00937185	0.0148441	0.0286419	0.0685774	0.210967	0.649037
</S>	0.00732047	0.00754763	0.0101285	0.020908	0.0493934	0.114755	0.245192	0.544755
