 	cet	enfant	est	en	train	d'	apprendre	à	fabriquer	la	nasse	</S>
a23	0.247518	0.160746	0.126401	0.0836909	0.0695457	0.0777771	0.0978736	0.0572368	0.0363619	0.0224309	0.0128892	0.00752835
a87	0.257288	0.165334	0.102719	0.0631327	0.0507104	0.0762203	0.1173	0.0741126	0.044072	0.026024	0.0146867	0.00839996
a23	0.21073	0.160979	0.108759	0.0854757	0.0724066	0.0889501	0.064586	0.0523825	0.0346404	0.034602	0.0379574	0.0485315
a87	0.283693	0.170602	0.113692	0.0876507	0.072463	0.0907092	0.04634	0.037795	0.0248845	0.0201795	0.0251781	0.0268127
a23	0.228696	0.14572	0.10002	0.082514	0.0706964	0.086258	0.0588548	0.0522239	0.0420181	0.0379437	0.0461666	0.0488874
a99	0.267347	0.146357	0.0887003	0.0638141	0.0522459	0.0618872	0.0468077	0.0533293	0.0574337	0.0479547	0.0614142	0.0527085
a53	0.205526	0.12812	0.0807452	0.0634088	0.0543161	0.0538276	0.0437551	0.0595734	0.0777442	0.0689342	0.0886744	0.0753757
a44	0.209281	0.146492	0.11982	0.09119	0.067592	0.0694434	0.0537037	0.0454346	0.0395799	0.0363997	0.0518813	0.0691824
a70	0.0915941	0.087173	0.0939539	0.0916443	0.0880735	0.102019	0.0880981	0.0723348	0.0604041	0.0576616	0.0696743	0.0973692
a44	0.0562492	0.0651686	0.0844288	0.0924586	0.098967	0.119986	0.0933369	0.07154	0.0660808	0.0679516	0.0769596	0.106873
a4	0.0443357	0.0551045	0.083054	0.0955064	0.104366	0.129407	0.083322	0.0594859	0.0619317	0.0696739	0.0912796	0.122534
a13	0.0380605	0.0469331	0.0775201	0.0955911	0.107413	0.132706	0.078552	0.0560293	0.0603159	0.0714359	0.101434	0.13401
a53	0.0281979	0.032854	0.0550631	0.0753868	0.0911964	0.119529	0.0763513	0.0570917	0.0645266	0.0835693	0.13367	0.182564
a70	0.0285754	0.0343854	0.0579124	0.0780691	0.0970755	0.118778	0.0767992	0.0704235	0.0745081	0.084638	0.118815	0.160021
a54	0.0293836	0.0418487	0.0665963	0.0987241	0.122274	0.14114	0.0911807	0.080755	0.0727541	0.0719786	0.0810692	0.102295
a5	0.0233055	0.0412324	0.0633614	0.112877	0.14711	0.161775	0.084651	0.0765627	0.0726957	0.0706868	0.0713275	0.0744148
a96	0.0183181	0.0302071	0.0470991	0.0928047	0.138092	0.140067	0.0720133	0.0685833	0.0783901	0.0866168	0.105528	0.122281
a70	0.0117468	0.0176189	0.0272401	0.0656593	0.111791	0.125584	0.0945011	0.0887482	0.090878	0.0986348	0.120926	0.146672
a50	0.0130592	0.019002	0.0254488	0.0632012	0.103002	0.109784	0.0844083	0.0853959	0.086526	0.0938719	0.139354	0.176947
a66	0.00703361	0.0102268	0.0131859	0.0346757	0.063088	0.0722397	0.0753	0.0907604	0.110953	0.129415	0.183898	0.209224
a38	0.00300902	0.00478181	0.00578236	0.01575	0.0307007	0.040576	0.047607	0.0704924	0.109737	0.15629	0.258609	0.256665
a70	0.00171815	0.00244245	0.00252023	0.00660931	0.0142186	0.0191876	0.0267658	0.0537198	0.110068	0.175658	0.304571	0.282521
a44	0.000847528	0.00125926	0.00142799	0.00345238	0.00813886	0.0127822	0.0215284	0.0461673	0.106907	0.185649	0.330073	0.281767
a99	0.000618934	0.00095198	0.000940455	0.00237581	0.00577805	0.00814848	0.0155639	0.0430416	0.108356	0.193815	0.328264	0.292146
a4	0.000540213	0.000845949	0.00081149	0.00196581	0.00500228	0.00663166	0.0119659	0.0385619	0.110639	0.205049	0.331515	0.286472
a57	0.000590007	0.00102583	0.00101483	0.00256566	0.00559368	0.00684296	0.0132395	0.0356927	0.0872234	0.168653	0.319084	0.358475
a4	0.000867682	0.0010781	0.000975512	0.00183487	0.00391649	0.00479185	0.00797042	0.0254598	0.0764283	0.161479	0.326367	0.388831
a13	0.000775871	0.00121891	0.00101521	0.00224357	0.00402585	0.0040246	0.00730066	0.0218727	0.0622034	0.144418	0.311274	0.439628
a9	0.000654825	0.000988255	0.000808119	0.00172109	0.00344837	0.00356711	0.00620967	0.0229205	0.0670837	0.150403	0.296715	0.44548
a82	0.0026128	0.00293903	0.00232423	0.00375979	0.00671944	0.00549573	0.00669909	0.0210765	0.0580448	0.133533	0.28676	0.470036
a97	0.035455	0.0438439	0.0329732	0.0383051	0.0467172	0.0350485	0.0253907	0.0336082	0.0645645	0.115949	0.217755	0.31039
a3	0.0888267	0.109997	0.0919321	0.100199	0.111455	0.090486	0.047918	0.0357046	0.057129	0.0783167	0.095853	0.0921833
a97	0.0819032	0.107657	0.0983173	0.130351	0.162254	0.133809	0.0598288	0.0386732	0.0442546	0.0472026	0.0507501	0.0449995
a87	0.0770442	0.122614	0.113927	0.170521	0.179982	0.130713	0.0574749	0.0336494	0.0319863	0.0290041	0.0283041	0.0247795
a23	0.0639125	0.116768	0.110589	0.155101	0.17385	0.126381	0.0475016	0.0334691	0.0430326	0.0437537	0.0468101	0.0388321
a87	0.0575029	0.110606	0.108979	0.155363	0.17546	0.123534	0.0398778	0.0333323	0.0458345	0.0458608	0.0492663	0.0543833
a23	0.0509139	0.100972	0.0910722	0.137162	0.157003	0.116365	0.047563	0.0457035	0.0642969	0.0670834	0.0623793	0.0594854
a87	0.0649437	0.120783	0.11065	0.149681	0.158126	0.116486	0.0413127	0.035869	0.0497509	0.0515875	0.0507418	0.0500681
a23	0.0717817	0.138274	0.111535	0.156074	0.152305	0.10011	0.0326646	0.0315024	0.0448402	0.0503049	0.0549006	0.0557074
a87	0.0561429	0.105879	0.0973869	0.137013	0.15217	0.115726	0.049282	0.0450538	0.0609869	0.0637094	0.0578604	0.0587907
a23	0.0829333	0.152944	0.118386	0.152726	0.143657	0.0908664	0.0271923	0.0284827	0.0469384	0.0510887	0.0555808	0.0492053
a85	0.0828193	0.134938	0.119191	0.145722	0.142696	0.102723	0.0392087	0.035475	0.051293	0.0523907	0.0480655	0.0454785
</S>	0.0665569	0.0924841	0.082296	0.107835	0.121016	0.0975184	0.0598755	0.0549809	0.0714259	0.0799562	0.0781796	0.0878749
