 	la	manière	dont	ils	ont	bourré	ma	hotte	de	maïs	me	fait	souffrir	</S>
a66	0.149209	0.107608	0.0974746	0.124951	0.126781	0.0997982	0.0709223	0.052746	0.0621935	0.0526363	0.0229424	0.0130918	0.010006	0.00963962
a87	0.331777	0.178301	0.0807162	0.0463644	0.0324535	0.0461225	0.0454777	0.0438887	0.0518053	0.0453174	0.0274743	0.0207623	0.0242249	0.0253147
a23	0.300573	0.20158	0.132999	0.0772034	0.0571471	0.0512674	0.0325113	0.0259445	0.0317887	0.0287745	0.0166707	0.013175	0.0130547	0.0173099
a50	0.238516	0.214864	0.188646	0.0664096	0.0522984	0.0499184	0.0309303	0.0241444	0.0256232	0.0244566	0.0180221	0.0174341	0.0218445	0.026892
a88	0.183308	0.191895	0.231776	0.0872373	0.0640421	0.0484242	0.0307417	0.0290007	0.0336037	0.0187415	0.016682	0.0170072	0.0230736	0.024467
a71	0.348302	0.267226	0.197208	0.06654	0.0372081	0.0188798	0.00940225	0.00875957	0.0122136	0.00900227	0.00712017	0.00579939	0.00631332	0.00602497
a38	0.239137	0.295992	0.24525	0.072029	0.0347142	0.0159194	0.00891424	0.00925173	0.0137874	0.0140465	0.0130687	0.012132	0.0127294	0.0130281
a24	0.159067	0.25493	0.282284	0.0847602	0.0380781	0.0186924	0.0127864	0.0131254	0.0166488	0.0190895	0.020752	0.0236652	0.0267345	0.0293869
a31	0.129254	0.192876	0.248382	0.101974	0.0507606	0.027125	0.0197719	0.0195769	0.023093	0.0276693	0.0303041	0.0369236	0.0433181	0.0489716
a24	0.157837	0.212853	0.247401	0.129258	0.0684153	0.033406	0.0199159	0.0164966	0.0193367	0.0232387	0.0198663	0.0195498	0.0162014	0.0162253
a21	0.107786	0.151333	0.206001	0.127434	0.076422	0.0444894	0.0296712	0.0256788	0.0272125	0.0325839	0.0314293	0.0373553	0.0459744	0.0566294
a47	0.114363	0.160301	0.173014	0.165599	0.12221	0.0723945	0.0397129	0.0244729	0.0227792	0.0238856	0.0189425	0.0194986	0.0200717	0.0227555
a18	0.0910058	0.122826	0.155554	0.172405	0.152885	0.105715	0.0577148	0.0320925	0.0235052	0.0207199	0.0159136	0.0155554	0.0169355	0.0171723
a0	0.0460149	0.0634564	0.102434	0.186068	0.18856	0.137757	0.07865	0.0428419	0.0300628	0.0276843	0.0201368	0.0204065	0.0263062	0.0296223
a31	0.0356706	0.0409253	0.0613138	0.15473	0.181171	0.158759	0.0910036	0.0621854	0.0451251	0.0327441	0.0259217	0.0268094	0.0373652	0.0462765
a94	0.0255813	0.0339071	0.0470842	0.141683	0.195772	0.176673	0.121957	0.0700011	0.048375	0.042636	0.0243314	0.0206198	0.0240852	0.0272939
a98	0.0220594	0.0284675	0.0380379	0.104855	0.182783	0.195848	0.143775	0.085489	0.0519269	0.0383099	0.0227161	0.0207284	0.0303482	0.034655
a47	0.0142188	0.0181524	0.0241621	0.0853549	0.151294	0.1696	0.154941	0.105964	0.0619799	0.0478165	0.0339979	0.0321024	0.048722	0.0516951
a92	0.00774138	0.0117892	0.01729	0.0761724	0.146594	0.169591	0.148529	0.106797	0.0622983	0.0440532	0.0335227	0.0370738	0.0663919	0.0721565
a98	0.00508528	0.00847862	0.0135126	0.0540383	0.104073	0.122739	0.138537	0.118751	0.0925384	0.0817332	0.0596651	0.0533447	0.0727969	0.074708
a15	0.0039541	0.00678731	0.0105154	0.0441019	0.0903435	0.111953	0.135176	0.120777	0.10057	0.100388	0.0661963	0.0562373	0.0775171	0.0754828
a92	0.00642176	0.00978944	0.0144748	0.048386	0.0881262	0.121007	0.13477	0.134977	0.0963999	0.0897529	0.0577803	0.0470498	0.072087	0.0789779
a25	0.00392089	0.00655223	0.00995073	0.0371912	0.0738397	0.0998475	0.132865	0.136008	0.108913	0.109681	0.0762876	0.0608664	0.076608	0.0674695
a98	0.00314948	0.00527857	0.00790906	0.0322957	0.0709365	0.0993769	0.130046	0.127319	0.0985729	0.107289	0.0771908	0.0658559	0.0904583	0.0843228
a85	0.00627421	0.00949238	0.0116768	0.037404	0.0726683	0.101271	0.125748	0.12067	0.0905693	0.103765	0.0675145	0.0623607	0.0920569	0.0985286
a6	0.00428463	0.00522616	0.00548664	0.0179011	0.0390178	0.0579603	0.084884	0.0961472	0.082744	0.108007	0.0853631	0.095779	0.157946	0.159253
a0	0.00514966	0.00736297	0.0100862	0.0248199	0.0440064	0.0638606	0.0961727	0.123314	0.107381	0.125391	0.0991726	0.0795714	0.103865	0.109847
a75	0.00553882	0.00625353	0.00661342	0.0187387	0.0356031	0.0580724	0.0805696	0.110063	0.071668	0.0621118	0.0748305	0.0861842	0.172233	0.21152
a85	0.00263411	0.00296206	0.00314272	0.00908491	0.0181726	0.0296919	0.0517013	0.0813775	0.0690612	0.0863503	0.103658	0.109663	0.202001	0.230501
a5	0.00260258	0.00249695	0.00226832	0.00649741	0.0120055	0.019732	0.0351487	0.0604605	0.0565103	0.0767418	0.0899884	0.120949	0.238086	0.276513
a18	0.00274151	0.00222871	0.00187549	0.00610667	0.0118901	0.0208148	0.0349442	0.0554049	0.0500653	0.0713916	0.111795	0.146496	0.224229	0.260016
a88	0.00311787	0.00327667	0.00287651	0.00971031	0.0158416	0.0260286	0.0402257	0.0577419	0.0426999	0.034559	0.0647094	0.117019	0.275127	0.307066
a71	0.0032181	0.00350328	0.00301356	0.0102297	0.0166091	0.0234642	0.0316083	0.040534	0.0297048	0.0238042	0.0439558	0.0931222	0.298737	0.378496
a3	0.0400542	0.0360424	0.0240116	0.0453685	0.0641046	0.0751722	0.0646074	0.0653268	0.0445075	0.0430296	0.047903	0.072584	0.163283	0.214005
a87	0.0465089	0.0346888	0.0239446	0.0417005	0.0505575	0.0589325	0.0647198	0.0697739	0.062383	0.0819225	0.0847827	0.0918408	0.125007	0.163238
a99	0.0446714	0.0262989	0.00922331	0.0150686	0.0188368	0.0322413	0.04809	0.0699173	0.0854433	0.103821	0.112714	0.119772	0.13149	0.182412
a50	0.0184762	0.0159094	0.00679313	0.0110328	0.0136378	0.0199442	0.0322897	0.0619058	0.0932244	0.13193	0.119954	0.12027	0.15962	0.195012
a62	0.00789111	0.0066249	0.00353119	0.0083346	0.00932458	0.0128784	0.0251681	0.0530352	0.0743355	0.0716903	0.0997084	0.146003	0.234904	0.246571
a21	0.00829721	0.00610866	0.00294314	0.00744442	0.009401	0.0129108	0.0207831	0.0378374	0.046759	0.0441718	0.0628376	0.114685	0.257183	0.368637
