 	ce	singe	que	vend	ikoo	est	un	cercopithèque	nuido	</S>
a66	0.0457466	0.0382717	0.0588464	0.098083	0.117419	0.11146	0.287154	0.219967	0.0168774	0.00617413
a87	0.0491925	0.0533636	0.0809741	0.113732	0.175206	0.122225	0.146018	0.146291	0.0729538	0.0400454
a97	0.131659	0.0898418	0.0815215	0.0962961	0.162854	0.0925743	0.161185	0.126311	0.0407687	0.0169888
a87	0.174427	0.1559	0.10674	0.11462	0.147592	0.0816217	0.103124	0.0701723	0.0296897	0.016114
a82	0.167902	0.15714	0.102781	0.102253	0.142552	0.081791	0.10709	0.0804251	0.0387845	0.0192824
a87	0.290098	0.195986	0.0840068	0.0527864	0.0703728	0.0397389	0.110635	0.112854	0.0309136	0.0126093
a97	0.222148	0.170433	0.0856777	0.0621766	0.0934462	0.0537959	0.135488	0.128043	0.0353328	0.0134582
a85	0.197157	0.135405	0.068147	0.0586893	0.0956444	0.0575641	0.159171	0.157651	0.0528769	0.0176942
a57	0.273652	0.171485	0.0734933	0.0425005	0.0650718	0.042335	0.134229	0.148376	0.0346665	0.0141914
a87	0.252266	0.172761	0.0843656	0.056334	0.0728345	0.0496358	0.126015	0.127771	0.0395746	0.0184425
a23	0.264732	0.158652	0.0692965	0.0427376	0.0740487	0.0463884	0.145355	0.147574	0.0393526	0.0118633
a87	0.292485	0.161769	0.0675564	0.0427908	0.0690076	0.0501307	0.123067	0.141261	0.0374772	0.0144553
a66	0.285155	0.166047	0.0787591	0.0514791	0.0773456	0.0532574	0.12266	0.117493	0.0361188	0.0116845
a57	0.261145	0.154002	0.0795921	0.064808	0.0843874	0.0623196	0.143869	0.108576	0.0299201	0.01138
a84	0.238192	0.15673	0.0901435	0.0758751	0.10388	0.0725276	0.134497	0.0868055	0.030952	0.0103972
a57	0.202935	0.140537	0.0859636	0.0829754	0.129935	0.0808103	0.138448	0.0908552	0.0360774	0.0114626
a66	0.177768	0.137635	0.0850851	0.0901295	0.147942	0.0824848	0.143289	0.0919549	0.0348137	0.00889836
a87	0.185993	0.150052	0.10382	0.0913916	0.124004	0.0813455	0.125655	0.0818244	0.0405061	0.015409
a82	0.143777	0.109106	0.0712851	0.0942156	0.16316	0.0991349	0.16017	0.102508	0.0451437	0.0114999
a57	0.155453	0.129006	0.0966141	0.103347	0.150631	0.0899533	0.140743	0.0844821	0.0374128	0.0123574
a87	0.159154	0.13638	0.101475	0.104976	0.147333	0.0861136	0.128019	0.0756038	0.0442624	0.0166841
a23	0.166176	0.143234	0.0960329	0.0974677	0.136435	0.0854708	0.130074	0.0806408	0.0468936	0.0175756
a87	0.264666	0.167932	0.106206	0.0726948	0.0825028	0.0647173	0.0894662	0.0729424	0.0438475	0.035025
a23	0.197244	0.132736	0.0982198	0.101104	0.126254	0.0886338	0.117105	0.0732222	0.0422913	0.0231895
a87	0.27219	0.163304	0.101498	0.0780054	0.0895578	0.0646928	0.0923991	0.0721657	0.0405032	0.0256835
a23	0.216781	0.13531	0.0898255	0.0908701	0.124314	0.0831009	0.123856	0.0812359	0.0396585	0.0150485
a87	0.305011	0.174314	0.0927439	0.0634261	0.0750315	0.0570838	0.0855249	0.0729239	0.0473394	0.0266016
a10	0.25356	0.153143	0.0923141	0.0797919	0.101706	0.0698271	0.101252	0.0777697	0.0487869	0.0218494
a87	0.24774	0.155985	0.0897778	0.0769975	0.108593	0.0688711	0.105498	0.0797849	0.0483811	0.0183717
a38	0.207866	0.135334	0.079586	0.0784977	0.130941	0.0733983	0.123875	0.0885324	0.0619983	0.0199723
a21	0.332241	0.195823	0.110446	0.0674254	0.0634146	0.0482053	0.0683796	0.0529328	0.0346038	0.0265292
a96	0.278136	0.221482	0.130922	0.0772466	0.0647127	0.064061	0.058437	0.0409213	0.0313844	0.0326966
a98	0.231369	0.215432	0.155796	0.109649	0.0798742	0.0680022	0.0439188	0.0258666	0.0301683	0.0399226
a5	0.176385	0.182464	0.144736	0.116014	0.0950708	0.102478	0.0678609	0.0388657	0.034596	0.0415297
a61	0.232164	0.19505	0.150096	0.110007	0.0868221	0.0912953	0.0608035	0.0309662	0.0181248	0.0246722
a47	0.181978	0.172571	0.149654	0.127019	0.108669	0.104475	0.0639297	0.0337605	0.025051	0.0328923
a88	0.117796	0.132785	0.136325	0.150577	0.147904	0.12556	0.0720646	0.0374674	0.03713	0.0423907
a71	0.066556	0.0881301	0.126214	0.164511	0.174317	0.14042	0.08331	0.0396456	0.0492192	0.0676773
a38	0.0370954	0.0523265	0.097194	0.140363	0.16368	0.154264	0.0984477	0.0491019	0.0888112	0.118715
a24	0.0297605	0.0390361	0.0867382	0.148093	0.163354	0.150087	0.113457	0.071856	0.0763705	0.121247
a61	0.0338506	0.0437125	0.102613	0.167273	0.160956	0.153837	0.107583	0.0604706	0.0589331	0.110771
a21	0.0333317	0.0401436	0.0943254	0.178918	0.178104	0.163601	0.108343	0.0613795	0.0528912	0.0889623
a85	0.0542384	0.0625975	0.114971	0.186234	0.176102	0.151536	0.0864821	0.0458991	0.0513048	0.070635
a5	0.0400621	0.0460647	0.102026	0.208501	0.188769	0.150363	0.0826825	0.041734	0.0534667	0.0863304
a27	0.0401331	0.0456579	0.0850192	0.199706	0.196957	0.1657	0.0914797	0.0503375	0.0487704	0.0762393
a66	0.0101652	0.0129276	0.034996	0.128083	0.166226	0.197238	0.127786	0.0925084	0.0882323	0.141838
a88	0.0144616	0.0150196	0.0321305	0.102536	0.137425	0.173457	0.134753	0.102246	0.103448	0.184524
a9	0.017165	0.0189689	0.0374352	0.126684	0.149602	0.154341	0.108218	0.077709	0.0986893	0.211188
a53	0.00751516	0.00907942	0.0199662	0.0755153	0.108937	0.138877	0.112064	0.0999696	0.150116	0.277961
a93	0.0152033	0.0158576	0.0233422	0.0642633	0.0884529	0.0823082	0.0520046	0.0502296	0.155311	0.453027
a4	0.0190882	0.0218459	0.0337389	0.102931	0.125375	0.11995	0.0765046	0.0677274	0.124899	0.30794
a53	0.0105285	0.0126406	0.0207819	0.068776	0.0919429	0.0919049	0.0607813	0.0616972	0.149842	0.431105
a69	0.00898967	0.00937467	0.0147588	0.0439008	0.061159	0.0678658	0.0469831	0.0536205	0.187832	0.505515
a20	0.00328487	0.00368103	0.00575439	0.0189189	0.0317005	0.0328417	0.0244237	0.0331267	0.218394	0.627874
a47	0.0061511	0.00661215	0.0103691	0.0244283	0.0406622	0.0412443	0.027387	0.0441209	0.255676	0.543349
a6	0.00333182	0.00392369	0.00630106	0.0193975	0.0329725	0.0313249	0.0244519	0.0385432	0.293333	0.546421
a37	0.00389836	0.00423867	0.00672084	0.0176175	0.03143	0.029134	0.0200333	0.0314774	0.264816	0.590634
a26	0.000957577	0.0011381	0.00220745	0.00621989	0.0095575	0.0108245	0.00971284	0.016897	0.230509	0.711976
a24	0.000720225	0.000586973	0.00111971	0.00302044	0.00581634	0.00653498	0.00602084	0.00872105	0.276153	0.691307
a0	0.00176397	0.00119419	0.00191405	0.00407619	0.0088316	0.00772767	0.00850576	0.0139348	0.301028	0.651024
a90	0.0047581	0.00265244	0.00304437	0.00549346	0.0119781	0.00864156	0.0106246	0.0207653	0.322347	0.609695
