 	les	safous	sont	mûrs	</S>
a57	0.340603	0.236257	0.170734	0.11693	0.135476
a10	0.186701	0.25375	0.244116	0.201811	0.113622
a9	0.289311	0.264788	0.212431	0.156238	0.0772322
a0	0.400718	0.271987	0.172271	0.109382	0.0456422
a75	0.464841	0.24992	0.137162	0.0961042	0.051973
a85	0.410257	0.202485	0.148053	0.11735	0.121855
a5	0.440227	0.273407	0.157945	0.0687392	0.0596826
a61	0.288626	0.364684	0.206785	0.0828293	0.0570758
a24	0.145374	0.209862	0.222385	0.214667	0.207713
a61	0.0304639	0.0621276	0.124916	0.296018	0.486474
a21	0.0397822	0.0746068	0.125547	0.265757	0.494307
a85	0.050227	0.088804	0.134661	0.285543	0.440765
a36	0.0627121	0.0876941	0.125553	0.26548	0.458561
a26	0.035784	0.0689273	0.130468	0.271381	0.49344
a82	0.104763	0.121347	0.157193	0.250723	0.365974
a38	0.163069	0.13016	0.160244	0.232704	0.313822
a27	0.136239	0.14639	0.202827	0.265315	0.24923
</S>	0.160457	0.13959	0.17193	0.261908	0.266116
