 	la	manière	dont	elle	imite	sa	tante	est	épouvantable	</S>
a15	0.153475	0.0821473	0.0629987	0.0860161	0.178583	0.259943	0.110939	0.0295526	0.0210468	0.0152977
a66	0.200555	0.105676	0.115284	0.165228	0.187475	0.115256	0.0564071	0.0291198	0.0141888	0.0108108
a87	0.444406	0.221214	0.12095	0.0972977	0.0426401	0.0184296	0.0115862	0.0093256	0.0172817	0.0168692
a23	0.368455	0.26017	0.179293	0.126119	0.0406649	0.00911162	0.00570724	0.00289089	0.00288832	0.00470057
a50	0.289307	0.322066	0.217668	0.134594	0.0202602	0.00426332	0.00263486	0.0020809	0.00250556	0.0046201
a88	0.339562	0.239578	0.148467	0.124357	0.0812457	0.0248392	0.0139847	0.0113347	0.00926817	0.00736364
a61	0.327283	0.210393	0.126519	0.102446	0.149396	0.045179	0.0188797	0.00866426	0.00647149	0.00476844
a47	0.26652	0.294676	0.17753	0.106778	0.0969116	0.0304356	0.0126649	0.00557365	0.00419192	0.00471884
a31	0.197954	0.275482	0.210345	0.111939	0.0879449	0.0544639	0.0260646	0.0113342	0.0102844	0.0141879
a0	0.194851	0.243262	0.224108	0.129656	0.103773	0.0571285	0.0218495	0.00793717	0.00710973	0.0103246
a31	0.134491	0.185478	0.188351	0.140701	0.130039	0.10041	0.0474609	0.0209154	0.0208703	0.031283
a47	0.118195	0.170499	0.193847	0.151682	0.140591	0.111954	0.0525358	0.0181763	0.0175997	0.0249207
a61	0.0891704	0.140975	0.201237	0.168158	0.145664	0.121429	0.0638429	0.0185454	0.0197265	0.0312519
a47	0.0650903	0.112909	0.18756	0.188541	0.168927	0.150906	0.0810775	0.0150949	0.0131152	0.0167784
a31	0.0608265	0.0963867	0.167043	0.206815	0.180719	0.153186	0.0824317	0.0165084	0.0152998	0.0207839
a75	0.0300326	0.0539147	0.109547	0.185172	0.20635	0.212782	0.116291	0.0258277	0.0266474	0.0334361
a85	0.0255813	0.0324085	0.0613708	0.12572	0.208858	0.222261	0.117653	0.0591934	0.0676407	0.0793129
a98	0.0280009	0.0280375	0.0537758	0.0865543	0.150294	0.164425	0.0998929	0.0953176	0.125912	0.167789
a79	0.0177692	0.0160555	0.0307062	0.057104	0.10135	0.161263	0.150284	0.0851298	0.140892	0.239447
a98	0.0108158	0.0121133	0.019051	0.0324378	0.0715956	0.139495	0.146273	0.0901375	0.197069	0.281012
a47	0.0102745	0.0103497	0.0141631	0.0220803	0.0446934	0.0792591	0.0902322	0.0788957	0.21374	0.436312
a36	0.0119088	0.00921345	0.00904925	0.00968106	0.0154607	0.0318666	0.0572531	0.0575948	0.209149	0.588824
a75	0.0211425	0.0132485	0.0124486	0.010144	0.0109309	0.0195239	0.0291734	0.055292	0.160782	0.667314
a85	0.00195443	0.00179951	0.00223616	0.003124	0.00457886	0.00874892	0.0350075	0.109073	0.237595	0.595883
a47	0.000922646	0.000657881	0.000671496	0.000877309	0.00151843	0.00350291	0.0141861	0.0748319	0.272998	0.629833
a85	0.00113406	0.000616085	0.00057844	0.000721569	0.00108612	0.00200092	0.0128845	0.0715859	0.253702	0.65569
a37	0.000521325	0.000392301	0.000469781	0.00055513	0.000531096	0.000929472	0.00590589	0.0519894	0.280165	0.658541
a21	0.00186561	0.0010624	0.0011509	0.00114927	0.00116482	0.0016636	0.0099166	0.050307	0.282921	0.648799
a12	0.00328763	0.00132003	0.00194131	0.00216448	0.00202411	0.0028648	0.0158421	0.0816887	0.259072	0.629794
a47	0.00120413	0.000688089	0.00107904	0.00126667	0.00117476	0.00172227	0.00787981	0.066326	0.348438	0.570221
a12	0.00157865	0.00115614	0.00171006	0.0021661	0.00281225	0.00380272	0.0160262	0.108958	0.361256	0.500534
a31	0.0012647	0.000924637	0.00139519	0.00156565	0.00165713	0.00225299	0.00799045	0.0646625	0.336876	0.581411
a62	0.00131217	0.00128776	0.00211048	0.00219931	0.00218849	0.00282289	0.00649192	0.0418305	0.333729	0.606028
a75	0.000731524	0.000699696	0.00112694	0.0012225	0.00120739	0.00180518	0.00549897	0.0443348	0.352985	0.590388
a85	0.000245157	0.000137396	0.000172059	0.000198841	0.000194308	0.000334284	0.00194641	0.0308307	0.307038	0.658903
a47	0.000258955	0.000111591	0.000116443	0.000136559	0.000144361	0.000278916	0.00242722	0.0434418	0.310829	0.642255
a7	0.000611618	0.000322872	0.000308156	0.000371891	0.000395438	0.00060588	0.00573266	0.0656947	0.328478	0.597478
a2	0.0112967	0.0091654	0.00876765	0.00818088	0.00697164	0.00823104	0.0374306	0.115875	0.316157	0.477924
a57	0.0774146	0.0472407	0.0447341	0.0306938	0.023777	0.0303794	0.0537119	0.0734454	0.218049	0.400554
a87	0.221932	0.0625232	0.031955	0.0259804	0.0366877	0.0358584	0.0494469	0.0806521	0.191256	0.263709
a10	0.170237	0.0514645	0.0327165	0.0282027	0.0383233	0.042712	0.0637958	0.108205	0.218015	0.246328
a87	0.223111	0.108749	0.0872781	0.0703072	0.0780407	0.0686505	0.0705884	0.0676033	0.100415	0.125257
a23	0.148964	0.071774	0.0617683	0.0492875	0.0702927	0.07227	0.0552547	0.0694919	0.141561	0.259336
a87	0.046783	0.0202269	0.0136313	0.0153948	0.0188482	0.0206352	0.0294066	0.0915356	0.235075	0.508463
</S>	0.00990207	0.00537491	0.00382057	0.00505668	0.00669749	0.00942351	0.0154788	0.0663277	0.283501	0.594418
