 	cet	enfant	a	tué	un	oiseau	à	l'	aide	d'	un	arc	</S>
a87	0.179346	0.105603	0.091899	0.0820755	0.109048	0.129319	0.129759	0.0885025	0.0409669	0.0152435	0.00964283	0.00883117	0.00976329
a23	0.321085	0.131061	0.0785938	0.0844864	0.0778448	0.0941161	0.0534049	0.0386462	0.0252413	0.0183297	0.0182402	0.0232196	0.0357304
a87	0.143041	0.110213	0.0960172	0.10816	0.097116	0.0806902	0.0675033	0.0450788	0.0352291	0.0375369	0.0454702	0.052859	0.0810856
a23	0.149832	0.0986195	0.0815452	0.0834429	0.0916381	0.0861019	0.0802983	0.0708106	0.0601274	0.0477137	0.0460583	0.0444181	0.0593937
a87	0.145104	0.102336	0.0908638	0.104292	0.0946278	0.0797373	0.0624324	0.056555	0.0570589	0.0453654	0.0411007	0.0493074	0.0712204
a99	0.120002	0.0914783	0.0893763	0.0935687	0.0893668	0.0852058	0.0752698	0.0771979	0.0692087	0.0471249	0.0413874	0.0497472	0.0710657
a83	0.118526	0.099299	0.101736	0.0902506	0.0715239	0.0630688	0.0520673	0.0610484	0.0712504	0.0549696	0.0452738	0.0669797	0.104006
a54	0.189513	0.159581	0.162256	0.10207	0.0811446	0.0619459	0.0538398	0.0399506	0.0305529	0.0277401	0.0288102	0.0308542	0.0317419
a6	0.144312	0.138947	0.145427	0.112207	0.11226	0.0882896	0.0697842	0.0452114	0.0356079	0.0308991	0.0286147	0.0249449	0.0234944
a85	0.0930757	0.102659	0.129642	0.126544	0.144242	0.112528	0.0928721	0.0583218	0.0389651	0.0294263	0.0264427	0.0225517	0.0227294
a47	0.101115	0.107213	0.129585	0.118724	0.142003	0.125959	0.100471	0.0705831	0.034907	0.0190382	0.0177556	0.0164339	0.0162117
a79	0.0886089	0.113658	0.145714	0.146853	0.157469	0.108735	0.0836694	0.0464068	0.0240823	0.0183581	0.0203253	0.0211972	0.0249232
a20	0.0928932	0.0919361	0.111496	0.124804	0.162427	0.130192	0.112071	0.080743	0.0399959	0.0174703	0.0131306	0.0113458	0.0114945
a44	0.0691183	0.0725227	0.0948684	0.126932	0.150264	0.10908	0.0947341	0.0620221	0.0448127	0.0388757	0.039598	0.0449169	0.0522552
a53	0.062467	0.0637476	0.0776017	0.116544	0.148481	0.109726	0.101693	0.0569117	0.039472	0.0439767	0.0494604	0.0600334	0.0698855
a93	0.0369236	0.0374427	0.0477558	0.0685613	0.0928445	0.0752244	0.0788988	0.0575118	0.0639595	0.0924841	0.106811	0.11424	0.127343
a96	0.0383206	0.0392139	0.0426181	0.0587094	0.0805985	0.0667761	0.0721843	0.0491269	0.0465704	0.0747265	0.105345	0.143953	0.181857
a61	0.0377622	0.0367952	0.038118	0.0514322	0.0647617	0.0533808	0.0659385	0.0527596	0.0561798	0.0821604	0.109506	0.152202	0.199004
a75	0.0573798	0.0572191	0.0590735	0.0678879	0.0778688	0.0681178	0.0697612	0.0575045	0.070226	0.0851813	0.0989246	0.106798	0.124057
a43	0.040438	0.0398977	0.042813	0.0476135	0.0504483	0.0438543	0.0410832	0.0332477	0.0339038	0.0637947	0.119962	0.190558	0.252386
a0	0.0127715	0.0105842	0.0121134	0.0171274	0.0201872	0.0172796	0.0194291	0.0192558	0.0347038	0.121239	0.206688	0.230338	0.278283
a61	0.00585085	0.00450646	0.00515626	0.00971193	0.0137956	0.0115059	0.0147439	0.0162112	0.0312538	0.127377	0.219836	0.251295	0.288756
a21	0.00311609	0.00241057	0.00255454	0.00395328	0.0048686	0.003971	0.00460081	0.00549592	0.0140872	0.090615	0.234389	0.31292	0.317018
a61	0.00610982	0.00460963	0.00440104	0.00676026	0.00806419	0.00702171	0.00624256	0.00624817	0.0113799	0.0476057	0.170427	0.314924	0.406206
a21	0.00105004	0.000733752	0.00063624	0.000969485	0.00137904	0.00165054	0.0016965	0.00325227	0.00990059	0.0490552	0.151506	0.32023	0.45794
a85	0.000762952	0.000523749	0.000470893	0.000768026	0.00100793	0.00113308	0.00114121	0.00220614	0.00762048	0.045549	0.161413	0.329387	0.448017
a36	0.000633799	0.000432027	0.000452046	0.000823992	0.000955892	0.00111639	0.00113743	0.00225151	0.00633967	0.0368758	0.144298	0.329039	0.475644
a26	0.00162246	0.000946217	0.000919771	0.00140747	0.00165602	0.00185105	0.00192074	0.00410695	0.011794	0.0529323	0.14084	0.290778	0.489225
a57	0.0439242	0.0238544	0.0197745	0.0223808	0.021745	0.0247647	0.0184811	0.0130535	0.01694	0.0399919	0.120586	0.239316	0.395189
a87	0.137725	0.0957974	0.0815869	0.0895139	0.0856389	0.0819481	0.0564412	0.0347443	0.0283995	0.0261789	0.048629	0.0819783	0.151418
a23	0.169336	0.100262	0.0795308	0.0915063	0.099204	0.0987198	0.072306	0.0578207	0.0559656	0.0392611	0.0400438	0.0414802	0.0545637
a87	0.13786	0.0668205	0.0454135	0.0378506	0.0334967	0.0360433	0.0278254	0.031962	0.0489994	0.0931622	0.137612	0.136162	0.166792
</S>	0.0116074	0.0070417	0.0058881	0.0068025	0.00685018	0.00877649	0.00848906	0.0119186	0.0316078	0.0878647	0.182443	0.284468	0.346243
