 	j'	ai	jeté	mes	habits	usés	dans	la	poubelle	</S>
a66	0.148634	0.106981	0.118673	0.152246	0.143061	0.194106	0.0883566	0.0239196	0.0133559	0.0106672
a87	0.481245	0.19958	0.086133	0.0393962	0.0325704	0.047936	0.0508738	0.0235803	0.0199027	0.0187823
a23	0.502765	0.228078	0.104192	0.0536582	0.0316225	0.0230659	0.0145206	0.0121773	0.0124714	0.0174495
a87	0.486631	0.228296	0.0814033	0.0471031	0.0394156	0.0498972	0.0188353	0.0134014	0.0147091	0.0203081
a23	0.437807	0.232453	0.0988572	0.0627806	0.0514739	0.0467429	0.0224747	0.0144332	0.0155933	0.0173845
a99	0.407131	0.199385	0.0961726	0.0612221	0.0443157	0.0414656	0.0303817	0.031184	0.0390423	0.0497
a50	0.26329	0.168236	0.137416	0.128877	0.0553061	0.0458935	0.0460778	0.0510832	0.0508162	0.0530039
a62	0.249438	0.219507	0.227253	0.118316	0.0390675	0.0259965	0.0248144	0.0321489	0.0313875	0.0320709
a96	0.187456	0.20964	0.257604	0.131893	0.0548445	0.0431391	0.0268204	0.0278909	0.0283162	0.0323959
a94	0.143499	0.17791	0.239801	0.167757	0.092044	0.0639335	0.0321524	0.0256223	0.0259812	0.0312998
a75	0.119404	0.14583	0.193363	0.166529	0.118807	0.0969927	0.0456896	0.0338749	0.0342832	0.0452266
a6	0.0708504	0.0935426	0.168589	0.190407	0.170201	0.161133	0.0540415	0.0265565	0.0274665	0.0372121
a5	0.0624914	0.0796902	0.137421	0.179494	0.185008	0.184094	0.0667891	0.0313567	0.0317208	0.0419353
a36	0.120187	0.137789	0.170568	0.190994	0.164683	0.134717	0.0314194	0.0145857	0.0154563	0.0196011
a70	0.0540606	0.0539899	0.0740918	0.187616	0.230975	0.216127	0.061344	0.0312038	0.037412	0.0531793
a34	0.0342168	0.0349145	0.051542	0.117364	0.179102	0.246257	0.0806532	0.0576271	0.0757907	0.122533
a96	0.0350167	0.0331654	0.0422056	0.123403	0.226711	0.275197	0.0983416	0.0436059	0.0488349	0.0735184
a62	0.0196019	0.0191871	0.0258375	0.0741866	0.16089	0.261761	0.151505	0.079257	0.0828436	0.12493
a96	0.0167253	0.016217	0.0257057	0.0674959	0.110067	0.253472	0.172967	0.104728	0.0990065	0.133616
a88	0.0105268	0.010243	0.0164658	0.04623	0.0801119	0.186913	0.199465	0.144863	0.132565	0.172617
a75	0.0049529	0.00473231	0.00772386	0.0237087	0.0413135	0.111769	0.189802	0.192802	0.186116	0.237079
a85	0.00260592	0.00204789	0.00201153	0.00671035	0.0156983	0.0306237	0.0711208	0.140555	0.284958	0.443668
a92	0.00190269	0.00141099	0.00125559	0.00473385	0.010054	0.0165576	0.0413362	0.112428	0.293836	0.516485
a85	0.00168539	0.00121575	0.00114982	0.00467798	0.00961016	0.017042	0.035015	0.108953	0.336298	0.484353
a92	0.00101359	0.00080155	0.000736595	0.00268927	0.0059484	0.00861527	0.0239924	0.0914485	0.304035	0.56072
a37	0.00142859	0.00100073	0.000919063	0.00357296	0.0073008	0.013056	0.0260219	0.100095	0.345979	0.500626
a98	0.000797703	0.000651331	0.000726576	0.00211164	0.00454021	0.00609831	0.0142151	0.0804216	0.326755	0.563682
a6	0.000518961	0.000353493	0.000298065	0.000825605	0.00192083	0.00243785	0.0101891	0.0801294	0.341717	0.56161
a0	0.000718749	0.00050718	0.000473587	0.000862901	0.00174016	0.00203381	0.00964028	0.0824975	0.32322	0.578306
a75	0.00050019	0.000342625	0.000296618	0.000521992	0.00107209	0.00165125	0.00811141	0.0730896	0.303394	0.61102
a92	0.000223641	0.000162624	0.000152815	0.000253291	0.0004373	0.000726722	0.00641293	0.0847608	0.300316	0.606554
a37	0.000160062	0.000107878	9.68264e-05	0.000186811	0.00038126	0.000595217	0.00529638	0.065043	0.270932	0.657201
a75	0.000486733	0.000378242	0.00034666	0.000506616	0.000784787	0.00128881	0.00814193	0.0758804	0.303792	0.608394
a47	0.000352175	0.000260548	0.00022327	0.000330694	0.000523176	0.000677648	0.00568992	0.0679192	0.283028	0.640996
a36	0.000209386	0.000157896	0.00012517	0.000144371	0.000244599	0.000560786	0.00606112	0.0848067	0.310594	0.597097
a2	0.00880786	0.0070402	0.0079558	0.00751233	0.00737428	0.00620173	0.03584	0.13581	0.323449	0.460008
a30	0.133235	0.0947418	0.10538	0.0704632	0.0604892	0.0247591	0.0412415	0.0683575	0.158011	0.243322
a10	0.248881	0.133157	0.0781697	0.0522945	0.0484944	0.0381978	0.0353905	0.0591503	0.120889	0.185375
a87	0.262879	0.138862	0.058237	0.0333285	0.0345836	0.0315324	0.0336018	0.0656378	0.132571	0.208766
a23	0.223844	0.128196	0.0571349	0.0320934	0.0352282	0.0414117	0.051725	0.0780251	0.145816	0.206526
a87	0.154874	0.0938186	0.0358497	0.0141895	0.0103033	0.00772794	0.0237092	0.0691145	0.227942	0.362471
a57	0.0124486	0.00684797	0.00294435	0.00183761	0.00259387	0.00359004	0.0134815	0.0510969	0.227873	0.677286
</S>	0.0743875	0.0470245	0.0213578	0.0206697	0.0341833	0.0492287	0.050938	0.0797992	0.182523	0.439889
