 	le	fait	que	cet	enfant	vole	des	choses	me	dépasse	</S>
a66	0.147112	0.107363	0.087778	0.110984	0.139256	0.163154	0.125209	0.0798584	0.0282609	0.00666182	0.00436223
a87	0.236318	0.129233	0.0883355	0.0925105	0.111208	0.151327	0.086948	0.0491152	0.0237031	0.0153466	0.0159561
a23	0.284752	0.205447	0.162572	0.127373	0.103362	0.053413	0.0241381	0.0142516	0.0102635	0.00713555	0.00729191
a87	0.25417	0.193688	0.146036	0.118698	0.125837	0.0849931	0.0375591	0.0136328	0.00860294	0.00677346	0.0100094
a23	0.224101	0.192919	0.154276	0.126802	0.129495	0.0931796	0.0383416	0.0147966	0.0094305	0.00741334	0.00924492
a99	0.256038	0.178714	0.124905	0.105242	0.123242	0.0988481	0.0377942	0.017931	0.0154439	0.0159402	0.0259019
a24	0.177309	0.149366	0.127185	0.111858	0.12392	0.134804	0.0557298	0.0301993	0.0282335	0.0253998	0.0359946
a31	0.174827	0.160733	0.153071	0.118334	0.12051	0.115222	0.0725449	0.0356186	0.0229295	0.0132273	0.0129821
a61	0.167433	0.200653	0.178988	0.127567	0.113672	0.108083	0.0601528	0.0218095	0.0110618	0.0057636	0.00481735
a98	0.139579	0.156387	0.149873	0.127107	0.125122	0.136861	0.0918615	0.0369723	0.0193657	0.00924723	0.00762548
a85	0.083373	0.102472	0.114936	0.118531	0.138297	0.159213	0.139304	0.0673998	0.0372479	0.0185866	0.020639
a92	0.0484739	0.0625094	0.0732996	0.0821525	0.0991844	0.148808	0.179812	0.138474	0.0838649	0.0404843	0.0429368
a85	0.060641	0.0653756	0.0819346	0.106201	0.129394	0.139013	0.174893	0.125351	0.060339	0.0270581	0.0297992
a92	0.0303146	0.0372832	0.046913	0.0680532	0.0907166	0.132881	0.188893	0.177678	0.111633	0.058728	0.0569054
a56	0.0419374	0.0445382	0.055026	0.0952218	0.13725	0.158924	0.195874	0.143193	0.0662366	0.0286403	0.0331579
a47	0.0269582	0.0276508	0.0331486	0.0677213	0.119469	0.145829	0.207362	0.177708	0.0974293	0.0457161	0.051008
a62	0.024197	0.0215575	0.024628	0.0442748	0.0909223	0.105011	0.189221	0.210402	0.134447	0.0723907	0.0829491
a0	0.0193029	0.0181461	0.0191883	0.0279255	0.0595644	0.0612577	0.137343	0.20934	0.196586	0.11729	0.134056
a75	0.0260143	0.0236753	0.0260905	0.0318114	0.0552202	0.0449629	0.108862	0.182086	0.199767	0.132426	0.169084
a25	0.00403685	0.00326454	0.00356376	0.00523112	0.00928723	0.00902379	0.0253516	0.0848285	0.180264	0.256915	0.418233
a92	0.00370829	0.00324686	0.00356637	0.00483431	0.0073952	0.00673678	0.022783	0.0716047	0.150739	0.253985	0.4714
a85	0.0034944	0.00329191	0.00354231	0.00518645	0.00908562	0.00979809	0.0223387	0.0611647	0.138699	0.286752	0.456647
a92	0.00323058	0.0026158	0.00278946	0.00320176	0.00463418	0.00441688	0.0119935	0.0347869	0.0895301	0.239503	0.603298
a37	0.00230096	0.00185275	0.00192046	0.00236892	0.00339619	0.00315418	0.00810137	0.0280658	0.0836654	0.280265	0.584909
a43	0.00203071	0.00145088	0.00146519	0.00172002	0.00325588	0.00222192	0.00498059	0.0156154	0.0519754	0.282572	0.632711
a75	0.00236645	0.00162968	0.00153934	0.00142559	0.00209239	0.00147237	0.00329685	0.00916809	0.0294027	0.21053	0.737077
a92	0.000548689	0.000366346	0.000352165	0.000330506	0.000469054	0.000469797	0.00152888	0.00514388	0.0218761	0.211203	0.757712
a37	0.000920594	0.000588644	0.000537756	0.000466568	0.000662735	0.000624644	0.00183737	0.00572374	0.0198845	0.199452	0.769301
a6	0.00203247	0.00143524	0.00123533	0.00106288	0.00142205	0.00134479	0.00318004	0.00776658	0.023996	0.199128	0.757397
a36	0.00160482	0.00117619	0.00101601	0.000861939	0.00119452	0.0013937	0.00394038	0.0108865	0.0319946	0.251625	0.694307
a2	0.00519294	0.00363953	0.00307074	0.00288136	0.00396475	0.00523632	0.0121803	0.0235116	0.0535808	0.262206	0.624536
a57	0.100284	0.0703381	0.0689495	0.0565869	0.0593385	0.0514922	0.0841597	0.0985207	0.0988937	0.130013	0.181423
a87	0.304421	0.1406	0.100395	0.0732244	0.0725969	0.0511596	0.0430198	0.0339556	0.03528	0.0628586	0.0824897
a23	0.219079	0.112259	0.0917345	0.0834543	0.0999394	0.0784993	0.0584148	0.0476617	0.0496141	0.0788206	0.0805233
a87	0.0989574	0.0552695	0.0501392	0.0429024	0.0491675	0.0337105	0.0208931	0.0273182	0.049313	0.176431	0.395898
</S>	0.0218587	0.0116339	0.00943939	0.00758271	0.00855927	0.0066432	0.00784302	0.0149686	0.0366621	0.165635	0.709174
