 	il	mérite	d'	être	battu	</S>
a23	0.520105	0.198727	0.0804885	0.0529897	0.0628657	0.0848239
a87	0.749505	0.088669	0.0435917	0.0256641	0.0339623	0.0586076
a23	0.539575	0.155745	0.0927468	0.0534902	0.0617763	0.0966661
a87	0.327403	0.0847165	0.0676596	0.0761969	0.145008	0.299016
a23	0.321413	0.100396	0.0897748	0.080193	0.141005	0.267217
a54	0.180147	0.0875148	0.0795898	0.102322	0.188272	0.362154
a7	0.326487	0.180291	0.141876	0.11536	0.101903	0.134082
a98	0.464017	0.179433	0.174697	0.0808407	0.0452315	0.0557806
a47	0.214576	0.111596	0.200642	0.184502	0.142048	0.146636
a36	0.142376	0.0803122	0.168892	0.194936	0.190131	0.223353
a21	0.187334	0.0871722	0.134328	0.152132	0.187571	0.251463
a92	0.214432	0.138026	0.183421	0.158109	0.139586	0.166425
a44	0.0386706	0.0479209	0.071593	0.161041	0.288376	0.392399
a84	0.118047	0.116868	0.124133	0.148752	0.19702	0.29518
a57	0.0990273	0.138736	0.112583	0.157414	0.201664	0.290576
a87	0.0400726	0.0466537	0.0376298	0.0861549	0.251399	0.53809
a23	0.051114	0.0498483	0.042297	0.0794619	0.238012	0.539267
a87	0.0397122	0.0630413	0.0833165	0.133853	0.22876	0.451316
</S>	0.0151022	0.0543722	0.079296	0.159718	0.292623	0.398888
