 	sa	colère	s'	apaise	</S>
a23	0.543523	0.208145	0.0720216	0.0492463	0.127064
a38	0.462029	0.198638	0.112255	0.102868	0.12421
a41	0.407642	0.18812	0.100491	0.126715	0.177032
a30	0.628493	0.187438	0.0789032	0.0676166	0.0375489
a73	0.598329	0.267192	0.0747071	0.0383272	0.0214449
a20	0.500331	0.307314	0.111513	0.0541898	0.0266523
a14	0.433331	0.312529	0.152317	0.0718022	0.0300203
a41	0.399666	0.336351	0.159273	0.0728741	0.0318368
a24	0.319087	0.336855	0.200579	0.0915765	0.0519025
a41	0.210835	0.215025	0.221445	0.210934	0.141761
a25	0.187329	0.18763	0.184583	0.188609	0.251848
a87	0.105455	0.111386	0.163793	0.242795	0.37657
a40	0.051669	0.0548371	0.117904	0.247202	0.528388
a53	0.168742	0.11836	0.151517	0.226011	0.335369
a69	0.100653	0.073853	0.117267	0.274918	0.433308
a58	0.071869	0.0460361	0.0772635	0.251084	0.553748
a82	0.0411113	0.0263032	0.0514774	0.22473	0.656378
a87	0.0249012	0.0302068	0.0723722	0.247176	0.625344
</S>	0.0259274	0.0313458	0.0670896	0.230258	0.64538
