 	lorsqu'	il	est	rentré	de	l'	école	il	a	bondit	sur	la	nourriture	</S>
a66	0.140311	0.119452	0.127218	0.108153	0.119339	0.11886	0.0846754	0.0686154	0.047072	0.0314967	0.0153545	0.00805568	0.00601949	0.00537829
a87	0.23046	0.165249	0.169222	0.144787	0.104557	0.0691775	0.0372202	0.0172838	0.0158544	0.00903936	0.0092191	0.0072786	0.00882998	0.0118227
a97	0.176602	0.114541	0.13052	0.175177	0.135596	0.107399	0.0548612	0.0247191	0.01712	0.01178	0.0114802	0.0105886	0.0132617	0.0163532
a3	0.164256	0.114033	0.14936	0.202305	0.140462	0.112296	0.0595034	0.0163603	0.0102902	0.00576462	0.00510115	0.00519363	0.00601404	0.00905954
a10	0.163237	0.110831	0.149404	0.209404	0.139925	0.110322	0.0555862	0.0151039	0.00999888	0.00623002	0.00604153	0.00605242	0.00711047	0.0107544
a87	0.161024	0.108861	0.152506	0.211742	0.133678	0.105832	0.0540066	0.0154945	0.0104734	0.00723916	0.00787711	0.00771898	0.00961557	0.0139313
a23	0.167877	0.125309	0.15257	0.184826	0.125538	0.10249	0.0546443	0.0164711	0.0117399	0.00807738	0.00989649	0.00958289	0.0125801	0.018398
a62	0.189655	0.120718	0.148237	0.185663	0.08138	0.0586638	0.0357793	0.0199434	0.018828	0.0191472	0.0222122	0.0240984	0.0329589	0.0427152
a96	0.180518	0.134514	0.163252	0.201968	0.102669	0.0804323	0.0537947	0.0255396	0.0140963	0.00787721	0.00849492	0.00652552	0.00946962	0.0108485
a70	0.121835	0.110438	0.136236	0.184922	0.138896	0.126343	0.0940472	0.033399	0.0146616	0.00758447	0.00862258	0.00645026	0.00843772	0.00812665
a93	0.0872666	0.0903383	0.11708	0.168727	0.153564	0.152569	0.125145	0.0404802	0.0162455	0.00832521	0.0099112	0.00804855	0.011496	0.0108051
a90	0.053905	0.0631969	0.0874503	0.136671	0.166616	0.185732	0.169625	0.0627243	0.0229652	0.0108292	0.0107091	0.00841824	0.0110831	0.0100752
a98	0.0381766	0.0517081	0.0730377	0.122339	0.16098	0.182132	0.17414	0.0786696	0.0371282	0.0206319	0.0173339	0.0128475	0.0161635	0.0147116
a85	0.0308957	0.0462695	0.0679819	0.102965	0.128425	0.146437	0.174258	0.103922	0.064764	0.0422139	0.0274976	0.0174	0.0232033	0.0237672
a5	0.0310651	0.0433033	0.0562143	0.0722548	0.105518	0.127494	0.159098	0.124877	0.088783	0.0613635	0.0415529	0.025076	0.0310043	0.0323951
a36	0.0436797	0.0490783	0.0578547	0.0793675	0.111001	0.134824	0.149634	0.120317	0.0810023	0.0635594	0.0326305	0.0239531	0.0262895	0.0268089
a90	0.0141514	0.0174623	0.020074	0.0306246	0.0645679	0.0932875	0.127367	0.166621	0.134133	0.106761	0.0553737	0.0474807	0.0569655	0.0651309
a25	0.00907479	0.011166	0.0118863	0.0172649	0.045984	0.0742852	0.108966	0.169469	0.151458	0.133034	0.0735209	0.0559828	0.0637938	0.0741138
a92	0.00605293	0.00776459	0.00782603	0.0108718	0.0310385	0.0501469	0.0737947	0.157455	0.165514	0.150169	0.0811267	0.0654831	0.0830172	0.109739
a75	0.00385909	0.00448971	0.00504775	0.00678699	0.0190564	0.034833	0.0562635	0.137184	0.177201	0.204495	0.117184	0.0789519	0.0720771	0.0825709
a96	0.00306218	0.003338	0.00364174	0.00435023	0.0115841	0.0232487	0.0414033	0.112615	0.147018	0.189122	0.140321	0.113457	0.0970696	0.109769
a66	0.00565903	0.00625192	0.00496022	0.00463984	0.0103678	0.0199647	0.0361819	0.126515	0.180457	0.208719	0.119502	0.0785298	0.0835483	0.114704
a26	0.0130078	0.0143469	0.0106374	0.010524	0.0157847	0.0225935	0.029381	0.0954637	0.137661	0.1987	0.128115	0.0909648	0.0921151	0.140705
a82	0.0164859	0.0180907	0.0174805	0.0193453	0.0236774	0.0296748	0.0346408	0.0866539	0.141924	0.216747	0.106553	0.0855761	0.0803685	0.122781
