 	il	faut	attiser	le	feu	qui	est	éteint	</S>
a23	0.250394	0.212577	0.126671	0.0865258	0.0755313	0.0596749	0.0449272	0.0569291	0.0867697
a54	0.288273	0.151767	0.0725278	0.0917485	0.098405	0.0941729	0.0599464	0.056436	0.0867229
a14	0.250723	0.182731	0.13547	0.138695	0.0769936	0.0748773	0.0541685	0.0422261	0.0441145
a35	0.233088	0.186535	0.17904	0.153991	0.0976197	0.080603	0.0346492	0.0182647	0.0162089
a12	0.207064	0.174151	0.187547	0.153275	0.105848	0.0733611	0.0397992	0.0296564	0.0292988
a98	0.190646	0.151551	0.186236	0.153155	0.102003	0.0683511	0.0459328	0.0455248	0.0565998
a71	0.188808	0.16526	0.169507	0.15057	0.110788	0.066944	0.044977	0.0491408	0.0540054
a62	0.185515	0.156256	0.134375	0.118713	0.10248	0.0809415	0.0609457	0.0736371	0.0871372
a98	0.169599	0.148432	0.129808	0.11577	0.111896	0.1027	0.077112	0.0754405	0.0692434
a38	0.181452	0.159488	0.140504	0.11594	0.108682	0.0850788	0.0580964	0.0709927	0.0797657
a75	0.163191	0.143724	0.135747	0.105243	0.0921215	0.0816981	0.0657378	0.0918394	0.120699
a41	0.0910797	0.0825303	0.0758491	0.0632496	0.0673703	0.0870904	0.119476	0.198245	0.215109
a94	0.0611352	0.0662899	0.0700823	0.0734788	0.0769717	0.0957032	0.13018	0.194886	0.231272
a24	0.108704	0.0925362	0.0763966	0.0689546	0.0637528	0.074098	0.096025	0.1791	0.240434
a41	0.0585805	0.0509255	0.0428929	0.0469758	0.0525149	0.0735395	0.123087	0.239013	0.312471
a96	0.0332533	0.0322458	0.0334121	0.0433286	0.0490671	0.070347	0.141282	0.275303	0.32176
a12	0.0521283	0.0466629	0.0413001	0.0471859	0.0513033	0.0701821	0.121789	0.254053	0.315396
a24	0.0539542	0.0510049	0.0444487	0.04341	0.0438102	0.0554405	0.103773	0.267733	0.336426
a98	0.0220252	0.0188242	0.0147983	0.0183537	0.0232509	0.0316514	0.0709164	0.295194	0.504986
a38	0.029757	0.0244641	0.0183758	0.0239342	0.0303475	0.0442873	0.0879032	0.299075	0.441856
a62	0.0217788	0.0178224	0.0132004	0.0182371	0.0221051	0.0333744	0.071035	0.281329	0.521118
a34	0.012385	0.0107695	0.00910857	0.0127671	0.0156818	0.0220132	0.0490046	0.251545	0.616726
a75	0.0118955	0.0108649	0.00959341	0.011963	0.0119502	0.0175011	0.0463399	0.230926	0.648966
a34	0.00855871	0.00718804	0.0058535	0.00971883	0.0116134	0.0199266	0.0554401	0.231106	0.650594
a62	0.00946221	0.00806387	0.00690539	0.0109863	0.0124828	0.0190041	0.0482232	0.244425	0.640447
a98	0.00544542	0.00481912	0.00450653	0.00609999	0.00761696	0.0126668	0.0380013	0.227078	0.693766
a9	0.0044317	0.00386473	0.00359316	0.00646153	0.00930035	0.0191846	0.0530577	0.209312	0.690794
a87	0.00388843	0.00373257	0.00367762	0.00715748	0.0115372	0.0274335	0.0727357	0.234535	0.635302
</S>	0.00403383	0.00418305	0.00374959	0.00808567	0.0132597	0.0239259	0.0587113	0.217807	0.666244
