 	aucun	homme	n'	est	venu	hier	</S>
a30	0.144172	0.146866	0.167492	0.171792	0.131568	0.129781	0.108328
a10	0.135625	0.120718	0.129129	0.150927	0.162488	0.162498	0.138614
a87	0.111406	0.068896	0.0799421	0.119999	0.152461	0.195684	0.271611
a23	0.197092	0.0992844	0.104735	0.151876	0.155618	0.143456	0.147938
a10	0.234442	0.137835	0.101433	0.123423	0.125243	0.134959	0.142664
a0	0.110228	0.0756272	0.0637222	0.0686385	0.0921614	0.209742	0.379881
a31	0.479342	0.240144	0.107972	0.060753	0.0420742	0.0358786	0.0338365
a88	0.557618	0.278819	0.0947248	0.0347207	0.014625	0.00999492	0.00949793
a62	0.491551	0.314692	0.120031	0.03827	0.0145999	0.0103619	0.0104945
a47	0.338798	0.331266	0.196099	0.0723199	0.0240377	0.0183515	0.0191273
a62	0.201283	0.229011	0.250162	0.144327	0.0642596	0.0525623	0.0583956
a93	0.252138	0.300778	0.230912	0.120307	0.0398231	0.0272192	0.0288236
a90	0.175396	0.215657	0.246099	0.177188	0.0749198	0.0529025	0.0578378
a25	0.172949	0.24401	0.253529	0.159958	0.0682183	0.050252	0.051084
a21	0.149973	0.21715	0.245996	0.192464	0.0909776	0.0546079	0.0488313
a12	0.18347	0.198766	0.203547	0.164599	0.102586	0.0756095	0.0714224
a32	0.102647	0.124974	0.191541	0.221436	0.15218	0.106087	0.101136
a75	0.0653596	0.0753122	0.12836	0.221864	0.224624	0.149545	0.134935
a21	0.0508833	0.0510322	0.0605069	0.0846334	0.129059	0.250568	0.373318
a85	0.08877	0.0874276	0.096015	0.135132	0.175666	0.1917	0.22529
a41	0.0298569	0.0284138	0.0284725	0.0459157	0.118018	0.282108	0.467215
a56	0.0277189	0.0258148	0.0316838	0.0543815	0.152226	0.31983	0.388346
a98	0.0196942	0.0214767	0.0313486	0.059316	0.165686	0.319243	0.383235
a73	0.011129	0.0127101	0.0165067	0.0338456	0.129252	0.354916	0.44164
a84	0.0121183	0.0134151	0.0144495	0.0250576	0.088556	0.34334	0.503063
a53	0.00593696	0.00672232	0.00756863	0.0120897	0.0414353	0.211535	0.714712
a90	0.0059322	0.00706938	0.0100174	0.0230158	0.0747089	0.269496	0.60976
a15	0.00258545	0.00294516	0.00483834	0.0144266	0.067342	0.261966	0.645897
a69	0.00207052	0.00245794	0.00357816	0.00956338	0.0518549	0.270112	0.660363
a84	0.00178745	0.00235663	0.004185	0.010673	0.0516254	0.276879	0.652493
a40	0.000926329	0.00103637	0.00152163	0.00388509	0.0217262	0.194974	0.77593
a54	0.00366224	0.00404218	0.00569275	0.0137114	0.0506812	0.264121	0.658089
a73	0.00293356	0.00321872	0.0048233	0.0108442	0.0422322	0.23292	0.703028
a84	0.000560467	0.000852061	0.00169188	0.00592261	0.0341632	0.24347	0.71334
a87	0.00348742	0.00362593	0.00440465	0.0109935	0.041392	0.227505	0.708592
</S>	0.0171305	0.0245169	0.024678	0.0501605	0.136188	0.323358	0.423969
