 	ils	ont	fait	soigner	le	malade	par	le	guérisseur	qui	vient	de	ngaé	</S>
a66	0.270284	0.220725	0.138912	0.125383	0.0702478	0.0455079	0.0359192	0.0221254	0.0195414	0.0129445	0.0107938	0.00885161	0.00912976	0.00963427
a87	0.271168	0.228185	0.145159	0.0873603	0.0470551	0.0323824	0.0246899	0.0184683	0.0185929	0.0223666	0.0221806	0.0258831	0.0265146	0.0299948
a23	0.37225	0.237837	0.108481	0.0459199	0.0208124	0.0148427	0.0159506	0.0151854	0.0201671	0.0205272	0.0198694	0.0229376	0.0410347	0.0441848
a20	0.207453	0.157488	0.0708671	0.0334083	0.019058	0.0156639	0.0175467	0.020739	0.0275664	0.0428984	0.0486294	0.0693028	0.120852	0.148527
a36	0.183872	0.167315	0.10463	0.0717184	0.0537707	0.0590035	0.0638516	0.0538213	0.0593855	0.0552337	0.0381432	0.0327259	0.0272969	0.0292328
a85	0.228459	0.273473	0.184673	0.112165	0.0425726	0.0250603	0.0216978	0.0159528	0.0167547	0.0200624	0.0157166	0.0150818	0.0147955	0.013535
a6	0.145634	0.209761	0.178082	0.146606	0.0696155	0.0480363	0.0352708	0.025258	0.0240668	0.0265586	0.0209491	0.0190735	0.0242606	0.0268279
a5	0.139849	0.194812	0.171854	0.136154	0.0795537	0.0546529	0.0403302	0.0290219	0.0263381	0.0254522	0.0192178	0.0196049	0.0316159	0.0315432
a43	0.171434	0.181717	0.140788	0.101207	0.0728044	0.055083	0.0419861	0.0312912	0.0290407	0.0321959	0.0289015	0.028022	0.0423556	0.0431733
a25	0.121432	0.135512	0.144768	0.123553	0.0929897	0.0658754	0.049193	0.0373322	0.0318869	0.0325911	0.0318524	0.0304477	0.0466143	0.0559521
a69	0.0639858	0.0848253	0.119478	0.148859	0.112939	0.0811721	0.0542709	0.0387887	0.0297313	0.0295952	0.0283506	0.0324891	0.0762813	0.0992336
a90	0.0388534	0.0432633	0.060089	0.0982774	0.105498	0.0856768	0.0587617	0.0426139	0.0351602	0.0472169	0.0565857	0.0661735	0.114789	0.147041
a92	0.0308349	0.0365269	0.059083	0.122809	0.118024	0.0971967	0.0717168	0.052505	0.0412865	0.0517834	0.0599273	0.0627331	0.0913052	0.104269
a85	0.0134581	0.0159669	0.0272852	0.0836784	0.0960543	0.0922624	0.0777167	0.067407	0.0549708	0.0712394	0.0887731	0.0920475	0.100021	0.119119
a92	0.014667	0.0214278	0.0443984	0.131741	0.123044	0.100631	0.0738697	0.0579988	0.0485066	0.0597955	0.074323	0.0811926	0.0769337	0.0914705
a98	0.00955516	0.0115982	0.0236849	0.090216	0.105151	0.103847	0.0790905	0.0643804	0.052066	0.0673412	0.0880789	0.098052	0.0946456	0.112293
a47	0.0112696	0.0113383	0.0191167	0.059942	0.0782506	0.0900024	0.0856066	0.0797688	0.0669452	0.081642	0.0973682	0.102637	0.103485	0.112627
a92	0.00449238	0.00431212	0.00734799	0.0334992	0.0596273	0.0828044	0.0785831	0.0765597	0.0586799	0.0767835	0.100097	0.119208	0.136635	0.16137
a21	0.00345221	0.00318066	0.00527169	0.0213827	0.0356217	0.0526044	0.0582912	0.0694215	0.0622355	0.0885625	0.124474	0.145111	0.161989	0.168403
a47	0.0023007	0.00191191	0.00238642	0.00671119	0.0102415	0.0160017	0.0202701	0.0328556	0.0345875	0.0694304	0.117757	0.163261	0.242193	0.280091
a93	0.00318739	0.00287929	0.00359121	0.00836755	0.01049	0.0147679	0.0186994	0.0292246	0.0314901	0.0645442	0.0970016	0.147686	0.269693	0.298377
a44	0.00094714	0.000865419	0.00119923	0.00354631	0.00611161	0.00989358	0.0131011	0.0221614	0.0242721	0.0558553	0.0914614	0.153042	0.291787	0.325757
a56	0.000614153	0.00053797	0.000686606	0.0018426	0.00316357	0.00525522	0.00721518	0.0103795	0.0112111	0.032487	0.0712321	0.132452	0.309493	0.41343
a96	0.00103139	0.000835218	0.0011771	0.00334581	0.00522382	0.00814029	0.0104144	0.0164687	0.0174308	0.037583	0.0877681	0.145315	0.282679	0.382587
a75	0.00109521	0.000946951	0.00122965	0.00269292	0.00398083	0.00624299	0.00839116	0.0114533	0.0133772	0.0338526	0.0807278	0.138962	0.292045	0.405002
a5	0.000155376	0.000125421	0.000184437	0.000591226	0.000847322	0.00138095	0.0018014	0.00301738	0.00372257	0.0125019	0.0469946	0.104159	0.326857	0.497661
a18	0.000801735	0.000652181	0.000924952	0.00275419	0.00360802	0.0052548	0.00606273	0.00824983	0.00896724	0.0215044	0.0574393	0.108098	0.29915	0.476533
a82	0.00195046	0.00183089	0.0023469	0.00545789	0.00671713	0.00863585	0.00780312	0.0083481	0.0100473	0.026213	0.0594494	0.107584	0.284133	0.469484
a97	0.081743	0.0573457	0.0474913	0.0732709	0.0509122	0.050771	0.0387394	0.0333675	0.0345078	0.0462305	0.0697293	0.0859949	0.134504	0.195392
a87	0.207062	0.16166	0.0983289	0.0788219	0.0425495	0.0352018	0.0326413	0.0333085	0.041284	0.041846	0.0566505	0.0537565	0.0550877	0.0618011
a23	0.153385	0.110421	0.0653358	0.0518041	0.0328391	0.0315371	0.0352265	0.0420575	0.0563643	0.0613186	0.0804822	0.0813148	0.0937677	0.104147
a97	0.025072	0.0172518	0.0113923	0.00961452	0.00577593	0.00715187	0.0106548	0.019247	0.0285663	0.0542166	0.0727072	0.129195	0.279991	0.329163
</S>	0.00644114	0.00418983	0.00306151	0.00458784	0.00407235	0.00529662	0.007252	0.0111198	0.0164865	0.0294896	0.0400365	0.0838102	0.332722	0.451434
