 	cette	termitière	a	de	gros	trous	d'	aération	</S>
a66	0.290581	0.162792	0.119792	0.146805	0.129422	0.0737296	0.0409121	0.020096	0.0158708
a87	0.238786	0.137582	0.135274	0.137383	0.11324	0.074775	0.0576589	0.0474972	0.0578025
a97	0.245023	0.205161	0.117982	0.0949652	0.0844574	0.0737874	0.0674086	0.0548664	0.0563487
a30	0.251091	0.213236	0.111598	0.0892132	0.0814223	0.071103	0.0690077	0.0616347	0.0516937
a4	0.224651	0.209944	0.103979	0.0920644	0.0948638	0.0885705	0.0846046	0.059537	0.0417853
a11	0.352202	0.310315	0.118917	0.0694311	0.0481429	0.0352651	0.0358393	0.018469	0.0114191
a0	0.360775	0.359451	0.13541	0.0679818	0.0373439	0.0167322	0.0116774	0.00582824	0.00480007
a21	0.248717	0.342396	0.164724	0.0953826	0.0605527	0.0308147	0.0254882	0.0151594	0.0167648
a12	0.263641	0.34879	0.185901	0.104503	0.0486896	0.0176136	0.0129093	0.00845067	0.00950123
a96	0.229369	0.330392	0.201012	0.120566	0.059887	0.0216743	0.0156433	0.0104461	0.0110108
a90	0.168141	0.2726	0.201347	0.142153	0.0849857	0.0410348	0.034185	0.0272408	0.0283121
a25	0.168479	0.228394	0.198666	0.150222	0.103407	0.0567993	0.0384562	0.0280833	0.0274934
a94	0.112387	0.15934	0.16836	0.152695	0.141902	0.094534	0.0650318	0.0511903	0.0545607
a90	0.065429	0.103263	0.140774	0.167252	0.167494	0.123113	0.0884423	0.0699198	0.0743137
a25	0.0462732	0.0666878	0.112265	0.166932	0.207561	0.162065	0.10673	0.0685677	0.0629182
a98	0.02789	0.0420011	0.0788389	0.122716	0.185251	0.183134	0.143027	0.100808	0.116336
a47	0.0161531	0.0263388	0.0551937	0.0936475	0.144824	0.171387	0.178718	0.149292	0.164446
a36	0.0076988	0.0125191	0.0261032	0.049059	0.0893313	0.141623	0.196063	0.191983	0.28562
a44	0.00405235	0.00467679	0.00805335	0.0172207	0.0370664	0.090566	0.180677	0.238836	0.418851
a53	0.00134024	0.00150596	0.00257915	0.00596398	0.0184206	0.0649537	0.165893	0.267178	0.472165
a90	0.000362625	0.000548453	0.00100165	0.00251602	0.00953897	0.0409433	0.136021	0.268419	0.540649
a98	0.00053022	0.000898857	0.00156867	0.00383268	0.0123144	0.0459223	0.139247	0.276261	0.519425
a85	0.000299246	0.000576754	0.0012302	0.00278969	0.00740317	0.0265254	0.0947595	0.238962	0.627454
a6	0.000249987	0.000474846	0.00115776	0.00319469	0.0116658	0.0403607	0.115778	0.263278	0.56384
a5	0.000107357	0.000182121	0.000446835	0.00125516	0.00523985	0.0224185	0.0753032	0.229629	0.665418
a61	0.000409439	0.000500344	0.000990807	0.00206415	0.00656945	0.0258263	0.0763615	0.233737	0.653541
a18	0.00044077	0.000544174	0.00125436	0.0026688	0.00799432	0.0278465	0.08162	0.251296	0.626336
a25	0.00228991	0.00229156	0.00348179	0.00592986	0.0142671	0.0381235	0.0944909	0.238379	0.600746
a97	0.021446	0.0131584	0.0167896	0.0250047	0.0460531	0.0817048	0.136879	0.2294	0.429564
a99	0.0460973	0.0286046	0.033315	0.0432437	0.0629903	0.0978713	0.153506	0.223193	0.311179
a97	0.0164778	0.0115962	0.0124194	0.0143033	0.0245006	0.0553073	0.125383	0.246208	0.493804
a87	0.00905478	0.00798483	0.00908109	0.0138867	0.027512	0.0647	0.13975	0.268688	0.459343
a97	0.00729789	0.00698738	0.00834713	0.0117568	0.0217229	0.0493843	0.110266	0.247023	0.537215
a99	0.0181149	0.0211904	0.0237598	0.0323731	0.0479267	0.0836681	0.134768	0.225647	0.412551
a97	0.0193983	0.0233744	0.0279906	0.0336953	0.0488216	0.0815235	0.13497	0.216329	0.413897
a99	0.0344152	0.0364467	0.0401577	0.0412883	0.0540197	0.0867908	0.135432	0.202588	0.368861
</S>	0.0465163	0.0465714	0.0479217	0.0445482	0.056434	0.0840799	0.129529	0.191231	0.353168
