 	va	me	chercher	une	canne	à	sucre	afin	que	je	la	suce	</S>
a11	0.0727504	0.0368831	0.0410363	0.0647633	0.103787	0.145593	0.155463	0.165637	0.0780716	0.0480678	0.0398989	0.0242297	0.0238199
a75	0.119903	0.0415098	0.03292	0.0436683	0.0656476	0.0853394	0.0971112	0.138312	0.0852856	0.0800017	0.0866568	0.0669982	0.0566466
a10	0.417693	0.176769	0.0856557	0.0444719	0.0403119	0.0360974	0.0470636	0.0438485	0.024188	0.0229396	0.023131	0.0212687	0.0165616
a13	0.327909	0.170556	0.106128	0.0555545	0.0582466	0.0579138	0.0707002	0.0446496	0.0200254	0.0186178	0.0194892	0.0258455	0.0243648
a11	0.213362	0.138044	0.0973706	0.0644438	0.0761939	0.0940077	0.110802	0.0647991	0.0305367	0.0251149	0.0244243	0.0294311	0.0314693
a75	0.177213	0.164545	0.123581	0.080865	0.0798746	0.0904702	0.0915658	0.0579572	0.0287029	0.0216713	0.0209594	0.0288221	0.0337725
a25	0.148293	0.147447	0.116504	0.0920518	0.0856431	0.0899767	0.0942351	0.0749143	0.0422909	0.0285089	0.0238379	0.0258293	0.0304683
a98	0.125403	0.139994	0.130779	0.106694	0.0736509	0.0842098	0.0778555	0.0747888	0.0453597	0.0331728	0.0293195	0.0353509	0.043423
a41	0.0846987	0.105284	0.115889	0.107574	0.0862915	0.0943326	0.0903521	0.0843735	0.0630995	0.0454783	0.0377988	0.0395646	0.0452632
a24	0.0453527	0.0637277	0.114115	0.13728	0.105532	0.118097	0.103579	0.0961742	0.060452	0.0416603	0.0353439	0.0363483	0.0423389
a41	0.0390872	0.046491	0.0808279	0.115335	0.1069	0.130812	0.112462	0.114451	0.0628047	0.0450083	0.0384702	0.0470582	0.0602922
a35	0.0313935	0.035418	0.0650173	0.108223	0.112635	0.14404	0.125071	0.134369	0.0703083	0.0464054	0.0368677	0.0388989	0.0513528
a76	0.0218752	0.0248882	0.0472643	0.0880851	0.0973237	0.132945	0.120691	0.157083	0.0872521	0.0612094	0.0481031	0.048518	0.0647619
a90	0.0158924	0.0204569	0.0403495	0.0689332	0.0850716	0.123421	0.10877	0.141098	0.0926426	0.0785333	0.0765655	0.0633508	0.0849147
a82	0.0119632	0.0150248	0.0382951	0.0710196	0.0911742	0.155512	0.145221	0.191477	0.0961644	0.0595038	0.0458441	0.0340145	0.0447873
a53	0.00487071	0.00505925	0.0111317	0.039432	0.0858716	0.149341	0.150383	0.236283	0.117046	0.0656785	0.057146	0.0317303	0.0460256
a76	0.0113166	0.0103159	0.0171614	0.0345692	0.0710925	0.118379	0.127408	0.198592	0.117738	0.0803229	0.0698213	0.0629247	0.0803577
a90	0.00984322	0.0109284	0.0221249	0.0417338	0.0624713	0.107295	0.11274	0.205798	0.120461	0.0880832	0.0852334	0.057044	0.0762433
a38	0.00744453	0.00840445	0.019814	0.0410433	0.0572253	0.101875	0.112372	0.232685	0.119317	0.0857136	0.0836446	0.0543002	0.0761609
a14	0.00329226	0.00376261	0.00997955	0.0304749	0.0499131	0.0863624	0.0890403	0.233862	0.131207	0.100648	0.103441	0.0603136	0.0977028
a35	0.011959	0.0123627	0.0251172	0.0435344	0.0590176	0.0899685	0.0915945	0.186817	0.116055	0.0987084	0.100757	0.0739114	0.0901975
a26	0.0106253	0.0116644	0.0250236	0.0477126	0.0668297	0.106838	0.106138	0.198586	0.105696	0.0844097	0.090615	0.0629991	0.0828622
a32	0.00262564	0.00371021	0.00995272	0.0312819	0.0642019	0.108894	0.105147	0.207525	0.118463	0.0943295	0.105977	0.0591711	0.0887223
a61	0.00247659	0.00306569	0.00932949	0.0295111	0.0529801	0.0830408	0.0859449	0.196031	0.116313	0.100185	0.132366	0.0690975	0.119659
a35	0.00372021	0.00389987	0.00987636	0.0277062	0.0494928	0.0708408	0.0754035	0.147594	0.0928797	0.0917537	0.130089	0.116546	0.180197
a98	0.00222394	0.00281368	0.00913391	0.0278392	0.0529293	0.0763019	0.0819846	0.150472	0.10319	0.097979	0.134462	0.102021	0.158649
a14	0.00268385	0.0034125	0.00899348	0.0242305	0.0503592	0.0774705	0.0881309	0.166278	0.105545	0.0954293	0.122793	0.10429	0.150384
a35	0.00292557	0.00399927	0.00937484	0.0256059	0.053183	0.0816359	0.0856489	0.144486	0.101075	0.0952743	0.120402	0.115698	0.160691
a76	0.00218535	0.00305793	0.00757667	0.022451	0.0475891	0.0771454	0.0821534	0.164184	0.1088	0.0987881	0.130607	0.0992057	0.156257
a20	0.0037513	0.00410823	0.00888753	0.0205637	0.0378146	0.0553061	0.0667368	0.169702	0.11727	0.113665	0.139491	0.126089	0.136614
a84	0.0036509	0.00385439	0.00715427	0.0175133	0.0320868	0.0493102	0.0565969	0.1684	0.118509	0.11726	0.153353	0.119376	0.152935
a57	0.00834979	0.00920913	0.014441	0.0342078	0.0594799	0.0989599	0.0960417	0.178132	0.120774	0.0873881	0.104795	0.0749483	0.113273
a87	0.0155087	0.0129196	0.0151901	0.0295979	0.0381823	0.0667585	0.058834	0.127328	0.101896	0.0982276	0.141592	0.127556	0.166409
a23	0.0270163	0.0200744	0.0197114	0.037947	0.0462167	0.0581448	0.0483834	0.0997635	0.0847819	0.0948844	0.158752	0.140706	0.163618
a10	0.0279751	0.0202677	0.017489	0.0336458	0.0447752	0.0595105	0.0485817	0.112445	0.0922602	0.0994279	0.155299	0.129403	0.15892
a87	0.0414294	0.0321291	0.0292496	0.049283	0.0510039	0.0572732	0.0496121	0.117922	0.0829534	0.0888108	0.143699	0.113135	0.1435
a23	0.0410607	0.0340111	0.0309015	0.0426539	0.0342915	0.0373101	0.0369265	0.0773021	0.0638738	0.0913973	0.161822	0.160685	0.187765
a87	0.0253493	0.0253943	0.0299168	0.0496596	0.0434477	0.0538403	0.0561359	0.102258	0.0695394	0.0890766	0.154617	0.134906	0.165859
a23	0.0347232	0.0276224	0.0307784	0.045233	0.0354381	0.0386404	0.0385427	0.0929437	0.0643821	0.0910798	0.168146	0.156592	0.175878
a10	0.0267714	0.0257032	0.0276207	0.0438954	0.0392429	0.0482128	0.0494375	0.105192	0.0651268	0.0847404	0.154475	0.148135	0.181447
a87	0.0315741	0.0284204	0.0388988	0.066699	0.0464587	0.0524887	0.0488906	0.108907	0.0606894	0.0752314	0.141321	0.126927	0.173494
a10	0.024192	0.0214902	0.0272603	0.0428526	0.032155	0.0357523	0.0344004	0.082256	0.0635638	0.0962929	0.177417	0.174297	0.188071
a11	0.0364003	0.0286365	0.0330089	0.053043	0.0390089	0.0467825	0.0479549	0.107123	0.0635102	0.0846105	0.1521	0.141412	0.166409
</S>	0.0537622	0.046573	0.0607482	0.0830255	0.0533992	0.0542873	0.0546863	0.0911231	0.0669943	0.0804799	0.123356	0.0954396	0.136126
