 	il	m'	a	promis	de	la	nourriture	</S>
a66	0.399305	0.236378	0.167368	0.0681244	0.0483992	0.0357026	0.0258884	0.0188342
a87	0.419267	0.210258	0.174651	0.10256	0.035287	0.0247314	0.0184543	0.0147914
a23	0.470201	0.227447	0.130702	0.0739049	0.0272435	0.0235261	0.0217063	0.0252697
a30	0.328509	0.179113	0.0920723	0.0674016	0.0409442	0.058876	0.0872691	0.145815
a53	0.276006	0.222199	0.14994	0.111045	0.0603195	0.0573142	0.0581146	0.0650615
a15	0.302435	0.307228	0.209397	0.106443	0.0275495	0.0202273	0.0150241	0.0116956
a98	0.153436	0.236637	0.256137	0.192465	0.0623322	0.0420329	0.0339824	0.0229776
a85	0.137101	0.254662	0.290972	0.191357	0.0553828	0.0308263	0.0250408	0.0146585
a92	0.104414	0.183192	0.217566	0.166688	0.0867428	0.0779816	0.0971992	0.0662155
a21	0.111348	0.147733	0.159199	0.163395	0.112661	0.104564	0.120542	0.0805588
a12	0.0671537	0.0740737	0.0739776	0.111836	0.156458	0.166481	0.194514	0.155507
a75	0.0308918	0.03372	0.0370224	0.0613397	0.173371	0.208904	0.232738	0.222013
a85	0.0116819	0.0145444	0.0217055	0.0647767	0.178736	0.216916	0.243048	0.248592
a6	0.00427059	0.00542449	0.00974123	0.0360397	0.143171	0.211989	0.26427	0.325094
a37	0.00360762	0.00323978	0.00437774	0.017181	0.109835	0.209638	0.2889	0.36322
a21	0.00429682	0.00302887	0.00295039	0.00702229	0.0502131	0.138431	0.283257	0.5108
a5	0.00245044	0.00161323	0.00199597	0.00392071	0.0273358	0.0892518	0.234742	0.63869
a12	0.00274351	0.00214493	0.00309569	0.00643841	0.0274316	0.0781798	0.211378	0.668588
a62	0.00262655	0.0025885	0.00456055	0.00920041	0.0389182	0.0982268	0.231323	0.612556
a88	0.001594	0.00204675	0.00495078	0.0107205	0.036273	0.0918524	0.22264	0.629923
a75	0.00211171	0.00296028	0.00862532	0.0224792	0.0506853	0.116886	0.238061	0.558191
a6	0.000961481	0.00102189	0.00240493	0.00623471	0.0267521	0.0835135	0.234302	0.644809
a36	0.000749323	0.000748083	0.00191213	0.00583632	0.0273439	0.0869053	0.233044	0.643461
a2	0.00586777	0.00675923	0.013625	0.0223149	0.0620445	0.117478	0.242606	0.529304
a57	0.0734757	0.0538297	0.0527257	0.0548825	0.103429	0.139456	0.198838	0.323363
a87	0.201601	0.0927353	0.0677514	0.0551915	0.0778482	0.106308	0.141919	0.256646
a23	0.386698	0.229515	0.134268	0.0662947	0.0453609	0.0431756	0.0424423	0.0522449
a87	0.119049	0.0433485	0.0231843	0.0266871	0.0429332	0.0978918	0.222448	0.424459
a97	0.0159781	0.00749632	0.00612077	0.0112828	0.0267758	0.0869995	0.285612	0.559735
</S>	0.0301397	0.0201942	0.0196033	0.0345381	0.0627851	0.125752	0.266646	0.440341
