 	la	nourriture	que	j'	ai	préparée	hier	s'	est	gâtée	</S>
a66	0.131749	0.0887808	0.0824149	0.0746266	0.107234	0.188554	0.148269	0.104672	0.035791	0.0230727	0.0148353
a87	0.358697	0.170068	0.112342	0.085936	0.0720683	0.0459196	0.0218172	0.0330041	0.0317536	0.0438611	0.0245337
a23	0.323219	0.16724	0.122371	0.10075	0.0943357	0.0699094	0.0373584	0.0293736	0.0171867	0.0216004	0.0166558
a10	0.254392	0.164997	0.105886	0.0979264	0.0921483	0.0614043	0.0456514	0.033391	0.0302486	0.0589877	0.0549685
a87	0.235123	0.176175	0.129527	0.133536	0.113564	0.0561388	0.0292989	0.0351177	0.0303348	0.0374607	0.0237245
a23	0.249829	0.151401	0.107611	0.11381	0.108562	0.0681244	0.0415847	0.0452801	0.0389206	0.0454741	0.0294034
a12	0.171812	0.12979	0.0933654	0.101689	0.0873935	0.0498195	0.0431195	0.053574	0.0750826	0.107116	0.0872375
a5	0.24479	0.168035	0.141508	0.106599	0.0738403	0.0433572	0.0369721	0.0569628	0.0513827	0.0511438	0.0254082
a12	0.145362	0.170796	0.164576	0.132205	0.0779637	0.0416692	0.0359126	0.0519427	0.0661856	0.0828825	0.0305036
a47	0.108416	0.13763	0.13263	0.143879	0.10519	0.0645395	0.061098	0.0562255	0.0579411	0.0901535	0.0422979
a21	0.0766196	0.118071	0.121692	0.150258	0.131069	0.088579	0.0889104	0.0624116	0.0564443	0.0649514	0.0409938
a5	0.0627227	0.0923373	0.102495	0.13929	0.138922	0.111624	0.117655	0.0761715	0.050568	0.0642533	0.0439625
a37	0.0309542	0.0587235	0.0702405	0.10822	0.130182	0.133037	0.177496	0.101613	0.0655465	0.0657477	0.0582397
a92	0.0238444	0.0449821	0.0591414	0.104274	0.161275	0.182436	0.184071	0.0975513	0.0520423	0.0471931	0.0431894
a37	0.0170991	0.0323099	0.04268	0.0683711	0.116165	0.180093	0.221192	0.105679	0.0664161	0.07103	0.0789639
a75	0.0206064	0.0341181	0.0468787	0.0763493	0.119391	0.204883	0.22171	0.0941232	0.055157	0.0565267	0.0702561
a85	0.00609638	0.00939731	0.0148696	0.0235823	0.0384826	0.117581	0.236635	0.115095	0.106981	0.14018	0.191099
a6	0.00464472	0.00678497	0.0111342	0.0164259	0.0234965	0.0689336	0.168434	0.0916276	0.117715	0.193221	0.297583
a36	0.00809068	0.011442	0.0174856	0.026982	0.0396832	0.117688	0.273658	0.119169	0.09378	0.109783	0.182238
a2	0.0112823	0.0143138	0.0204107	0.0313468	0.0384546	0.0838908	0.237113	0.0950457	0.0990134	0.124926	0.244203
a44	0.0169018	0.0132675	0.0148126	0.0162033	0.019231	0.0320169	0.107065	0.061422	0.119669	0.203929	0.395482
a34	0.00660032	0.00677958	0.00782009	0.0104116	0.0136162	0.0227373	0.0714413	0.0475436	0.113649	0.245529	0.453872
a62	0.00202413	0.00215749	0.00295955	0.00447269	0.00659804	0.0139086	0.042703	0.0281462	0.0939468	0.249212	0.553871
a88	0.0015286	0.00194808	0.00260636	0.00380038	0.00519401	0.00852473	0.0244292	0.0201967	0.0837885	0.225775	0.622208
a0	0.00106972	0.00113491	0.00169743	0.00262621	0.00294038	0.00424554	0.0111204	0.012605	0.0637228	0.211713	0.687124
a90	0.00116331	0.00116361	0.00171672	0.00255342	0.00286987	0.00461688	0.0131598	0.0196007	0.0797297	0.209127	0.664299
a56	0.000331947	0.000285244	0.000462186	0.000766669	0.00115798	0.00279301	0.010597	0.0159053	0.082141	0.240998	0.644562
a32	0.000380035	0.000343291	0.000578953	0.000942743	0.00136555	0.00291153	0.00971948	0.0124487	0.0683821	0.208821	0.694107
a75	0.000517108	0.000556105	0.000896911	0.00137457	0.00159808	0.00289111	0.00962705	0.0136343	0.0593668	0.175537	0.734002
a12	0.000208126	0.000194716	0.000326241	0.000627079	0.000981614	0.00252342	0.01243	0.0188988	0.083969	0.219765	0.660076
a88	0.000532218	0.000493303	0.00082204	0.0013245	0.00173452	0.00311175	0.00872892	0.011409	0.055364	0.178879	0.7376
a71	0.00102692	0.000985788	0.00144983	0.0021271	0.00230996	0.00336382	0.00859834	0.0105427	0.043784	0.154198	0.771614
a10	0.00531881	0.00451981	0.00495543	0.0048155	0.00409878	0.00471659	0.0175029	0.0239951	0.0694025	0.164199	0.696475
a87	0.0569199	0.0283338	0.0287552	0.0238232	0.022036	0.0284965	0.0515965	0.0460132	0.0809565	0.169507	0.463562
a23	0.259389	0.101225	0.0896886	0.0642192	0.0654787	0.0795537	0.0823218	0.0577684	0.0477324	0.054883	0.0977399
a87	0.130951	0.0534262	0.0466043	0.0416096	0.0484089	0.0609244	0.0829048	0.0518707	0.0659783	0.146076	0.271246
</S>	0.0290728	0.0140945	0.0144308	0.0187431	0.0244229	0.0399573	0.0908524	0.0490208	0.0710874	0.201548	0.44677
