 	les	chasseurs	ont	fait	une	battue	</S>
a23	0.40308	0.179757	0.103903	0.0795116	0.0587605	0.0697713	0.105216
a85	0.423421	0.213004	0.11986	0.0618988	0.0446	0.0565406	0.0806757
a87	0.339374	0.202338	0.113456	0.0616007	0.0569667	0.0860111	0.140253
a40	0.360191	0.226716	0.116938	0.0561635	0.05288	0.080829	0.106283
a73	0.44032	0.221209	0.120206	0.0562565	0.0426943	0.0447923	0.0745225
a26	0.515992	0.28521	0.106378	0.0393916	0.0189039	0.0150055	0.0191191
a12	0.413142	0.289481	0.135078	0.0602525	0.0345907	0.0316068	0.0358488
a98	0.332457	0.261078	0.142068	0.0869348	0.0618335	0.0595842	0.0560451
a71	0.281051	0.255977	0.160624	0.100774	0.0741994	0.06936	0.0580148
a24	0.197132	0.251553	0.199984	0.12776	0.0823662	0.0734335	0.0677717
a41	0.118968	0.166522	0.1894	0.182419	0.138505	0.114712	0.0894738
a94	0.10911	0.176055	0.200953	0.168951	0.122755	0.122058	0.100118
a90	0.0854573	0.13931	0.181879	0.171431	0.150308	0.151341	0.120274
a38	0.0972765	0.169738	0.215438	0.175546	0.129898	0.117713	0.0943898
a76	0.0621623	0.107309	0.163827	0.181292	0.174349	0.169799	0.141262
a90	0.0384657	0.0708314	0.130973	0.17581	0.189943	0.20313	0.190847
a38	0.0365982	0.0670662	0.13766	0.196595	0.200573	0.193279	0.168228
a90	0.0230503	0.0423594	0.0948527	0.174724	0.213466	0.221192	0.230355
a76	0.0157781	0.0310362	0.072256	0.155495	0.223423	0.260103	0.24191
a73	0.0123557	0.0253532	0.0561412	0.129564	0.216218	0.281179	0.279189
a84	0.0195591	0.0337718	0.0613931	0.113897	0.186891	0.241432	0.343057
a57	0.00434348	0.00847248	0.0199821	0.0408115	0.13114	0.285137	0.510114
a87	0.0123868	0.0110399	0.0191835	0.0381229	0.110797	0.258003	0.550467
</S>	0.00776115	0.00788268	0.0169228	0.0365387	0.108466	0.251951	0.570478
