 	cette	manière	de	préparer	le	poulet	donne	de	l'	appetit	</S>
a66	0.142875	0.111541	0.107704	0.152585	0.181685	0.161838	0.089352	0.026307	0.0127976	0.00629705	0.00701917
a87	0.363409	0.268578	0.117948	0.0411965	0.0286242	0.0167795	0.0215073	0.0258069	0.0406173	0.0391911	0.0363425
a79	0.355325	0.251124	0.10177	0.0385765	0.0377528	0.026046	0.0282816	0.0221119	0.0229807	0.0512762	0.0647555
a12	0.324873	0.312292	0.12345	0.0453465	0.0539129	0.021911	0.0230297	0.018319	0.0229257	0.0313462	0.022594
a61	0.260195	0.204476	0.176218	0.132153	0.122173	0.0424075	0.0284419	0.0112965	0.00890342	0.00723321	0.00650183
a75	0.166288	0.277738	0.230518	0.122431	0.120334	0.0429648	0.0227395	0.00809754	0.00477247	0.00238137	0.00173511
a85	0.180106	0.213215	0.18547	0.132788	0.144365	0.0567069	0.045885	0.0195531	0.010942	0.00557146	0.00539708
a37	0.108741	0.179963	0.153741	0.145171	0.182252	0.0959499	0.0605214	0.0304187	0.0192701	0.0102594	0.0137126
a5	0.125661	0.154951	0.137682	0.128189	0.193078	0.129684	0.0650358	0.0252264	0.0168287	0.0125405	0.0111225
a36	0.0935591	0.137679	0.149162	0.162948	0.201592	0.117849	0.0638027	0.0266552	0.016984	0.0142983	0.0154703
a75	0.0554497	0.0734232	0.102614	0.140493	0.222456	0.174346	0.0847459	0.0373953	0.0283088	0.0324378	0.048329
a56	0.0240518	0.0396751	0.0836857	0.168566	0.244195	0.175317	0.0881989	0.0457683	0.0392575	0.0381013	0.0531842
a43	0.0421108	0.0602815	0.109224	0.172032	0.217884	0.171509	0.0805055	0.0323506	0.0263272	0.0324235	0.0553513
a75	0.0247166	0.0294882	0.0569668	0.115628	0.181539	0.207963	0.119806	0.0576783	0.0479515	0.0592766	0.098986
a47	0.00934483	0.0167595	0.03471	0.101441	0.157241	0.158363	0.094072	0.0816772	0.102656	0.0980203	0.145714
a21	0.00869583	0.0134096	0.026892	0.0811694	0.102822	0.122982	0.105998	0.0929591	0.117732	0.117543	0.209797
a5	0.0125375	0.0194832	0.0340903	0.0874118	0.112812	0.148984	0.109764	0.0923006	0.0981238	0.0999592	0.184533
a75	0.0071309	0.00966733	0.0159818	0.0433245	0.074236	0.138479	0.10939	0.102026	0.118997	0.127502	0.253266
a92	0.00230523	0.00375678	0.00720985	0.0251019	0.0413986	0.0688924	0.0787762	0.100735	0.156163	0.1858	0.329861
a21	0.00235727	0.00339525	0.00612908	0.0189689	0.0289012	0.0467931	0.0664467	0.100653	0.148462	0.194192	0.383702
a12	0.00517793	0.00474732	0.00720767	0.0166646	0.0223821	0.0394455	0.0496544	0.0860765	0.134539	0.181198	0.452907
a18	0.00136895	0.00121333	0.00158879	0.0031665	0.00563	0.0149788	0.0261646	0.0651041	0.119464	0.204036	0.557285
a93	0.00093406	0.000388618	0.000409002	0.000640228	0.000857426	0.0023365	0.00615812	0.0285395	0.0784195	0.175733	0.705584
a94	0.000526498	0.00027393	0.000307389	0.000671524	0.00105362	0.00337399	0.00821858	0.0342562	0.0882877	0.166011	0.69702
a56	0.000210101	0.000102667	0.000101117	0.000206988	0.000313997	0.00102668	0.00304857	0.0149593	0.0504855	0.115353	0.814192
a44	0.000259846	0.000121945	0.000119882	0.000251498	0.000341553	0.00116887	0.00382414	0.020416	0.0659025	0.136407	0.771187
a34	0.00030593	0.000145086	0.000133168	0.000237717	0.000325024	0.00104364	0.0033952	0.0170817	0.0535546	0.117794	0.805984
a75	0.000523063	0.000245057	0.000237917	0.000473976	0.000650445	0.00251535	0.00852735	0.0370812	0.0934285	0.154356	0.701961
a6	0.000140376	8.28715e-05	9.13057e-05	0.0001969	0.00029214	0.00113407	0.00369223	0.0205949	0.0710484	0.159852	0.742875
a36	2.82611e-05	2.16089e-05	2.58931e-05	5.75618e-05	9.63138e-05	0.000335503	0.00115348	0.0075433	0.032956	0.116347	0.841435
a27	0.000572327	0.000250289	0.000179974	0.000210929	0.000264529	0.000466522	0.00127256	0.00580844	0.0212032	0.0903186	0.879453
a57	0.0792272	0.0232231	0.0141252	0.0116196	0.0107042	0.013211	0.0235721	0.0411377	0.0650927	0.215881	0.502205
a87	0.194444	0.0761103	0.0383116	0.0272352	0.0208186	0.0202201	0.0207865	0.0284346	0.0408457	0.14407	0.388723
a97	0.126638	0.0599954	0.0292667	0.0180981	0.0140971	0.0164993	0.0183172	0.0338071	0.0624201	0.209096	0.411765
a99	0.0304211	0.0138617	0.00657724	0.00460929	0.00510519	0.00834843	0.0111034	0.0199004	0.0447314	0.265382	0.58996
a97	0.00678656	0.00378553	0.00246472	0.00209569	0.00252945	0.00371753	0.00658726	0.0183461	0.0482314	0.199749	0.705707
</S>	0.0081419	0.00607236	0.00461839	0.00422669	0.00443944	0.00512135	0.00695994	0.0161607	0.0418391	0.190402	0.712018
