 	l'	enfant	mangeait	calmement	</S>
a66	0.55327	0.187133	0.140625	0.0600091	0.0589628
a87	0.414626	0.214683	0.195555	0.117132	0.0580033
a97	0.391707	0.258456	0.163495	0.109084	0.0772584
a38	0.496422	0.245513	0.131452	0.0672901	0.0593229
a54	0.565595	0.192284	0.146668	0.0631555	0.0322983
a92	0.583908	0.220412	0.13063	0.0420419	0.0230074
a85	0.42338	0.249415	0.207649	0.0822247	0.0373311
a6	0.359317	0.230418	0.244828	0.108958	0.0564795
a5	0.213454	0.216423	0.359443	0.13891	0.0717702
a21	0.114394	0.143718	0.393919	0.208765	0.139205
a85	0.0493678	0.0740877	0.316344	0.303105	0.257095
a6	0.0294274	0.058762	0.198804	0.332756	0.380251
a36	0.0224711	0.0438851	0.187743	0.347444	0.398457
a75	0.00599222	0.0144634	0.0508745	0.205508	0.723162
a85	0.00825244	0.018212	0.0512106	0.196911	0.725414
a6	0.00692895	0.0170355	0.0479616	0.170493	0.757581
a36	0.00935358	0.0190381	0.0380402	0.148193	0.785376
a27	0.0198019	0.0286879	0.0710548	0.216836	0.663619
a0	0.0359664	0.0386165	0.106101	0.25837	0.560946
a24	0.0723533	0.0650377	0.114622	0.271184	0.476803
a9	0.0920203	0.0891165	0.141838	0.275952	0.401074
a97	0.17587	0.134214	0.169345	0.251593	0.268978
a38	0.21832	0.176533	0.182881	0.20666	0.215607
a87	0.0954447	0.137023	0.193167	0.248493	0.325873
</S>	0.0305822	0.0567188	0.141554	0.257275	0.513871
