 	le	lézard	à	gueule	rouge	vit	dans	la	plaine	</S>
a27	0.299781	0.236484	0.0921488	0.0833941	0.0604371	0.0563347	0.0626572	0.0651057	0.0280251	0.0156327
a10	0.416402	0.307418	0.0758513	0.036978	0.0258758	0.0457362	0.0332683	0.0356994	0.0149164	0.00785388
a9	0.461566	0.224499	0.0847143	0.0666538	0.0266189	0.0331788	0.0270061	0.0307108	0.0266014	0.0184501
a10	0.385074	0.229044	0.102214	0.107321	0.0438778	0.0415693	0.0234265	0.0240588	0.0235697	0.0198453
a87	0.422989	0.203416	0.0904788	0.0853842	0.0406692	0.0377736	0.0243658	0.0245515	0.0329399	0.0374324
a23	0.502797	0.220894	0.0713926	0.0616895	0.0309076	0.0379762	0.021713	0.022018	0.0166626	0.0139496
a99	0.381782	0.159167	0.0945226	0.117818	0.0801051	0.0605602	0.0336266	0.0304942	0.0217083	0.0202156
a83	0.0957413	0.0602067	0.0829188	0.0886113	0.0975014	0.0758953	0.0718101	0.100252	0.165083	0.161981
a70	0.0714363	0.0642107	0.111693	0.132615	0.116799	0.10049	0.0969447	0.101669	0.103987	0.100156
a96	0.072375	0.0760857	0.118922	0.164617	0.137921	0.112198	0.0860136	0.0755736	0.0730073	0.0832861
a34	0.0666288	0.0820193	0.122232	0.167992	0.12836	0.102574	0.081191	0.0743178	0.081916	0.0927693
a5	0.0499916	0.0785797	0.101677	0.143639	0.128307	0.116293	0.10198	0.0822056	0.0959761	0.101351
a94	0.0428162	0.0819316	0.112677	0.139923	0.118731	0.107571	0.0945588	0.0831222	0.108031	0.110638
a18	0.0246209	0.0482327	0.0837796	0.111884	0.114984	0.108966	0.117225	0.114687	0.145839	0.129782
a88	0.0146271	0.0251527	0.0513021	0.0692967	0.0752403	0.0735941	0.099909	0.141911	0.232672	0.216295
a0	0.00808194	0.0119525	0.0306605	0.0464996	0.0646293	0.0661279	0.0922118	0.136225	0.268268	0.275344
a90	0.00170849	0.00203715	0.00720454	0.0117265	0.0325145	0.030631	0.0585389	0.122039	0.332343	0.401257
a44	0.0070919	0.0095219	0.0297169	0.0375191	0.0747385	0.070281	0.107129	0.149337	0.247972	0.266692
a90	0.00340961	0.00427646	0.0146261	0.0193595	0.0510845	0.0482369	0.0773975	0.119461	0.286928	0.37522
a99	0.00431517	0.00460979	0.0136032	0.0115421	0.025383	0.0247049	0.0532763	0.11268	0.337631	0.412255
a13	0.00101873	0.000846162	0.0028286	0.00271673	0.0105861	0.0107871	0.0245697	0.0585552	0.32055	0.567542
a57	0.000831251	0.000560076	0.00140719	0.00165855	0.00865181	0.00764313	0.0194368	0.0518044	0.323406	0.584601
a3	0.00571398	0.00304326	0.00442577	0.00570647	0.0189306	0.0155467	0.0236141	0.0498428	0.299299	0.573877
a97	0.0459964	0.0256686	0.0198883	0.0213229	0.0393249	0.0354251	0.0457652	0.099434	0.236648	0.430526
a87	0.109401	0.0754014	0.0596983	0.0557047	0.0593869	0.0515919	0.0510701	0.111168	0.178829	0.247749
a23	0.13038	0.0940967	0.0876954	0.0744551	0.0706564	0.0592786	0.055059	0.109252	0.143412	0.175715
a87	0.228566	0.140785	0.0802077	0.0239137	0.0248967	0.0399447	0.0457744	0.101662	0.151199	0.163051
</S>	0.240123	0.114793	0.0590802	0.0203988	0.0229124	0.039872	0.0457709	0.10319	0.161166	0.192693
