 	la	peau	est	bien	assouplie	maintenant	</S>
a23	0.438243	0.223555	0.100117	0.065624	0.0856658	0.054029	0.0327659
a85	0.461502	0.186426	0.102431	0.0893063	0.0948185	0.0390008	0.0265154
a87	0.371237	0.26222	0.147686	0.0936849	0.0626474	0.0326721	0.0298525
a23	0.304735	0.260768	0.194223	0.108318	0.0608758	0.0349825	0.036098
a18	0.283453	0.244106	0.183714	0.121818	0.0827246	0.048112	0.0360722
a25	0.308278	0.287443	0.183426	0.101113	0.0620218	0.0332487	0.0244685
a53	0.220543	0.218096	0.191338	0.140924	0.0950147	0.0679714	0.0661126
a76	0.225456	0.244829	0.247984	0.15819	0.0787357	0.0289428	0.015863
a41	0.181772	0.210867	0.246498	0.201358	0.104821	0.0386043	0.0160798
a61	0.189776	0.198151	0.232645	0.211528	0.10462	0.0421632	0.0211168
a21	0.143915	0.148067	0.216409	0.251019	0.138649	0.0691611	0.0327811
a41	0.118795	0.123575	0.172462	0.20949	0.143509	0.140491	0.0916776
a27	0.0941908	0.0845023	0.0922687	0.117824	0.14085	0.250047	0.220317
a25	0.0222608	0.0196878	0.0269613	0.0544819	0.107389	0.306834	0.462385
a76	0.0223641	0.0202104	0.0229214	0.0377792	0.0792619	0.254945	0.562518
a94	0.0342711	0.0297516	0.0313444	0.0644891	0.133854	0.318234	0.388056
a84	0.0139888	0.0122004	0.0136608	0.0258343	0.0665395	0.296097	0.57168
a40	0.00248743	0.00171499	0.00196017	0.00480969	0.0231685	0.204811	0.761048
a58	0.00551448	0.0029544	0.0026717	0.00538978	0.0174103	0.166351	0.799708
a90	0.00199795	0.0011158	0.00123185	0.00311237	0.0152482	0.135912	0.841382
a69	0.00322227	0.00166073	0.00160906	0.00426958	0.0171249	0.136985	0.835129
a58	0.00248518	0.00151282	0.00128927	0.00254551	0.00960479	0.11004	0.872522
a82	0.0111694	0.0053483	0.00410801	0.00904225	0.0308993	0.165175	0.774258
a87	0.0158606	0.0125672	0.0169863	0.0413761	0.0913215	0.262467	0.559421
</S>	0.0337791	0.031746	0.0371767	0.063286	0.109088	0.313606	0.411319
