 	je	suis	frappé	d'	un	malheur	</S>
a23	0.268649	0.124216	0.11898	0.15284	0.13575	0.104584	0.0949813
a99	0.554674	0.194049	0.0699371	0.0652366	0.0474056	0.0383359	0.0303616
a11	0.450232	0.232169	0.0958286	0.0674237	0.0507263	0.047488	0.0561327
a0	0.444174	0.17461	0.0947066	0.0979383	0.0710041	0.0602996	0.0572676
a75	0.457383	0.322636	0.101725	0.0522741	0.0291156	0.0195528	0.0173131
a56	0.362954	0.307209	0.130829	0.0752634	0.0511728	0.0345724	0.0379997
a96	0.304854	0.278212	0.190046	0.101379	0.0564474	0.0326873	0.0363744
a47	0.142431	0.207543	0.280579	0.169181	0.0911207	0.0542673	0.0548784
a61	0.0930903	0.153655	0.273143	0.213032	0.12459	0.0750683	0.0674222
a96	0.0585185	0.117738	0.249336	0.232539	0.158917	0.100467	0.0824844
a21	0.0285197	0.068967	0.223288	0.241484	0.186949	0.137743	0.11305
a85	0.0448771	0.0719651	0.161507	0.208346	0.192756	0.173627	0.146923
a61	0.0284473	0.0427558	0.0844516	0.127062	0.169836	0.276677	0.27077
a75	0.0231814	0.0339145	0.0746204	0.130239	0.194067	0.280932	0.263045
a6	0.0169769	0.025317	0.0638168	0.0982318	0.17111	0.310858	0.31369
a2	0.00982889	0.0160558	0.0547385	0.093591	0.167941	0.327064	0.330782
a57	0.00626611	0.00760856	0.015833	0.0384246	0.1063	0.324026	0.501542
a87	0.019352	0.0152167	0.0262695	0.0597449	0.134733	0.288743	0.455942
a23	0.141397	0.0519738	0.0478959	0.124455	0.158842	0.228763	0.246674
a87	0.0704257	0.038661	0.0622214	0.176901	0.220191	0.246142	0.185457
</S>	0.0437166	0.0372422	0.0633626	0.146114	0.188127	0.269715	0.251723
