 	ainsi	la	bise	a	finalement	reconnu	que	le	soleil	était	plus	fort	qu'	elle	</S>
a66	0.213088	0.291935	0.136923	0.0592155	0.0400206	0.0391431	0.0474298	0.0477209	0.0366658	0.0328999	0.0226722	0.0129392	0.00809375	0.00578301	0.00546929
a87	0.608528	0.234873	0.0284987	0.00662125	0.00432621	0.00837973	0.0128411	0.0163008	0.0170384	0.0147599	0.0110777	0.00848876	0.0065656	0.00831607	0.013385
a97	0.235402	0.134898	0.0671881	0.033131	0.0333715	0.0459499	0.0734204	0.102865	0.0980059	0.061074	0.0265315	0.0176844	0.0163144	0.021377	0.0327868
a87	0.240753	0.188585	0.0815776	0.0432649	0.0569212	0.0440834	0.0943486	0.0783965	0.0535946	0.0382918	0.0204539	0.0142047	0.0109761	0.0135865	0.0209629
a97	0.198294	0.130649	0.0791153	0.0606277	0.080009	0.0483111	0.0950092	0.0730499	0.0573327	0.0474132	0.0306978	0.0248695	0.0202597	0.0232507	0.0311116
a79	0.298139	0.220704	0.112416	0.0586524	0.0592728	0.0215094	0.0405814	0.027518	0.0239342	0.0208486	0.0174208	0.0181158	0.0181811	0.0255458	0.0371607
a69	0.207014	0.241416	0.239534	0.0668183	0.0453375	0.0181661	0.0352194	0.0214538	0.0173021	0.0125882	0.0102279	0.0108662	0.0121134	0.0201021	0.041841
a4	0.2036	0.267346	0.244295	0.110107	0.0467895	0.0219692	0.0313274	0.0185549	0.0124906	0.00766207	0.00560228	0.00538009	0.00527296	0.00728572	0.0123175
a44	0.0952004	0.177409	0.21531	0.163661	0.0962529	0.0395086	0.0672425	0.0385061	0.0249445	0.0178441	0.0138075	0.0115674	0.00952243	0.0109193	0.0183037
a90	0.0492323	0.112602	0.164407	0.169804	0.142273	0.0609728	0.0977685	0.0570996	0.0357019	0.0253162	0.0192405	0.0164551	0.0133361	0.0138938	0.021898
a12	0.075507	0.125744	0.165195	0.163704	0.138321	0.0508912	0.0859815	0.0515884	0.0368792	0.0279589	0.0212184	0.0150897	0.0115446	0.0123823	0.0179934
a44	0.0309042	0.0533162	0.0820336	0.134559	0.150887	0.123417	0.125788	0.102926	0.0665262	0.0413496	0.0251091	0.0162833	0.0129829	0.0142368	0.0196816
a69	0.0301646	0.0494533	0.0753613	0.113087	0.168531	0.141785	0.128552	0.103356	0.064164	0.0390444	0.0249993	0.0168205	0.0130996	0.0137431	0.0178384
