 	cet	homme	a	beaucoup	d'	argent	</S>
a66	0.365265	0.187011	0.146419	0.127369	0.0908464	0.0511994	0.0318897
a87	0.241066	0.204468	0.192967	0.167544	0.0875316	0.0585153	0.0479078
a23	0.522225	0.197244	0.0889565	0.0581766	0.0441328	0.0418717	0.0473933
a87	0.491677	0.234959	0.103636	0.0506109	0.0333851	0.0395319	0.0461996
a23	0.523064	0.224592	0.0968168	0.0485721	0.0305469	0.0341778	0.0422305
a87	0.435838	0.205343	0.111983	0.0673549	0.0541079	0.0615098	0.0638636
a23	0.426352	0.219213	0.123362	0.0698844	0.0495567	0.054035	0.0575968
a79	0.326436	0.165859	0.108145	0.0884496	0.0953998	0.109505	0.106206
a53	0.27951	0.191779	0.157278	0.128094	0.102297	0.0809342	0.0601075
a93	0.234827	0.227539	0.203173	0.131215	0.0812041	0.0658488	0.056193
a90	0.227034	0.271126	0.245453	0.124535	0.0542353	0.0393887	0.0382282
a98	0.146662	0.218817	0.253113	0.16595	0.0869622	0.0665956	0.0619004
a85	0.124473	0.194715	0.23548	0.180006	0.110997	0.08223	0.0720982
a6	0.0830163	0.119789	0.163128	0.176539	0.159755	0.15002	0.147754
a5	0.0898607	0.110545	0.135932	0.155834	0.157976	0.165883	0.183969
a37	0.0574641	0.064513	0.0852394	0.134126	0.182207	0.213424	0.263026
a96	0.0481349	0.0471493	0.0601127	0.107616	0.187768	0.23935	0.309869
a25	0.024432	0.0222235	0.0284765	0.0602904	0.166251	0.296813	0.401514
a94	0.00642423	0.00479465	0.00604957	0.01551	0.077099	0.27952	0.610603
a90	0.00536421	0.00379513	0.00394356	0.00755062	0.0336696	0.190631	0.755046
a15	0.00465802	0.00417815	0.00549178	0.0123864	0.0666377	0.267568	0.63908
a79	0.00122468	0.00111751	0.00171182	0.00512787	0.0347048	0.210306	0.745808
a75	0.00131528	0.00109672	0.00150104	0.00426289	0.0315775	0.207373	0.752873
a5	0.000994622	0.000975163	0.00160742	0.00457221	0.0303158	0.183701	0.777834
a61	0.00175765	0.00152586	0.00294138	0.00989601	0.0525048	0.225052	0.706322
a18	0.00178038	0.00173987	0.00350876	0.0112199	0.056526	0.230431	0.694794
a25	0.00256536	0.00306321	0.00719524	0.024685	0.103621	0.28747	0.5714
a10	0.0396856	0.0350092	0.0490911	0.0828462	0.155914	0.254449	0.383005
a87	0.198784	0.0998318	0.0809266	0.0859311	0.118282	0.171528	0.244717
a23	0.32386	0.169583	0.105237	0.0812772	0.0862897	0.106743	0.12701
a87	0.122015	0.0538047	0.0341703	0.0417151	0.0832914	0.213194	0.451809
a23	0.0103958	0.00661644	0.00742553	0.0162982	0.0707634	0.255981	0.632519
a87	0.0276054	0.0163559	0.0145757	0.0250188	0.0836878	0.267557	0.565199
</S>	0.00832127	0.00607416	0.00757843	0.0182471	0.080162	0.269248	0.610369
