 	combien	de	poules	as-tu	achetées	</S>
a23	0.540085	0.17642	0.125966	0.067053	0.0468809	0.0435962
a83	0.569782	0.180568	0.0841671	0.0485683	0.0545637	0.0623501
a35	0.581068	0.227715	0.105184	0.0367377	0.0293997	0.0198955
a76	0.500512	0.316738	0.127102	0.0316643	0.0164463	0.00753736
a25	0.429274	0.334327	0.158668	0.0420687	0.023126	0.0125362
a35	0.300533	0.342732	0.231634	0.064692	0.0369549	0.0234528
a43	0.358047	0.318294	0.203178	0.0620748	0.0360643	0.0223414
a75	0.288394	0.303293	0.23434	0.0868653	0.0517683	0.0353396
a41	0.209376	0.235346	0.239929	0.148733	0.100896	0.0657196
a35	0.171649	0.194456	0.250035	0.169054	0.123864	0.0909416
a75	0.141291	0.156145	0.23916	0.190267	0.152164	0.120973
a14	0.0785943	0.0978663	0.191925	0.235087	0.216255	0.180273
a35	0.058095	0.0715692	0.159767	0.255618	0.255996	0.198955
a57	0.0456552	0.0582078	0.124458	0.2405	0.286233	0.244947
a11	0.0248163	0.0261236	0.0577065	0.168773	0.332833	0.389748
a75	0.0146986	0.0146732	0.0364854	0.135858	0.313063	0.485222
a35	0.0182036	0.0207345	0.04494	0.125305	0.281166	0.509651
a43	0.0173135	0.0187355	0.0404469	0.10109	0.253466	0.568948
a75	0.00808528	0.00742648	0.0155455	0.0617329	0.240403	0.666807
a35	0.0235515	0.0188729	0.0307104	0.0863809	0.246789	0.593696
a90	0.0181896	0.0144761	0.0247831	0.0776827	0.23607	0.628799
a25	0.041779	0.0343548	0.0437452	0.0938295	0.229984	0.556307
a53	0.00879289	0.00806824	0.0175731	0.0719312	0.246082	0.647552
a98	0.0122033	0.00862396	0.0147609	0.0641239	0.232578	0.66771
a41	0.0108947	0.00603667	0.00854448	0.0429561	0.203563	0.728005
a25	0.0317014	0.0156723	0.0208147	0.0756435	0.241603	0.614566
a87	0.0226158	0.0156387	0.0250704	0.092692	0.269878	0.574105
a23	0.00448267	0.00447601	0.00887213	0.0494171	0.265575	0.667177
a87	0.0200352	0.0151045	0.0217964	0.0804341	0.256888	0.605742
</S>	0.0171651	0.0185272	0.0318507	0.101503	0.286305	0.544649
