 	notre	père	a	attrapé	une	tortue	dans	la	nasse	</S>
a66	0.341359	0.293244	0.148272	0.0684997	0.048798	0.0442868	0.0122285	0.00955424	0.0127523	0.0210045
a87	0.608392	0.221486	0.0636819	0.0259575	0.0157391	0.014977	0.0109827	0.0104706	0.0119556	0.0163575
a23	0.606974	0.177506	0.0635632	0.0339967	0.0169059	0.0140905	0.0137213	0.0160609	0.0212384	0.0359426
a54	0.313571	0.105614	0.0703545	0.0724929	0.0510406	0.0424652	0.0347557	0.0548482	0.090109	0.164749
a47	0.35728	0.196041	0.134854	0.0716121	0.0401865	0.0519169	0.0401859	0.0318049	0.0361692	0.0399502
a6	0.192508	0.219592	0.245613	0.148242	0.0698524	0.0516373	0.0188047	0.0141012	0.0171827	0.0224664
a36	0.189319	0.230203	0.261389	0.149438	0.0677381	0.0509712	0.0178382	0.0102122	0.010051	0.0128405
a0	0.20509	0.177623	0.253753	0.189877	0.0807596	0.0475519	0.0143563	0.00849365	0.00967704	0.0128188
a75	0.119597	0.15069	0.248368	0.244897	0.13302	0.0665769	0.0128639	0.00697504	0.00736561	0.00964657
a79	0.0778011	0.203328	0.308122	0.198087	0.0821558	0.0563787	0.0213842	0.0147271	0.0159057	0.0221108
a36	0.0834492	0.153354	0.21949	0.21943	0.129267	0.0810769	0.0317212	0.0212264	0.0250864	0.035899
a61	0.0664494	0.0959036	0.132793	0.197321	0.189352	0.129057	0.0498886	0.0351098	0.0427894	0.061337
a62	0.0636971	0.0943415	0.119694	0.175873	0.188061	0.158354	0.0708575	0.0393698	0.0394591	0.0502924
a88	0.029709	0.0474839	0.0662854	0.12489	0.18298	0.215674	0.122138	0.0675463	0.0639236	0.0793697
a38	0.0120989	0.0180417	0.0275646	0.0670447	0.132448	0.211736	0.198339	0.105781	0.102227	0.12472
a61	0.0113136	0.0144699	0.0187052	0.0467844	0.0982605	0.170062	0.202687	0.129306	0.138226	0.170185
a0	0.00898349	0.014057	0.0194362	0.0409941	0.0749929	0.145018	0.221286	0.16423	0.154209	0.156793
a62	0.00576935	0.00862632	0.0127014	0.0260715	0.0458429	0.0822432	0.166243	0.189312	0.225068	0.238123
a34	0.0041642	0.00679909	0.00907157	0.0167632	0.0304718	0.0618954	0.13382	0.212631	0.278052	0.246332
a90	0.00111942	0.0018509	0.00264132	0.00606886	0.013039	0.0297382	0.0860946	0.194545	0.338262	0.326641
a69	0.000680005	0.000967633	0.00110014	0.00273265	0.00742261	0.0184536	0.0643093	0.172346	0.363192	0.368796
a58	0.00088042	0.0010968	0.00115683	0.00269937	0.006998	0.0183797	0.0625557	0.152675	0.352624	0.400934
a93	0.000395776	0.000383427	0.000381681	0.000592652	0.00140975	0.00533918	0.0345865	0.124293	0.378466	0.454152
a44	0.000702967	0.000878606	0.000868859	0.00168965	0.0043258	0.011671	0.0483499	0.148543	0.36322	0.41975
a66	0.000441645	0.000650911	0.000731698	0.00129186	0.00291432	0.00832192	0.0396277	0.128527	0.354125	0.463368
a9	0.000932625	0.00124819	0.00150922	0.00216982	0.00448216	0.0150564	0.0784821	0.176645	0.332159	0.387315
a99	0.0661592	0.0483415	0.0324745	0.0296537	0.028449	0.0369277	0.0959998	0.141754	0.223065	0.297176
a87	0.24075	0.132316	0.0673357	0.0541173	0.0489336	0.0527354	0.0728719	0.0923728	0.107388	0.13118
a23	0.42209	0.258599	0.0973003	0.0517816	0.0286679	0.0194899	0.0190395	0.024215	0.0313383	0.0474777
a87	0.248828	0.129428	0.0412162	0.0193091	0.0115105	0.0118127	0.0265272	0.067813	0.16214	0.281415
</S>	0.0725689	0.0451298	0.0156734	0.0080952	0.00548284	0.00659148	0.0206047	0.0671772	0.214616	0.544061
