 	quelle	est	la	personne	qui	vous	avait	payé	</S>
a66	0.309868	0.222465	0.132587	0.0694301	0.0541615	0.0575247	0.0641092	0.0547014	0.0351531
a87	0.390488	0.253113	0.141543	0.0766728	0.0436119	0.0301724	0.0269987	0.0243397	0.0130607
a23	0.434949	0.271248	0.134568	0.0644669	0.0294444	0.0163578	0.0155907	0.017598	0.0157778
a30	0.295549	0.183522	0.105549	0.080932	0.0577573	0.0443109	0.0553364	0.0815851	0.0954594
a4	0.234748	0.160541	0.131345	0.132912	0.0841867	0.0538895	0.0578901	0.0769607	0.0675281
a37	0.28917	0.235571	0.185626	0.119914	0.067106	0.0349131	0.026498	0.0233937	0.0178087
a43	0.218647	0.218529	0.213101	0.135855	0.0779887	0.0482228	0.034511	0.0305249	0.0226204
a94	0.137207	0.159037	0.210483	0.185547	0.121483	0.0734136	0.0450775	0.038397	0.0293563
a18	0.0987703	0.116763	0.16928	0.181185	0.141969	0.100982	0.0690833	0.067763	0.0542033
a24	0.0771113	0.0786685	0.0997035	0.119072	0.117117	0.119787	0.113089	0.145072	0.13038
a61	0.0500245	0.0484827	0.0662714	0.103648	0.121648	0.126326	0.125305	0.183198	0.175096
a21	0.021513	0.0219737	0.0406205	0.0923991	0.141979	0.151606	0.148706	0.198523	0.182679
a5	0.0175638	0.0162105	0.02424	0.0512348	0.10036	0.157089	0.186132	0.236928	0.210242
a21	0.00656511	0.00587701	0.00963565	0.0225144	0.0500337	0.111087	0.183652	0.306178	0.304456
a47	0.00471851	0.00438728	0.00736221	0.016704	0.0357998	0.0903518	0.172522	0.317711	0.350443
a12	0.00525571	0.00466092	0.00746067	0.0148839	0.0276601	0.072036	0.159849	0.322727	0.385467
a96	0.00144261	0.00125327	0.00172944	0.00367186	0.00949817	0.0370353	0.117339	0.311507	0.516523
a75	0.000928906	0.000793331	0.00117043	0.00280484	0.00783072	0.0285721	0.094477	0.283389	0.580034
a36	0.00028674	0.000267325	0.000501091	0.00151914	0.00521236	0.0246981	0.102878	0.281225	0.583412
a26	0.000872491	0.000656263	0.00100554	0.00232575	0.00660371	0.028778	0.0963886	0.278222	0.585147
a82	0.066917	0.0356496	0.0299564	0.0289429	0.0373107	0.0502948	0.094282	0.178748	0.477899
a87	0.374172	0.180233	0.089071	0.0569659	0.0552353	0.0550286	0.0553014	0.0547706	0.0792221
a23	0.411125	0.262247	0.138821	0.0601553	0.0357074	0.0288409	0.0242204	0.0173842	0.0214983
a99	0.274482	0.162786	0.0948042	0.0535091	0.0371184	0.0598207	0.0779261	0.092578	0.146975
a9	0.0930856	0.0520497	0.0377865	0.0360501	0.0407144	0.0828308	0.125641	0.202974	0.328868
a87	0.0435411	0.0249671	0.0233073	0.0282637	0.0378357	0.0849036	0.131076	0.214801	0.411304
</S>	0.0409824	0.0265778	0.0262974	0.0289713	0.0340913	0.0861372	0.139246	0.218901	0.398796
