 	l'	oiseau	qui	était	dans	cet	arbre	s'	est	envolé	</S>
a66	0.242139	0.180718	0.133335	0.10081	0.0846186	0.0761575	0.0719952	0.0507673	0.0249128	0.0189943	0.0155531
a87	0.263243	0.163341	0.131585	0.0978687	0.0857339	0.0765837	0.0594661	0.0432903	0.0262479	0.0271482	0.0254929
a23	0.352073	0.217822	0.166188	0.111157	0.0579036	0.0281179	0.0162296	0.0135075	0.0106409	0.0133388	0.0130221
a83	0.239109	0.200062	0.168462	0.131275	0.0849039	0.0435408	0.024903	0.019918	0.0223023	0.03124	0.0342842
a34	0.208382	0.158368	0.141298	0.132361	0.0990614	0.0603094	0.0461328	0.0388333	0.0402026	0.0372996	0.0377521
a75	0.219829	0.220826	0.185661	0.145128	0.108624	0.0547909	0.0291728	0.0149993	0.00940397	0.00675297	0.00481199
a43	0.135364	0.158727	0.154035	0.145893	0.143519	0.118468	0.0758165	0.0345633	0.0173457	0.00962802	0.00663932
a31	0.0723825	0.103729	0.134681	0.169344	0.177	0.154099	0.091577	0.0465192	0.0246915	0.0157727	0.0102048
a21	0.0567528	0.0746741	0.100344	0.150548	0.187786	0.199898	0.119972	0.0550998	0.0252132	0.0166442	0.0130682
a47	0.0547997	0.0652002	0.0874918	0.132256	0.180549	0.198548	0.13404	0.0688026	0.0336167	0.0255651	0.019132
a21	0.0525203	0.0541354	0.0756142	0.133773	0.169633	0.177724	0.131889	0.0788294	0.0475809	0.0407869	0.0375142
a43	0.0346273	0.0308789	0.0399112	0.0760992	0.121595	0.162139	0.167556	0.131554	0.0898819	0.076791	0.0689668
a75	0.0183121	0.0140398	0.0175453	0.0410686	0.0822112	0.151674	0.180222	0.146485	0.109424	0.110352	0.128667
a85	0.00886087	0.00669579	0.00718773	0.013243	0.0252669	0.0670581	0.13424	0.175185	0.182117	0.187705	0.192441
a21	0.0114069	0.00723852	0.00699621	0.0125886	0.0243084	0.0610059	0.117732	0.172066	0.180712	0.196652	0.209295
a47	0.00691241	0.004478	0.00394426	0.00640631	0.011484	0.0338238	0.0802752	0.149348	0.20959	0.220054	0.273684
a61	0.00794607	0.0052548	0.00489204	0.00789906	0.0130666	0.0342674	0.0764709	0.137714	0.185968	0.232488	0.294034
a90	0.00279862	0.00155769	0.00127983	0.00189186	0.00359695	0.0128444	0.0361658	0.0854433	0.196869	0.294006	0.363546
a98	0.00112549	0.000615366	0.000539574	0.00075646	0.00120416	0.0041901	0.0149729	0.0502182	0.160919	0.293812	0.471646
a92	0.000458833	0.000186223	0.000151794	0.000268928	0.000698349	0.00370016	0.0134593	0.0414809	0.153516	0.310157	0.475922
a37	0.000646664	0.000203559	0.000150467	0.000211017	0.00041311	0.00199839	0.00838342	0.0314168	0.128987	0.276614	0.550975
a43	0.00232255	0.000819095	0.000585917	0.000654064	0.00088345	0.00293828	0.00915964	0.0292871	0.106323	0.248205	0.598822
a93	0.0022961	0.000777426	0.000525933	0.000491698	0.000640725	0.00232069	0.0074022	0.02416	0.089353	0.242612	0.62942
a43	0.00226144	0.000935383	0.000683631	0.000647487	0.000738385	0.00198071	0.0056464	0.0233727	0.0947507	0.261219	0.607764
a11	0.00197839	0.00107634	0.000872472	0.000835385	0.00100328	0.00308086	0.00852011	0.027809	0.0986338	0.271032	0.585159
a94	0.00940412	0.00567282	0.00475383	0.00479794	0.00544399	0.0119479	0.0232309	0.0483651	0.124523	0.245409	0.516452
a66	0.00941086	0.00547595	0.00450022	0.0045695	0.00577208	0.0121628	0.0228245	0.052494	0.133926	0.269441	0.479423
a44	0.0264162	0.0132608	0.0111816	0.0120104	0.0137873	0.0240696	0.036982	0.0654154	0.139916	0.246339	0.410621
a2	0.0329809	0.0142006	0.0118789	0.0131835	0.0163686	0.0277963	0.0434833	0.0737134	0.141736	0.237395	0.387263
a57	0.0888492	0.0334698	0.02414	0.021414	0.0210662	0.0281573	0.0369304	0.0606915	0.125233	0.214214	0.345834
a87	0.322045	0.160726	0.113834	0.0872046	0.056457	0.0368426	0.0307753	0.0319157	0.039279	0.0520503	0.0688712
a23	0.26005	0.150539	0.127529	0.117648	0.0851016	0.0505265	0.03462	0.0309899	0.0346159	0.0454436	0.0629368
a99	0.0672732	0.0308608	0.0203727	0.0141155	0.0104418	0.0117983	0.018154	0.0401296	0.118073	0.244455	0.424327
a97	0.0511026	0.0243304	0.016378	0.0118483	0.0095418	0.0118242	0.0220127	0.054812	0.145231	0.271339	0.38158
</S>	0.0145578	0.0069198	0.0054793	0.00513784	0.0057968	0.0120614	0.0260146	0.0624029	0.143492	0.291774	0.426364
