 	les	étrangers	qui	sont	arrivés	dans	le	village	ont	débarqué	chez	le	notable	</S>
a66	0.0514771	0.0493613	0.0472149	0.0402769	0.0698717	0.108902	0.150431	0.210459	0.163868	0.0911459	0.00967239	0.00443376	0.00172894	0.00115734
a87	0.237499	0.139853	0.0757695	0.0560567	0.0562174	0.0792978	0.0827129	0.0763887	0.067534	0.0373886	0.0222303	0.0337319	0.0219343	0.0133857
a23	0.238128	0.119743	0.087695	0.0704404	0.0828241	0.0963243	0.0860537	0.066084	0.0494618	0.0394811	0.0143857	0.0217943	0.0163775	0.0112069
a87	0.171206	0.0798288	0.0594837	0.0566083	0.0725124	0.111891	0.132826	0.0930617	0.0565361	0.0339635	0.0278084	0.0437621	0.0370449	0.0234674
a23	0.137739	0.0715055	0.0597944	0.0585763	0.0779651	0.116403	0.128882	0.0921273	0.0638111	0.0416021	0.0397342	0.0536475	0.0387244	0.0194876
a40	0.108022	0.0644507	0.0549197	0.0584327	0.0656905	0.0942779	0.101522	0.0866315	0.0642407	0.0650718	0.0544226	0.0820172	0.0627954	0.0375055
a73	0.152433	0.15984	0.105322	0.0788347	0.0743368	0.100873	0.0925741	0.0879631	0.0471668	0.0355481	0.01978	0.025185	0.0132422	0.006901
a7	0.134874	0.181622	0.132431	0.122395	0.111298	0.0998301	0.0644016	0.0452076	0.0217544	0.0155591	0.0155379	0.0257002	0.0207304	0.00865896
a90	0.116742	0.173284	0.137928	0.150743	0.128887	0.096148	0.0585943	0.034629	0.0150607	0.0131005	0.0147076	0.0211272	0.021772	0.0172763
a93	0.0768417	0.132514	0.124028	0.151281	0.142702	0.111638	0.0744871	0.0476466	0.0231715	0.0220392	0.0225247	0.0245631	0.0242672	0.0222967
a44	0.0833153	0.120621	0.120891	0.162099	0.149318	0.0997977	0.0585342	0.0352113	0.017108	0.016322	0.0225219	0.0289251	0.0376557	0.0476801
a98	0.0732021	0.112892	0.119433	0.162619	0.149753	0.104195	0.0651692	0.0411675	0.0223688	0.0176893	0.0204565	0.0241252	0.034039	0.0528904
a47	0.0642668	0.109039	0.116798	0.167207	0.146145	0.109965	0.0717467	0.0469531	0.0270621	0.0247761	0.0207205	0.019929	0.0292474	0.0461449
a85	0.0657207	0.0952219	0.103953	0.146811	0.137652	0.11709	0.0878402	0.0661662	0.0391289	0.0242831	0.0211647	0.0205218	0.0288715	0.0455749
a5	0.0463833	0.074099	0.0955115	0.158616	0.145177	0.115651	0.0827461	0.0575286	0.036688	0.0289487	0.0251462	0.0241715	0.038433	0.0708999
a21	0.0666093	0.0939281	0.108044	0.134622	0.128477	0.115073	0.099012	0.0827012	0.0606162	0.0387303	0.0180127	0.0134857	0.0161875	0.0245014
a12	0.0192606	0.0300834	0.0642356	0.112069	0.141887	0.122696	0.110989	0.106124	0.105047	0.0660665	0.0290289	0.021103	0.0269957	0.0444151
a43	0.00818045	0.0137089	0.0317494	0.0710724	0.120297	0.116439	0.128337	0.120922	0.117101	0.071169	0.0500008	0.0361816	0.0438662	0.0709746
a75	0.0120288	0.0163779	0.0289101	0.0460107	0.0731468	0.0777406	0.102881	0.133518	0.154507	0.0990689	0.0548595	0.0383079	0.0531185	0.109524
a6	0.00520558	0.008364	0.0195088	0.038683	0.0590141	0.0538385	0.0642435	0.0693385	0.07768	0.0580296	0.0903204	0.091424	0.129177	0.235173
