 	regarde	comment	tu	as	froissé	mon	habit	</S>
a66	0.658345	0.156624	0.0768588	0.0481924	0.0287055	0.015992	0.009393	0.00588926
a87	0.595426	0.128856	0.0422667	0.0330294	0.0377853	0.0439766	0.053876	0.0647838
a97	0.227905	0.121807	0.100389	0.103943	0.151362	0.0975273	0.0959388	0.101129
a87	0.242021	0.122056	0.121206	0.132872	0.155874	0.0788181	0.0738553	0.0732981
a97	0.251793	0.117939	0.110282	0.114802	0.143466	0.0886015	0.0876463	0.0854708
a99	0.34182	0.114268	0.0977828	0.0993873	0.113465	0.0747993	0.0777713	0.0807053
a97	0.337627	0.165875	0.12668	0.0837962	0.0819261	0.0579572	0.0714851	0.0746543
a99	0.312174	0.149946	0.123888	0.0873903	0.0847846	0.0638628	0.0846991	0.0932557
a97	0.297575	0.183637	0.132049	0.0713728	0.0837738	0.0603942	0.0842784	0.0869203
a3	0.272054	0.184961	0.163986	0.0973744	0.0781997	0.0545892	0.0731671	0.0756689
a79	0.258423	0.1645	0.13265	0.0849452	0.0800929	0.0665236	0.101987	0.110879
a54	0.263858	0.199308	0.171628	0.0936026	0.0796194	0.0433632	0.0698444	0.0787769
a6	0.409124	0.238044	0.18503	0.0827715	0.0358784	0.0144021	0.0173324	0.0174176
a37	0.283163	0.235442	0.239128	0.127376	0.0494687	0.020116	0.0226169	0.02269
a21	0.215434	0.203333	0.275331	0.176526	0.0663778	0.0237799	0.0194808	0.019737
a12	0.183651	0.197164	0.279587	0.188553	0.077458	0.0345318	0.0207528	0.0183022
a21	0.131832	0.142264	0.243787	0.219233	0.116067	0.0694287	0.041823	0.0355662
a47	0.0990436	0.133948	0.218421	0.211264	0.130143	0.0973425	0.0609782	0.04886
a62	0.0277314	0.0626111	0.127731	0.212645	0.222444	0.179905	0.0968668	0.0700658
a96	0.0138677	0.0348078	0.07899	0.186416	0.260162	0.214502	0.11723	0.0940245
a93	0.01014	0.0243195	0.0505159	0.149277	0.279407	0.24167	0.128177	0.116494
a56	0.0181336	0.0316722	0.0518891	0.127036	0.240832	0.271145	0.148062	0.11123
a75	0.0137213	0.0188281	0.0245276	0.065111	0.208434	0.282689	0.215776	0.170913
a85	0.00440316	0.00710471	0.01102	0.0289367	0.146011	0.275037	0.269278	0.258209
a6	0.00236435	0.0051791	0.0100152	0.028066	0.120827	0.193132	0.247375	0.393041
a56	0.000924163	0.00194875	0.00326329	0.00987897	0.0679193	0.1896	0.345189	0.381277
a96	0.00132097	0.0020737	0.00249939	0.00798959	0.0560749	0.17726	0.349965	0.402817
a90	0.000747043	0.00140525	0.00184202	0.0057135	0.0374298	0.138006	0.335921	0.478935
a69	0.000266472	0.000492179	0.000757601	0.00264523	0.0256103	0.115486	0.323144	0.531598
a20	0.000151492	0.000286913	0.000517518	0.0017452	0.016857	0.0838154	0.283663	0.612963
a54	4.76911e-05	0.000119417	0.000325666	0.00114319	0.00726604	0.0410232	0.202724	0.747351
a47	7.1424e-05	0.000150213	0.000358963	0.00142019	0.0099622	0.0645972	0.263634	0.659806
a37	6.96329e-05	0.000131762	0.000314514	0.00149682	0.0145548	0.127968	0.314321	0.541143
a26	0.000401935	0.000566356	0.000913818	0.0030171	0.0179987	0.138657	0.319683	0.518763
a82	0.00631528	0.00650573	0.00620754	0.0107898	0.0383685	0.154882	0.286635	0.490296
a97	0.0374374	0.0256095	0.0192063	0.0295325	0.05886	0.138134	0.229631	0.461589
a87	0.0695223	0.0377203	0.024324	0.026547	0.0505754	0.173033	0.273041	0.345237
a97	0.0408668	0.0238445	0.0188763	0.0252678	0.0746518	0.228741	0.293259	0.294492
a99	0.0345401	0.0164249	0.0158516	0.0279846	0.0922203	0.184291	0.262955	0.365732
a97	0.01466	0.0126724	0.0157361	0.0299518	0.0596293	0.131668	0.254266	0.481416
</S>	0.0136105	0.0145362	0.016027	0.0283054	0.0558793	0.125038	0.245719	0.500884
