 	il	se	promène	dans	le	village	</S>
a66	0.355802	0.28844	0.206872	0.0777061	0.0338562	0.0208416	0.0164825
a87	0.252771	0.185151	0.185719	0.12644	0.0946619	0.0740287	0.0812279
a79	0.340779	0.189454	0.142344	0.0778574	0.0579387	0.072225	0.119402
a54	0.335725	0.202865	0.158681	0.0939545	0.0650295	0.0581881	0.0855569
a85	0.299798	0.212	0.129954	0.0975284	0.0764517	0.0864928	0.097775
a47	0.325586	0.278166	0.143454	0.0974904	0.0545038	0.0471987	0.0536012
a75	0.395266	0.325031	0.121829	0.0617912	0.032805	0.0290167	0.0342614
a5	0.361479	0.324907	0.153142	0.0661206	0.0315998	0.0294733	0.033278
a37	0.402308	0.280814	0.125467	0.0630771	0.0364262	0.042439	0.0494685
a98	0.320895	0.231917	0.124254	0.0885858	0.0633788	0.081935	0.0890347
a85	0.144039	0.140985	0.127799	0.128047	0.124737	0.167726	0.166668
a0	0.0960016	0.0943337	0.11561	0.14066	0.148769	0.206506	0.198121
a75	0.0484552	0.0468527	0.0717248	0.133034	0.161765	0.25432	0.283848
a73	0.0234829	0.0254474	0.0564372	0.11263	0.157746	0.291773	0.332484
a7	0.00417685	0.00454905	0.0155572	0.0614504	0.140923	0.317659	0.455685
a44	0.000709126	0.000642554	0.00203987	0.0118516	0.0650548	0.299087	0.620615
a13	0.000631916	0.000557265	0.00147074	0.00822378	0.0569354	0.305434	0.626747
a57	0.000682322	0.000752097	0.00248129	0.013097	0.0698982	0.258292	0.654797
a26	0.00388559	0.00451677	0.0105957	0.0297101	0.102087	0.265921	0.583283
a82	0.036635	0.0271997	0.0417248	0.0817577	0.137964	0.25415	0.420569
a3	0.106012	0.0759515	0.0778628	0.105193	0.13731	0.203865	0.293805
a97	0.12198	0.0951187	0.102174	0.130072	0.156718	0.189558	0.204379
a57	0.0692841	0.0557561	0.0788673	0.12267	0.185745	0.244735	0.242943
a82	0.0232796	0.0196485	0.0298265	0.0635604	0.128344	0.277712	0.457629
a97	0.0243024	0.0270968	0.059496	0.100953	0.142385	0.234813	0.410954
a57	0.0308088	0.0367926	0.0717469	0.111392	0.148253	0.22671	0.374297
</S>	0.0286951	0.0353667	0.0646719	0.102664	0.140776	0.230714	0.397112
