 	il	n'	a	pas	d'	amour	pour	ses	enfants	</S>
a66	0.213074	0.149381	0.137754	0.137331	0.148941	0.1053	0.0537119	0.0257024	0.0157638	0.0130396
a87	0.193001	0.153225	0.140146	0.127183	0.128101	0.0920774	0.0592225	0.0401729	0.033893	0.0329788
a97	0.36362	0.183354	0.103832	0.0659842	0.0631797	0.0599462	0.0448114	0.0373456	0.0382526	0.0396741
a79	0.294763	0.191871	0.127734	0.0797705	0.0764065	0.0682854	0.050054	0.0367686	0.0362395	0.0381089
a90	0.211361	0.134331	0.112608	0.0799861	0.0829403	0.1142	0.0922947	0.068822	0.0530591	0.0503978
a56	0.178767	0.159095	0.157148	0.114493	0.092931	0.0997045	0.0770664	0.0563882	0.0363052	0.0281019
a75	0.17984	0.188051	0.181689	0.116565	0.0757686	0.0713873	0.0576534	0.0527324	0.0409899	0.035324
a79	0.141019	0.156233	0.166136	0.133889	0.0939542	0.0885579	0.0686065	0.0606878	0.0472884	0.0436287
a98	0.129655	0.161188	0.181895	0.160051	0.10706	0.0735593	0.0503347	0.0447891	0.0436947	0.0477745
a85	0.112082	0.138791	0.150873	0.150185	0.106022	0.0738359	0.0569253	0.0608011	0.0684223	0.0820622
a92	0.0738739	0.0890106	0.0984176	0.111844	0.0951575	0.0823398	0.0797608	0.0978309	0.118719	0.153046
a12	0.0638423	0.0725101	0.0770043	0.0911923	0.0849151	0.0809406	0.0978236	0.119565	0.144045	0.168161
a21	0.0639043	0.0694865	0.0664948	0.0943498	0.0924501	0.0742091	0.0783484	0.101837	0.156847	0.202074
a85	0.0433744	0.0465887	0.045993	0.075162	0.0834657	0.0755616	0.0853916	0.114379	0.185028	0.245055
a92	0.0167262	0.0195004	0.0222155	0.0415426	0.0563017	0.0681284	0.0963358	0.146192	0.222476	0.310581
a15	0.0116341	0.0132577	0.0148895	0.0318028	0.0454415	0.0591021	0.102085	0.158646	0.241765	0.321376
a7	0.0104693	0.0110266	0.0114639	0.0235589	0.0359949	0.0553188	0.108758	0.163225	0.248534	0.33165
a40	0.00529018	0.00400161	0.00322162	0.00623322	0.0118817	0.0245083	0.07387	0.153089	0.297351	0.420554
a47	0.0119553	0.008382	0.00634193	0.0101093	0.0175387	0.032851	0.0873084	0.155606	0.278922	0.390985
a36	0.00631446	0.00502779	0.00384127	0.00676733	0.0124241	0.0253072	0.0731121	0.148315	0.298304	0.420587
a2	0.0189563	0.0140233	0.0114355	0.0153173	0.0231075	0.0390371	0.0684088	0.125432	0.272384	0.411898
a57	0.0551938	0.043486	0.0365721	0.0398107	0.0422692	0.0423148	0.0614859	0.110871	0.232155	0.335841
a3	0.168531	0.098825	0.0672502	0.0565129	0.0620504	0.0578742	0.0677429	0.0878104	0.14379	0.189613
a97	0.204192	0.117466	0.0774506	0.0663322	0.0774276	0.0736938	0.0839618	0.088726	0.104486	0.106264
a87	0.17212	0.106529	0.0750893	0.067248	0.0845492	0.0990982	0.110954	0.105236	0.0933882	0.0857889
a97	0.128888	0.0817582	0.0592297	0.0582786	0.0798329	0.097626	0.125705	0.129876	0.123292	0.115513
</S>	0.130818	0.0820497	0.0612762	0.0659209	0.0897255	0.116926	0.121038	0.117428	0.110187	0.10463
