 	dans	cette	région	la	terre	est	brune	</S>
a85	0.253599	0.102401	0.116692	0.0805409	0.0733455	0.123111	0.189696	0.0606159
a87	0.280662	0.117513	0.0702214	0.113863	0.086193	0.107396	0.125665	0.0984853
a23	0.275799	0.194504	0.0939061	0.110839	0.0818092	0.083168	0.0785155	0.0814603
a10	0.395106	0.2662	0.111096	0.0825451	0.0409185	0.0276054	0.0327588	0.0437699
a24	0.336123	0.249682	0.145551	0.0873694	0.0540594	0.0399255	0.0366068	0.0506836
a32	0.470937	0.257777	0.119842	0.0698421	0.0372254	0.0278102	0.0119972	0.00456941
a25	0.420292	0.281077	0.126219	0.0772262	0.0398822	0.0248733	0.0174414	0.0129885
a38	0.289594	0.204828	0.121498	0.113841	0.0794157	0.0720235	0.0690427	0.0497584
a26	0.261356	0.207515	0.132422	0.133542	0.0931767	0.0865039	0.0590677	0.0264154
a41	0.139824	0.127532	0.103996	0.179594	0.134089	0.140975	0.120368	0.0536211
a61	0.155365	0.140988	0.131158	0.185527	0.144997	0.135757	0.0807307	0.0254773
a35	0.10698	0.116659	0.12546	0.219649	0.167392	0.149215	0.0911712	0.0234737
a41	0.0946299	0.0997043	0.12237	0.232612	0.197414	0.159942	0.0696933	0.0236343
a24	0.0834879	0.0971429	0.134828	0.253413	0.210501	0.136648	0.0542722	0.0297076
a41	0.0593579	0.0662512	0.0845196	0.245354	0.226615	0.170298	0.0969412	0.0506639
a27	0.0666281	0.0651536	0.0807312	0.205633	0.228444	0.186343	0.103042	0.0640252
a25	0.0450272	0.0415301	0.040649	0.110762	0.154053	0.193726	0.222232	0.192021
a87	0.0832012	0.0716989	0.0664583	0.128621	0.162769	0.173238	0.15505	0.158963
a23	0.0349643	0.0223032	0.0232647	0.0618198	0.0905294	0.15146	0.22569	0.389968
a38	0.0774508	0.0387896	0.0309042	0.0792993	0.10356	0.195341	0.192561	0.282095
a41	0.0397409	0.0274016	0.031826	0.0848916	0.125894	0.139111	0.141298	0.409837
a18	0.0312235	0.0257452	0.0302508	0.0803658	0.135974	0.17246	0.19028	0.3337
a24	0.0129171	0.0121996	0.0142644	0.0363436	0.0601397	0.091219	0.200317	0.5726
a26	0.0191003	0.0188474	0.022692	0.055048	0.0954628	0.118504	0.164335	0.50601
a32	0.00937807	0.00956592	0.0107855	0.0280991	0.0470883	0.065725	0.167725	0.661633
a26	0.0132242	0.0122579	0.0125545	0.0252428	0.0385177	0.0575078	0.164602	0.676093
a24	0.00889634	0.00816854	0.00810772	0.0167459	0.0267438	0.0427304	0.154807	0.7338
a25	0.0233699	0.0215902	0.0200825	0.0344904	0.0480392	0.0662468	0.149406	0.636775
a11	0.00969852	0.00835155	0.00876463	0.0196989	0.0340826	0.056104	0.180785	0.682514
a75	0.00984512	0.00773819	0.00695916	0.0138897	0.0228788	0.0333713	0.14827	0.757047
a94	0.0226504	0.0156205	0.0138697	0.034857	0.0566721	0.066521	0.158936	0.630873
a58	0.00462497	0.00308632	0.00304604	0.00964141	0.0169627	0.0276634	0.123687	0.811288
a84	0.005638	0.00355701	0.002966	0.0082527	0.0135828	0.0231937	0.110298	0.832512
a87	0.00604652	0.00438814	0.00447281	0.00977477	0.0159853	0.0273872	0.0892577	0.842688
</S>	0.0100458	0.00429233	0.00363209	0.00740898	0.0100056	0.021771	0.0906923	0.852152
