 	les	branches	sont	couvertes	de	bourgeons	</S>
a23	0.174507	0.133808	0.172209	0.232251	0.157161	0.0925964	0.0374677
a62	0.185252	0.141492	0.145105	0.201758	0.134707	0.139697	0.0519889
a61	0.391212	0.16896	0.137308	0.129309	0.0735318	0.0558702	0.0438089
a21	0.453616	0.218988	0.156291	0.0932609	0.0440265	0.0193955	0.0144225
a61	0.56828	0.222772	0.127147	0.0543935	0.0168411	0.00596881	0.00459762
a47	0.478282	0.277777	0.170459	0.0556598	0.0111494	0.00359738	0.00307543
a88	0.312174	0.341875	0.231723	0.0724383	0.0185414	0.0107069	0.0125418
a71	0.252926	0.304434	0.235682	0.109053	0.0440908	0.0251251	0.0286892
a75	0.211505	0.251189	0.196121	0.106228	0.077736	0.0695115	0.0877094
a98	0.270899	0.31921	0.222295	0.087603	0.0387248	0.0275752	0.0336935
a92	0.167511	0.216502	0.212281	0.126786	0.086982	0.0886685	0.10127
a75	0.216119	0.244266	0.200678	0.108669	0.074349	0.070177	0.0857422
a5	0.180443	0.182578	0.16239	0.103985	0.0947167	0.116353	0.159534
a27	0.242796	0.215271	0.172798	0.112682	0.0895763	0.0786944	0.0881823
a75	0.146431	0.124704	0.103588	0.083113	0.135273	0.184504	0.222387
a85	0.171052	0.114258	0.0889018	0.0638584	0.0936655	0.158348	0.309917
a61	0.104448	0.0751412	0.0742341	0.066271	0.106929	0.200072	0.372905
a62	0.109085	0.0852685	0.0741961	0.0625421	0.119467	0.221936	0.327505
a66	0.0759123	0.058178	0.0528359	0.0490957	0.106132	0.245073	0.412774
a11	0.0291572	0.020099	0.0202344	0.0232972	0.0682838	0.258341	0.580587
a90	0.00902785	0.00616964	0.00647449	0.00862705	0.0341094	0.202059	0.733533
a98	0.0085061	0.00615906	0.00702755	0.00873315	0.0332534	0.189927	0.746393
a73	0.00854725	0.00678224	0.00829562	0.00991968	0.0268575	0.167186	0.772411
a2	0.00645535	0.00458716	0.00545922	0.00780703	0.0337844	0.179011	0.762896
a57	0.00871637	0.00515869	0.00399285	0.0047878	0.025223	0.193553	0.758568
a87	0.0143799	0.00539313	0.00367277	0.00636743	0.0319746	0.214575	0.723637
a10	0.0469058	0.0189132	0.024195	0.0315929	0.0849714	0.300215	0.493207
a87	0.0725228	0.029195	0.0335635	0.035002	0.0815467	0.258223	0.489947
a30	0.0640343	0.031053	0.0450517	0.0532711	0.106134	0.279029	0.421427
</S>	0.0353744	0.0214558	0.0356348	0.0485394	0.0933084	0.275905	0.489782
