 	c'	est	une	femme	d'	une	grande	beauté	</S>
a23	0.464866	0.256846	0.100497	0.0524223	0.0340473	0.0297648	0.0208622	0.018154	0.0225405
a40	0.337802	0.256461	0.161096	0.119849	0.0644214	0.0278969	0.00970401	0.00903591	0.0137333
a36	0.388153	0.243067	0.123444	0.0579878	0.0350823	0.0317964	0.0323251	0.040863	0.0472811
a37	0.344032	0.285395	0.187316	0.0907273	0.0448758	0.0208115	0.0098307	0.00821702	0.00879468
a93	0.280869	0.269706	0.191163	0.106195	0.0578482	0.0331203	0.0185575	0.018663	0.0238782
a96	0.158811	0.211933	0.206918	0.157465	0.100836	0.052674	0.0286158	0.0337405	0.0490062
a62	0.128776	0.164634	0.18558	0.178523	0.129558	0.072729	0.0406827	0.0414634	0.0580534
a70	0.113445	0.135144	0.163443	0.18747	0.165978	0.104141	0.0441757	0.0372026	0.0490005
a93	0.0684818	0.0907329	0.137551	0.205866	0.208482	0.142842	0.0557558	0.040974	0.0493142
a13	0.0846765	0.100461	0.139654	0.191593	0.195754	0.143722	0.0534142	0.0386052	0.0521199
a9	0.0489034	0.0538467	0.0748126	0.144904	0.217114	0.20868	0.0978164	0.0678358	0.0860871
a11	0.0283216	0.0341667	0.0565645	0.132241	0.192305	0.190108	0.126018	0.097294	0.142981
a90	0.0268678	0.0268918	0.0374759	0.0834896	0.153789	0.204706	0.145481	0.123641	0.197659
a98	0.0259515	0.0209656	0.0249334	0.0407033	0.0902693	0.188867	0.203458	0.176564	0.228288
a79	0.00864776	0.00657394	0.00732334	0.0110159	0.0264768	0.0836537	0.194679	0.277927	0.383702
a37	0.00570307	0.00446407	0.00596245	0.00964435	0.0242127	0.0762455	0.213619	0.278558	0.381591
a90	0.00429917	0.00298825	0.00376543	0.00640647	0.0147829	0.0435723	0.128025	0.255786	0.540374
a79	0.0031785	0.00225701	0.00275417	0.00425149	0.00922935	0.0305919	0.128599	0.284799	0.534339
a96	0.00286378	0.00213679	0.00268147	0.00383999	0.00787776	0.0227799	0.101522	0.292804	0.563494
a54	0.00169166	0.00112647	0.00135138	0.00220448	0.00498768	0.015541	0.067848	0.249813	0.655436
a2	0.00274761	0.0020565	0.00245923	0.00333886	0.00669382	0.0205515	0.0953061	0.317389	0.549457
a57	0.00898817	0.00587751	0.00554131	0.00692376	0.0113006	0.0289584	0.0762727	0.237656	0.618482
a10	0.079675	0.0497654	0.0313681	0.0252048	0.0290446	0.0628439	0.13414	0.218079	0.36988
a87	0.152543	0.11014	0.0745123	0.0544201	0.0517126	0.0839758	0.153602	0.149844	0.16925
a23	0.205412	0.150991	0.103417	0.0712101	0.055764	0.0757097	0.121042	0.102231	0.114224
a87	0.0583869	0.0343846	0.0230037	0.0167416	0.0257579	0.0629687	0.178359	0.250456	0.349941
</S>	0.013734	0.00966898	0.00772422	0.00751509	0.0152006	0.039812	0.130768	0.290939	0.484638
