 	il	a	de	la	gale	partout	</S>
a66	0.313895	0.274383	0.19214	0.128828	0.0627471	0.0196137	0.00839246
a87	0.504806	0.220002	0.102853	0.0648978	0.0418885	0.0385249	0.0270278
a23	0.387939	0.239364	0.132101	0.0695599	0.0593236	0.0484931	0.0632195
a87	0.329868	0.229539	0.154472	0.0930825	0.0898307	0.0531731	0.0500348
a23	0.32962	0.225071	0.142899	0.0845002	0.0960411	0.0649278	0.056941
a97	0.30382	0.211353	0.151258	0.110118	0.108521	0.0574983	0.0574303
a87	0.269305	0.231608	0.167464	0.109853	0.091765	0.0631933	0.0668114
a79	0.312927	0.235216	0.162713	0.10454	0.0938441	0.0477847	0.0429755
a15	0.312761	0.251359	0.161493	0.0920558	0.0660474	0.0504946	0.0657896
a36	0.23045	0.250255	0.211863	0.141229	0.076454	0.0436629	0.0460871
a85	0.202506	0.2589	0.249358	0.158594	0.0691817	0.0312161	0.0302437
a36	0.203711	0.269356	0.25809	0.164703	0.0564661	0.0251833	0.0224912
a5	0.177536	0.234061	0.278342	0.188715	0.0695212	0.0294699	0.0223552
a47	0.137836	0.190218	0.274805	0.227882	0.0911435	0.0450575	0.0330581
a96	0.124569	0.162552	0.233004	0.213145	0.106118	0.0798508	0.0807611
a62	0.0820662	0.115495	0.196232	0.210688	0.150172	0.123556	0.121792
a83	0.0526012	0.0664807	0.129102	0.183692	0.204168	0.187426	0.17653
a0	0.0320141	0.0364225	0.0698334	0.123792	0.235627	0.270539	0.231773
a90	0.0323966	0.0322338	0.0535389	0.0942952	0.217592	0.29832	0.271623
a15	0.0160375	0.0166025	0.0288219	0.0604388	0.208088	0.334178	0.335834
a90	0.00385088	0.00381008	0.00786501	0.0233198	0.154807	0.362892	0.443455
a98	0.00198678	0.00202264	0.00496909	0.0182349	0.144191	0.360605	0.46799
a92	0.00204139	0.00226246	0.00556275	0.0169674	0.119335	0.322203	0.531628
a37	0.00154781	0.00138706	0.00269884	0.00982937	0.095544	0.314186	0.574807
a75	0.000817855	0.000595166	0.00102731	0.00380536	0.0408484	0.264805	0.688101
a92	0.000390521	0.000376066	0.000892635	0.0038186	0.043877	0.267632	0.683013
a37	0.000244565	0.000224906	0.000593057	0.00288055	0.0392118	0.243243	0.713602
a11	0.000872565	0.000675844	0.00127414	0.00462527	0.0380723	0.256728	0.697752
a94	0.00292573	0.00262267	0.00441754	0.0116307	0.050236	0.232909	0.695258
a57	0.0025003	0.00266862	0.00506048	0.0140845	0.0572065	0.238128	0.680352
a82	0.00901949	0.00738804	0.00863885	0.0158532	0.0617884	0.243166	0.654146
a3	0.0679491	0.0418562	0.0311312	0.0306433	0.0803648	0.232007	0.516049
a99	0.114642	0.0738318	0.0554422	0.0476041	0.10502	0.235543	0.367917
a97	0.0936913	0.0559905	0.0363793	0.0307613	0.0756759	0.232273	0.475228
a87	0.0714538	0.0438531	0.0324746	0.032008	0.103219	0.243469	0.473522
a23	0.057207	0.0410163	0.031895	0.0305524	0.0963496	0.223958	0.519021
a97	0.01433	0.00871665	0.00818051	0.0120646	0.0661805	0.232384	0.658144
a3	0.0194387	0.0157567	0.0193882	0.0292546	0.102644	0.237656	0.575862
</S>	0.0637459	0.0549545	0.0594003	0.0601395	0.120618	0.191712	0.44943
